,season,week,pollster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
7817,2020,9,donna-ditota,gonzaga,baylor,villanova,iowa,michigan,houston,texas,texas-tech,tennessee,kansas,wisconsin,west-virginia,alabama,creighton,virginia,colorado,ucla,ohio-state,oregon,saint-louis,florida-state,virginia-tech,oklahoma-state,usc,minnesota
7818,2020,10,donna-ditota,gonzaga,baylor,villanova,michigan,houston,texas,iowa,alabama,texas-tech,west-virginia,virginia,ohio-state,wisconsin,florida-state,missouri,creighton,tennessee,saint-louis,colorado,oklahoma,illinois,usc,kansas,ucla,boise-state
7819,2020,11,donna-ditota,gonzaga,baylor,villanova,michigan,houston,ohio-state,tennessee,creighton,oklahoma,illinois,iowa,alabama,texas-tech,texas,west-virginia,virginia,missouri,florida-state,virginia-tech,wisconsin,usc,ucla,florida,oklahoma-state,st.-bonaventure
7820,2020,12,donna-ditota,gonzaga,baylor,michigan,ohio-state,villanova,houston,west-virginia,virginia,missouri,texas-tech,illinois,alabama,tennessee,oklahoma,usc,texas,iowa,creighton,florida-state,wisconsin,loyola,virginia-tech,oklahoma-state,purdue,san-diego-state
7821,2020,13,donna-ditota,gonzaga,baylor,michigan,ohio-state,houston,alabama,virginia,illinois,west-virginia,oklahoma,iowa,creighton,villanova,texas,usc,texas-tech,missouri,tennessee,florida-state,wisconsin,virginia-tech,oregon,arkansas,san-diego-state,clemson
7822,2020,14,donna-ditota,gonzaga,baylor,michigan,ohio-state,illinois,alabama,houston,west-virginia,iowa,oklahoma,creighton,villanova,florida-state,arkansas,virginia,oregon,texas,usc,kansas,virginia-tech,texas-tech,san-diego-state,wisconsin,loyola,oklahoma-state
7823,2020,15,donna-ditota,gonzaga,michigan,baylor,houston,illinois,west-virginia,alabama,iowa,ohio-state,arkansas,creighton,kansas,villanova,florida-state,oklahoma-state,colorado,usc,virginia,texas,virginia-tech,loyola,san-diego-state,oklahoma,texas-tech,clemson
7824,2020,16,donna-ditota,gonzaga,baylor,illinois,michigan,houston,alabama,arkansas,iowa,ohio-state,kansas,oklahoma-state,west-virginia,villanova,virginia,florida-state,texas,colorado,creighton,loyola,oregon,virginia-tech,usc,san-diego-state,purdue,byu
7825,2020,17,donna-ditota,gonzaga,illinois,baylor,ohio-state,alabama,michigan,houston,iowa,arkansas,texas,oklahoma-state,kansas,west-virginia,virginia,villanova,loyola,san-diego-state,colorado,georgia-tech,florida-state,creighton,st.-bonaventure,byu,purdue,lsu
7826,2020,18,donna-ditota,gonzaga,illinois,baylor,ohio-state,alabama,michigan,houston,iowa,arkansas,texas,oklahoma-state,kansas,west-virginia,virginia,villanova,loyola,san-diego-state,colorado,georgia-tech,florida-state,creighton,st.-bonaventure,byu,purdue,lsu
7827,2020,19,donna-ditota,gonzaga,illinois,baylor,ohio-state,alabama,michigan,houston,iowa,arkansas,texas,oklahoma-state,kansas,west-virginia,virginia,villanova,loyola,san-diego-state,colorado,georgia-tech,florida-state,creighton,st.-bonaventure,byu,purdue,lsu
7828,2020,1,doug-doughty,villanova,gonzaga,baylor,virginia,illinois,iowa,kentucky,kansas,duke,wisconsin,west-virginia,texas-tech,michigan-state,tennessee,florida-state,arizona-state,north-carolina,michigan,ucla,creighton,houston,ohio-state,lsu,indiana,rutgers
7829,2020,2,doug-doughty,gonzaga,baylor,iowa,west-virginia,wisconsin,illinois,michigan-state,virginia-tech,duke,kansas,villanova,virginia,kentucky,north-carolina,creighton,tennessee,houston,texas-tech,florida-state,texas,arizona-state,oregon,ucla,ohio-state,michigan
7830,2020,3,doug-doughty,gonzaga,baylor,iowa,michigan-state,houston,wisconsin,duke,villanova,florida-state,kansas,virginia,illinois,creighton,tennessee,west-virginia,north-carolina,virginia-tech,michigan,texas,louisville,xavier,florida,washington-state,clemson,san-diego-state
7831,2020,4,doug-doughty,gonzaga,baylor,iowa,michigan-state,kansas,houston,villanova,wisconsin,tennessee,west-virginia,texas,creighton,ohio-state,florida-state,san-diego-state,duke,north-carolina,virginia,texas-tech,rutgers,arizona-state,louisville,illinois,michigan,saint-louis
7832,2020,5,doug-doughty,gonzaga,baylor,iowa,tennessee,kansas,michigan-state,villanova,florida-state,houston,michigan,west-virginia,wisconsin,rutgers,georgia,arkansas,virginia,xavier,texas,north-carolina,missouri,ohio-state,texas-tech,duke,san-diego-state,minnesota
7833,2020,6,doug-doughty,gonzaga,baylor,houston,kansas,villanova,tennessee,wisconsin,iowa,missouri,texas,west-virginia,michigan,creighton,florida-state,texas-tech,michigan-state,saint-louis,rutgers,northwestern,virginia,ohio-state,duke,oregon,virginia-tech,illinois
7834,2020,7,doug-doughty,gonzaga,baylor,texas,villanova,iowa,kansas,michigan,tennessee,houston,wisconsin,creighton,west-virginia,oregon,clemson,arkansas,louisville,missouri,minnesota,virginia-tech,virginia,illinois,michigan-state,duke,san-diego-state,syracuse
7835,2020,8,doug-doughty,gonzaga,baylor,michigan,villanova,texas,tennessee,iowa,kansas,houston,wisconsin,creighton,virginia,clemson,texas-tech,duke,illinois,missouri,oregon,west-virginia,virginia-tech,florida-state,arkansas,saint-louis,lsu,louisville
7836,2020,9,doug-doughty,gonzaga,baylor,villanova,iowa,michigan,houston,tennessee,virginia,texas,kansas,florida-state,saint-louis,ohio-state,wisconsin,clemson,creighton,illinois,alabama,west-virginia,virginia-tech,louisville,texas-tech,connecticut,oregon,duke
7837,2020,10,doug-doughty,gonzaga,baylor,villanova,michigan,houston,texas,iowa,virginia,tennessee,alabama,florida-state,kansas,wisconsin,ohio-state,missouri,illinois,oregon,texas-tech,ucla,creighton,west-virginia,connecticut,virginia-tech,louisville,minnesota
7838,2020,11,doug-doughty,gonzaga,baylor,michigan,villanova,houston,texas,ohio-state,iowa,alabama,virginia,tennessee,virginia-tech,illinois,missouri,west-virginia,texas-tech,creighton,ucla,wisconsin,oklahoma,kansas,purdue,florida-state,florida,san-diego-state
7839,2020,12,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7840,2020,13,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7841,2020,14,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7842,2020,15,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7843,2020,16,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
