,Weights,2014 1,2014 2,2014 3,2014 4,2014 5,2014 6,2014 7,2014 8,2014 9,2014 10,2014 11,2014 12,2014 13,2014 14,2014 15,2014 16,2014 17,2014 18,2014 19,2015 1,2015 2,2015 3,2015 4,2015 5,2015 6,2015 7,2015 8,2015 9,2015 10,2015 11,2015 12,2015 13,2015 14,2015 15,2015 16,2015 17,2015 18,2015 19,2016 1,2016 2,2016 3,2016 4,2016 5,2016 6,2016 7,2016 8,2016 9,2016 10,2016 11,2016 12,2016 13,2016 14,2016 15,2016 16,2016 17,2016 18,2016 19,2017 1,2017 2,2017 3,2017 4,2017 5,2017 6,2017 7,2017 8,2017 9,2017 10,2017 11,2017 12,2017 13,2017 14,2017 15,2017 16,2017 17,2017 18,2017 19,2018 1,2018 2,2018 3,2018 4,2018 5,2018 6,2018 7,2018 8,2018 9,2018 10,2018 11,2018 12,2018 13,2018 14,2018 15,2018 16,2018 17,2018 18,2018 19,2019 1,2019 2,2019 3,2019 4,2019 5,2019 6,2019 7,2019 8,2019 9,2019 10,2019 11,2019 12,2019 13,2019 14,2019 15,2019 16,2019 17,2019 18,2019 19
10,10,4,-1,-3,-3,6,5,8,1,1,0,-1,2,0,-1,-1,0,1,1,-1,10,2,1,2,1,1,3,1,0,0,3,1,1,1,2,2,2,3,3,10,1,0,0,2,1,1,-2,-2,-1,-3,-2,-3,-2,-1,-2,-1,N/A,-2,2,9,0,4,2,3,0,-2,-1,-3,-3,-2,-1,-2,-1,0,-1,4,-1,-2,1,-3,-3,-2,5,-1,6,1,1,1,0,0,-2,-3,-4,-2,-1,-2,-1,0,-2,-1,-1,5,0,3,-3,-2,-1,-3,-3,-3,-4,-1,-3,2,N/A
11,11,7,2,0,1,9,6,6,3,3,2,1,4,2,1,2,2,3,3,1,9,4,5,5,4,3,5,3,3,2,2,5,3,3,4,4,6,6,7,9,4,3,3,4,3,3,0,0,2,-1,0,-1,0,1,0,1,N/A,0,4,11,2,7,4,8,2,0,1,-1,-1,0,1,0,1,2,1,7,2,1,5,0,-1,2,8,1,8,3,3,3,2,3,2,-1,-2,0,1,1,2,2,0,2,1,7,2,3,2,0,2,-1,-1,-1,0,1,0,0,N/A
12,12,9,2,3,4,7,10,8,7,5,4,5,6,4,3,4,4,5,5,3,5,7,7,7,7,5,7,5,5,5,4,8,5,5,7,6,5,9,10,7,7,5,7,6,6,5,3,2,3,1,2,2,2,3,2,3,N/A,2,6,8,6,4,8,10,6,2,4,1,1,3,4,2,4,4,3,9,5,9,8,2,1,5,10,5,7,5,5,7,5,5,4,2,1,2,3,3,4,4,3,4,3,4,5,9,2,2,4,1,1,1,2,0,2,5,N/A
13,13,12,5,7,5,13,10,13,6,8,6,7,8,6,5,8,7,7,7,5,5,9,13,6,9,7,10,7,8,8,9,11,9,10,7,9,12,11,13,7,8,8,7,9,9,8,5,4,5,3,4,4,4,5,4,5,N/A,4,9,7,11,12,11,9,8,4,7,3,4,3,6,5,6,6,5,12,7,11,7,4,7,5,9,8,11,8,8,9,7,7,7,4,3,6,6,5,7,9,6,6,7,10,5,12,5,4,6,6,4,3,4,5,5,8,N/A
14,14,14,10,12,10,13,14,13,9,10,8,10,10,8,8,8,9,9,10,7,3,13,12,11,11,9,12,9,11,11,8,11,9,12,13,12,8,13,9,7,10,10,10,11,11,11,7,6,7,5,6,6,6,8,7,8,N/A,6,13,1,13,12,9,14,11,10,7,7,6,8,8,7,9,9,7,14,9,8,13,13,10,9,4,10,14,10,10,8,9,9,10,6,8,9,6,7,13,9,8,8,10,13,8,9,8,7,8,8,8,6,7,7,5,10,N/A
15,15,13,9,11,15,6,11,12,14,12,11,12,14,11,10,12,11,11,13,9,1,15,11,14,13,12,14,13,11,11,14,14,12,14,13,12,13,15,9,5,14,12,8,13,13,9,9,8,9,7,8,8,8,11,9,10,N/A,9,15,3,12,15,14,9,15,10,10,11,8,11,11,9,12,9,10,13,12,14,15,9,14,12,15,12,14,14,13,12,12,11,12,14,10,11,10,9,15,12,11,15,13,15,12,15,10,9,12,11,10,8,9,9,8,13,N/A
16,16,11,11,13,15,13,15,9,14,15,13,14,14,15,14,15,14,13,16,13,3,14,15,16,15,14,16,12,14,16,6,16,16,16,13,15,12,8,15,7,16,14,16,16,16,16,11,10,11,9,11,11,10,13,13,15,N/A,12,14,5,16,13,16,8,14,13,13,13,12,15,13,14,14,12,10,11,14,12,8,9,6,15,10,15,10,14,16,14,15,15,15,12,12,13,13,11,14,15,11,13,15,14,12,12,14,11,12,14,8,10,11,12,11,15,N/A
17,17,8,17,17,15,11,8,4,13,17,15,17,14,17,16,15,16,15,16,16,1,14,14,13,11,13,13,16,16,15,17,7,16,13,13,17,17,11,14,1,15,11,16,16,12,16,17,13,13,11,13,17,13,15,15,15,N/A,16,14,3,13,10,14,12,16,15,16,16,12,17,12,13,17,14,15,4,13,17,15,13,17,13,16,9,3,17,16,16,17,17,15,15,15,9,16,17,13,15,15,15,10,8,12,15,13,9,16,14,14,12,16,16,17,17,N/A
18,18,4,17,17,13,10,7,8,18,13,18,13,18,16,11,18,18,17,15,18,0,12,11,16,18,17,8,15,18,17,15,11,16,12,18,13,15,14,8,1,15,18,15,13,17,14,14,16,15,15,15,17,15,18,17,18,N/A,16,13,-5,10,8,12,17,11,18,18,16,16,16,16,17,17,16,14,6,17,11,16,13,13,16,3,16,-4,15,15,18,16,16,18,13,11,9,14,14,13,18,17,17,15,11,18,9,17,15,16,18,16,16,16,16,15,9,N/A
19,19,-1,16,14,16,8,10,3,16,17,14,18,9,16,15,15,16,19,14,15,2,6,5,9,11,19,5,19,13,13,8,15,13,14,8,9,10,6,10,0,11,10,18,8,12,17,17,16,17,17,17,16,19,18,15,12,N/A,14,10,1,14,10,7,7,15,19,17,19,18,11,19,16,15,18,18,9,19,14,14,19,11,19,7,13,-2,13,13,12,15,16,14,16,19,19,19,18,12,13,19,14,19,13,17,5,19,18,19,18,19,18,19,17,18,16,N/A
20,20,4,18,12,13,8,3,1,8,6,19,12,11,15,20,10,13,10,10,18,-1,5,12,11,6,6,8,3,11,12,18,12,7,10,10,8,5,3,6,0,10,19,7,10,6,5,17,20,19,20,20,14,19,15,15,16,N/A,17,1,-2,13,7,2,6,12,14,16,11,20,15,19,15,14,20,20,4,12,12,8,18,18,14,3,20,0,7,5,10,12,11,7,13,12,18,18,18,10,13,17,16,12,10,19,14,13,18,15,11,19,20,17,12,18,14,N/A
21,21,3,14,14,15,3,9,-2,7,11,10,12,7,10,18,14,8,10,6,16,-3,7,3,9,10,8,3,7,8,8,16,8,6,10,12,4,8,6,5,3,4,8,12,7,4,3,20,20,21,20,20,19,19,14,21,18,N/A,21,5,-3,10,4,11,6,8,14,9,15,18,18,12,21,12,9,18,3,11,12,8,13,18,10,7,9,2,4,3,3,5,5,10,21,20,20,15,18,18,9,13,11,16,7,10,5,10,21,7,11,17,18,17,21,15,8,N/A
22,22,5,8,12,11,3,9,2,5,6,5,7,6,5,3,8,11,10,10,7,2,1,12,3,6,5,6,3,5,8,4,6,1,9,5,0,3,2,1,-1,6,5,7,5,3,3,12,17,6,18,16,18,17,10,14,9,N/A,15,9,1,10,7,7,3,6,14,13,17,16,15,8,13,7,5,8,0,9,7,11,19,15,12,6,13,-2,-1,8,5,8,8,12,16,19,16,5,11,10,5,12,2,9,0,9,2,19,18,9,17,12,13,14,17,18,4,N/A
23,23,1,2,11,11,1,4,1,1,6,8,5,6,3,6,5,7,6,4,9,1,0,2,0,1,2,3,5,7,1,3,2,3,11,2,2,0,0,3,1,9,4,11,2,5,2,5,10,5,18,10,12,5,7,2,7,N/A,0,6,3,6,4,9,1,5,9,9,15,13,10,10,8,4,5,5,2,7,12,4,11,9,10,5,6,5,8,-1,3,6,10,16,12,14,9,0,10,5,12,5,4,6,2,1,0,8,4,8,15,16,19,11,7,11,8,N/A
24,24,0,6,8,8,7,3,3,1,10,10,5,4,3,4,9,6,9,2,3,2,2,2,4,1,1,2,9,6,3,5,4,2,1,6,10,4,2,1,3,6,8,7,5,1,1,5,4,4,8,6,10,3,11,4,1,N/A,2,3,5,2,2,5,3,2,4,6,9,8,8,8,3,6,4,4,1,10,5,2,9,15,8,1,6,1,5,1,2,6,7,8,8,12,7,2,10,7,5,3,3,8,1,3,3,8,9,14,7,9,5,11,11,10,5,N/A
