,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
574,2000,1219,V,kentucky,67.0,-550,0.8461538461538461,6,L,1385,4.0,6.0,3.0,6.0,5.0,5.0,4.0,2.0,6.0,5.0,4.0,7.0,4.0,3.0,4.0,6.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,2.0,4.0,6.0,6.0,6.0,5.0,,4.0,6.0,2.0,8.0,6.0,5.0,3.0,7.0,4.0,4.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,2.0,4.0,6.0,4.0,5.0,3.0,4.0,7.0,7.0,4.0,5.0,5.0,7.0,7.0,3.0
572,1993,1219,H,oklahoma,87.0,-1300,0.9285714285714286,6,W,1409,6.0,5.0,6.0,4.0,6.0,4.0,8.0,5.0,2.0,4.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,4.0,3.0,6.0,5.0,6.0,7.0,3.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,,6.0,7.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,7.0,2.0,7.0,6.0,6.0,3.0,8.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0
594,2061,1219,H,kansas,88.0,NL,0.5,6,W,1499,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,5.0,6.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,8.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,6.0,2.0,3.0,2.0,4.0
565,1978,1219,V,michigan-state,78.0,-500,0.8333333333333334,6,W,1621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
619,2167,1221,H,northwestern,103.0,NL,0.5,7,W,2,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,2393,1227,H,northwestern,74.0,NL,0.5,7,W,2,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,2293,1222,H,iowa,85.0,-6000,0.9836065573770492,7,W,5,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,2356,1223,V,monmouth,78.0,-600,0.8571428571428571,7,W,6,,,,,,25.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,24.0,,,,25.0,,,,,,,,,,,,25.0,,,,,,,,,,,,
634,2216,1222,V,vanderbilt,55.0,220,0.3125,7,L,8,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
644,2234,1222,V,northern-iowa,52.0,140,0.4166666666666667,7,L,13,,,,,25.0,,,,25.0,,,,,,,,,,24.0,,,,25.0,22.0,,,,,,,,,,,,,,23.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
663,2341,1223,N,northern-iowa,63.0,-220,0.6875,7,W,13,,,,,25.0,,,,25.0,,,,,,,,,,24.0,,,,25.0,22.0,,,,,,,,,,,,,,23.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
675,2374,1225,N,northern-iowa,76.0,155,0.39215686274509803,7,L,13,,,,,25.0,,,,25.0,,,,,,,,,,24.0,,,,25.0,22.0,,,,,,,,,,,,,,23.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
670,2361,1223,H,pittsburgh,79.0,-6000,0.9836065573770492,7,W,15,,24.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,25.0,24.0,,,,,,,25.0,,25.0,,,,,,,,,
624,2185,1222,H,dayton,64.0,-3000,0.967741935483871,7,W,17,,,22.0,,,,,23.0,,,,,,,25.0,,18.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,2255,1222,N,colorado,71.0,-280,0.7368421052631579,7,W,27,,,,,,,23.0,,,,,,,,,,,,,,23.0,21.0,,,,,,,25.0,,,,,,,25.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0,,
665,2353,1223,N,colorado,66.0,240,0.29411764705882354,7,L,27,,,,,,,23.0,,,,,,,,,,,,,,23.0,21.0,,,,,,,25.0,,,,,,,25.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0,,
612,2129,1221,H,gonzaga,99.0,-900,0.9,7,W,33,,,,,,23.0,25.0,,,,,24.0,,19.0,,,,,,,,,20.0,,25.0,,,,,,,23.0,,,,,,,,,,23.0,,,,25.0,,23.0,25.0,,,,,,,,,,25.0,,,,,,,25.0
660,2325,1223,H,gonzaga,85.0,-7000,0.9859154929577465,7,W,33,,,,,,23.0,25.0,,,,,24.0,,19.0,,,,,,,,,20.0,,25.0,,,,,,,23.0,,,,,,,,,,23.0,,,,25.0,,23.0,25.0,,,,,,,,,,25.0,,,,,,,25.0
611,2124,1221,V,oregon,72.0,-310,0.7560975609756098,7,W,34,,25.0,,,,,,,23.0,,24.0,,,,,,,,,,,,21.0,,,,25.0,,,,,,25.0,,24.0,,,,,,,,,,,,,,22.0,,,,,23.0,,23.0,,19.0,,,,,24.0,,,
674,2371,1223,H,connecticut,99.0,-81000,0.998766954377312,7,W,46,,,,,,,,,,25.0,25.0,,,23.0,24.0,24.0,,,,19.0,,,,,,20.0,,25.0,,,24.0,,,,,,24.0,,,,,,25.0,25.0,,23.0,24.0,,,24.0,24.0,,,,,,,21.0,,,24.0,,,25.0,,
658,2313,1222,H,ucla,67.0,NL,0.5,7,W,49,22.0,,,21.0,,,,,,,,,23.0,,,25.0,23.0,,,18.0,,23.0,,,,25.0,,24.0,,21.0,,24.0,,,,,,,,,,24.0,,,,,,22.0,,,25.0,25.0,,,,,,,23.0,,,,,,25.0,
636,2218,1222,V,south-carolina,75.0,-1500,0.9375,7,W,85,,,25.0,,24.0,,22.0,25.0,19.0,,,,,25.0,,,,,19.0,,18.0,,,24.0,,,20.0,,23.0,,,,23.0,,23.0,24.0,25.0,,24.0,,23.0,,,24.0,25.0,24.0,,25.0,21.0,,,,18.0,24.0,,,,,24.0,24.0,,22.0,,,,
671,2365,1223,H,baylor,85.0,-1100,0.9166666666666666,7,W,141,18.0,23.0,,,23.0,21.0,19.0,,,23.0,23.0,25.0,19.0,21.0,23.0,22.0,,23.0,,,25.0,,,,24.0,24.0,19.0,,24.0,,23.0,25.0,24.0,,21.0,23.0,22.0,,,24.0,24.0,,21.0,,,,23.0,,24.0,23.0,20.0,24.0,20.0,,24.0,25.0,24.0,,22.0,25.0,23.0,,25.0,24.0,23.0,22.0
628,2199,1222,H,cincinnati,79.0,-220,0.6875,7,L,315,23.0,16.0,20.0,14.0,19.0,,,24.0,17.0,22.0,20.0,22.0,24.0,,19.0,23.0,20.0,22.0,20.0,21.0,24.0,25.0,22.0,19.0,23.0,21.0,23.0,19.0,21.0,19.0,17.0,20.0,20.0,,25.0,18.0,23.0,22.0,,22.0,22.0,15.0,24.0,21.0,,22.0,14.0,21.0,20.0,22.0,23.0,20.0,25.0,19.0,20.0,19.0,22.0,20.0,20.0,19.0,20.0,,22.0,22.0,14.0,24.0
615,2153,1221,H,west-virginia,84.0,-36000,0.997229916897507,7,W,470,20.0,21.0,18.0,17.0,22.0,,15.0,18.0,,18.0,19.0,17.0,20.0,22.0,17.0,18.0,,20.0,23.0,12.0,19.0,19.0,16.0,23.0,20.0,16.0,24.0,15.0,18.0,18.0,21.0,12.0,19.0,,20.0,20.0,17.0,21.0,20.0,17.0,20.0,13.0,19.0,19.0,17.0,18.0,19.0,,18.0,13.0,21.0,19.0,16.0,16.0,19.0,18.0,18.0,18.0,19.0,21.0,19.0,14.0,20.0,15.0,20.0,15.0
626,2195,1222,H,villanova,78.0,-33000,0.9969788519637462,7,W,649,16.0,14.0,14.0,18.0,18.0,18.0,18.0,17.0,22.0,16.0,17.0,14.0,17.0,20.0,14.0,19.0,10.0,18.0,18.0,9.0,17.0,16.0,12.0,14.0,16.0,12.0,17.0,17.0,19.0,13.0,13.0,19.0,11.0,,16.0,21.0,18.0,18.0,17.0,14.0,14.0,19.0,15.0,11.0,18.0,19.0,11.0,16.0,19.0,14.0,17.0,14.0,17.0,20.0,17.0,17.0,10.0,12.0,16.0,20.0,13.0,18.0,18.0,14.0,16.0,19.0
646,2247,1222,H,louisville,75.0,-16500,0.9939759036144579,7,W,652,19.0,8.0,17.0,20.0,17.0,22.0,20.0,11.0,21.0,20.0,10.0,21.0,22.0,12.0,16.0,17.0,13.0,9.0,17.0,20.0,20.0,18.0,19.0,16.0,18.0,17.0,18.0,12.0,17.0,17.0,12.0,14.0,13.0,,18.0,10.0,13.0,10.0,19.0,19.0,21.0,9.0,18.0,12.0,19.0,8.0,20.0,18.0,17.0,17.0,14.0,18.0,12.0,17.0,13.0,22.0,16.0,23.0,9.0,17.0,16.0,11.0,17.0,17.0,9.0,16.0
664,2345,1223,H,louisville,98.0,-96000,0.9989594172736732,7,W,652,19.0,8.0,17.0,20.0,17.0,22.0,20.0,11.0,21.0,20.0,10.0,21.0,22.0,12.0,16.0,17.0,13.0,9.0,17.0,20.0,20.0,18.0,19.0,16.0,18.0,17.0,18.0,12.0,17.0,17.0,12.0,14.0,13.0,,18.0,10.0,13.0,10.0,19.0,19.0,21.0,9.0,18.0,12.0,19.0,8.0,20.0,18.0,17.0,17.0,14.0,18.0,12.0,17.0,13.0,22.0,16.0,23.0,9.0,17.0,16.0,11.0,17.0,17.0,9.0,16.0
678,2380,1226,V,louisville,73.0,105,0.4878048780487805,7,L,652,19.0,8.0,17.0,20.0,17.0,22.0,20.0,11.0,21.0,20.0,10.0,21.0,22.0,12.0,16.0,17.0,13.0,9.0,17.0,20.0,20.0,18.0,19.0,16.0,18.0,17.0,18.0,12.0,17.0,17.0,12.0,14.0,13.0,,18.0,10.0,13.0,10.0,19.0,19.0,21.0,9.0,18.0,12.0,19.0,8.0,20.0,18.0,17.0,17.0,14.0,18.0,12.0,17.0,13.0,22.0,16.0,23.0,9.0,17.0,16.0,11.0,17.0,17.0,9.0,16.0
635,2217,1222,H,purdue,68.0,-260,0.7222222222222222,7,W,833,8.0,13.0,15.0,12.0,16.0,12.0,16.0,14.0,9.0,15.0,13.0,15.0,13.0,16.0,9.0,15.0,11.0,17.0,16.0,10.0,10.0,14.0,14.0,10.0,15.0,14.0,13.0,10.0,13.0,12.0,14.0,10.0,8.0,,14.0,13.0,12.0,14.0,16.0,11.0,17.0,11.0,12.0,9.0,10.0,12.0,13.0,12.0,13.0,12.0,12.0,15.0,13.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,12.0,17.0,12.0,18.0,17.0,13.0
679,2381,1226,H,kentucky,75.0,-125,0.5555555555555556,7,W,856,10.0,19.0,12.0,22.0,14.0,9.0,9.0,12.0,11.0,10.0,16.0,10.0,14.0,15.0,20.0,11.0,7.0,10.0,12.0,16.0,12.0,7.0,10.0,12.0,12.0,18.0,15.0,13.0,14.0,14.0,19.0,21.0,12.0,,9.0,15.0,15.0,19.0,11.0,7.0,9.0,20.0,8.0,14.0,12.0,13.0,18.0,14.0,10.0,18.0,15.0,8.0,8.0,10.0,12.0,8.0,12.0,8.0,17.0,18.0,14.0,10.0,7.0,12.0,15.0,10.0
627,2198,1222,V,iowa-state,81.0,190,0.3448275862068966,7,W,907,7.0,18.0,16.0,16.0,9.0,15.0,11.0,15.0,13.0,12.0,7.0,11.0,12.0,10.0,10.0,10.0,14.0,13.0,10.0,11.0,5.0,4.0,7.0,15.0,13.0,10.0,8.0,18.0,9.0,16.0,15.0,18.0,9.0,,12.0,16.0,19.0,16.0,10.0,9.0,11.0,10.0,9.0,18.0,8.0,16.0,15.0,13.0,8.0,16.0,18.0,10.0,5.0,8.0,14.0,6.0,17.0,13.0,13.0,9.0,18.0,9.0,9.0,11.0,19.0,11.0
610,2120,1221,V,providence,90.0,-220,0.6875,7,W,911,13.0,9.0,10.0,10.0,11.0,10.0,12.0,16.0,14.0,9.0,14.0,13.0,10.0,13.0,11.0,9.0,17.0,15.0,14.0,22.0,13.0,12.0,8.0,9.0,9.0,15.0,11.0,16.0,10.0,10.0,9.0,16.0,15.0,,13.0,7.0,10.0,11.0,9.0,13.0,12.0,14.0,14.0,13.0,15.0,10.0,8.0,8.0,16.0,9.0,8.0,17.0,15.0,15.0,9.0,12.0,8.0,17.0,12.0,8.0,10.0,13.0,14.0,7.0,10.0,17.0
653,2291,1222,H,butler,88.0,-37500,0.9973404255319149,7,W,947,14.0,12.0,9.0,9.0,10.0,8.0,13.0,10.0,8.0,14.0,12.0,12.0,9.0,14.0,8.0,14.0,9.0,12.0,11.0,8.0,14.0,13.0,13.0,18.0,11.0,9.0,12.0,9.0,12.0,9.0,11.0,9.0,18.0,,10.0,12.0,9.0,9.0,13.0,12.0,16.0,8.0,11.0,8.0,9.0,11.0,10.0,11.0,12.0,8.0,10.0,13.0,21.0,12.0,11.0,15.0,13.0,14.0,10.0,12.0,9.0,16.0,11.0,13.0,12.0,8.0
639,2223,1222,H,arizona,85.0,-7000,0.9859154929577465,7,W,1056,12.0,10.0,11.0,11.0,8.0,11.0,8.0,8.0,15.0,8.0,9.0,7.0,11.0,6.0,12.0,8.0,15.0,8.0,7.0,15.0,9.0,11.0,6.0,7.0,8.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,16.0,,8.0,8.0,11.0,12.0,8.0,16.0,6.0,12.0,13.0,16.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,10.0,13.0,6.0,13.0,9.0,7.0,11.0,10.0,8.0,8.0,13.0,10.0,8.0,12.0
608,2117,1221,H,north-carolina,94.0,-72000,0.9986130374479889,7,W,1215,11.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,4.0,7.0,8.0,9.0,15.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,6.0,9.0,7.0,7.0,7.0,10.0,8.0,7.0,7.0,10.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,7.0,10.0,5.0,5.0,7.0,7.0,7.0,7.0,10.0,5.0,6.0,6.0
631,2204,1222,V,xavier,78.0,-310,0.7560975609756098,7,W,1287,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,6.0,5.0,5.0,7.0,8.0,9.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,4.0,,7.0,6.0,6.0,4.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,11.0,7.0,8.0,7.0,7.0,11.0,6.0,6.0,6.0,6.0,6.0,9.0,5.0,7.0
638,2221,1222,H,virginia,63.0,-1000,0.9090909090909091,7,W,1350,5.0,5.0,5.0,4.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,6.0,5.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,8.0,7.0,5.0
680,2383,1227,H,maryland,87.0,NL,0.5,7,W,1428,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,7.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,4.0,4.0,6.0,,3.0,4.0,4.0,8.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0
643,2232,1222,N,oklahoma,88.0,-1400,0.9333333333333333,7,W,1495,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0
662,2338,1223,V,oklahoma,84.0,-300,0.75,7,W,1495,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0
677,2379,1225,N,oklahoma,83.0,-1000,0.9090909090909091,7,W,1495,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0
640,2226,1222,V,kansas,70.0,-310,0.7560975609756098,7,W,1537,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
625,2191,1222,H,michigan-state,99.0,-800,0.8888888888888888,7,W,1623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
698,2437,1229,H,florida,71.0,-215,0.6825396825396826,8,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,2455,1229,H,texas,66.0,-130,0.5652173913043478,8,L,4,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,2652,102,V,texas,74.0,161,0.3831417624521073,8,L,4,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,2723,102,H,florida,77.0,-400,0.8,8,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,2453,1229,H,texas-tech,85.0,-230,0.696969696969697,8,W,6,,,,,,,,,24.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
762,2653,102,H,texas-tech,82.0,-182,0.6453900709219859,8,W,6,,,,,,,,,24.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
708,2459,1229,H,iowa,83.0,-155,0.6078431372549019,8,W,7,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
775,2698,102,V,iowa,70.0,369,0.21321961620469082,8,W,7,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
724,2527,1230,H,vanderbilt,86.0,-9900,0.99,8,W,10,,,,,,,24.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
794,2733,102,H,vanderbilt,82.0,-525,0.84,8,L,10,,,,,,,24.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
713,2488,1230,V,northwestern,81.0,150,0.4,8,W,11,,,,,,,,,25.0,,,,,,,,,,22.0,,23.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
787,2719,102,H,northwestern,59.0,165,0.37735849056603776,8,L,11,,,,,,,,,25.0,,,,,,,,,,22.0,,23.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
743,2602,101,V,colorado,65.0,300,0.25,8,L,15,,,,,,,21.0,,,,,,,,,25.0,,,,24.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
809,2820,103,V,colorado,56.0,105,0.4878048780487805,8,W,15,,,,,,,21.0,,,,,,,,,25.0,,,,24.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
722,2509,1230,H,dayton,85.0,-420,0.8076923076923077,8,W,19,,,21.0,,,,,22.0,,,,,,,25.0,,18.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,2648,102,V,dayton,66.0,-300,0.75,8,W,19,,,21.0,,,,,22.0,,,,,,,25.0,,18.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,2533,1230,H,pittsburgh,72.0,-350,0.7777777777777778,8,W,42,24.0,22.0,25.0,,,,,21.0,,,,,,,,,,22.0,23.0,,,,,,,,20.0,,,,,,,,,,24.0,,,,,,,21.0,25.0,,25.0,23.0,,,,,,,24.0,,,,,,,24.0,25.0,,,
738,2568,1231,V,gonzaga,79.0,-2000,0.9523809523809523,8,W,44,,,,,,22.0,23.0,,,,,24.0,,18.0,,,,,,,,,20.0,,24.0,25.0,,,,,,23.0,,,,,,,,25.0,,21.0,,,,24.0,,22.0,24.0,,,,,,,,,,25.0,,,,,,,
797,2742,102,V,gonzaga,102.0,-1100,0.9166666666666666,8,W,44,,,,,,22.0,23.0,,,,,24.0,,18.0,,,,,,,,,20.0,,24.0,25.0,,,,,,23.0,,,,,,,,25.0,,21.0,,,,24.0,,22.0,24.0,,,,,,,,,,25.0,,,,,,,
804,2812,103,V,oregon,57.0,-135,0.574468085106383,8,L,45,,24.0,,,,,25.0,,23.0,,,,,,,,,,,,,,21.0,,,,,,,24.0,,,23.0,,24.0,,,,,,,,,,24.0,,,,22.0,,,,,19.0,,23.0,,19.0,,,,,24.0,,,24.0
704,2454,1229,V,connecticut,71.0,110,0.47619047619047616,8,W,49,,,,,25.0,,,,,25.0,23.0,,,22.0,,,,,,19.0,,,,,25.0,20.0,,25.0,,,23.0,,,,,,22.0,,,,,,,24.0,,,23.0,,,25.0,22.0,,,,,,,21.0,,,24.0,,,25.0,,
785,2716,102,V,connecticut,75.0,-700,0.875,8,W,49,,,,,25.0,,,,,25.0,23.0,,,22.0,,,,,,19.0,,,,,25.0,20.0,,25.0,,,23.0,,,,,,22.0,,,,,,,24.0,,,23.0,,,25.0,22.0,,,,,,,21.0,,,24.0,,,25.0,,
742,2600,101,V,ucla,93.0,-125,0.5555555555555556,8,L,51,,,,20.0,,,,,,,,,23.0,,,,23.0,,,18.0,,,,,,24.0,,23.0,,21.0,,24.0,,,,,,,,,,23.0,,25.0,,,,21.0,,,23.0,25.0,,,,,,,23.0,,,,,,23.0,
808,2818,103,V,ucla,78.0,-200,0.6666666666666666,8,L,51,,,,20.0,,,,,,,,,23.0,,,,23.0,,,18.0,,,,,,24.0,,23.0,,21.0,,24.0,,,,,,,,,,23.0,,25.0,,,,21.0,,,23.0,25.0,,,,,,,23.0,,,,,,23.0,
778,2705,102,H,south-carolina,86.0,-360,0.782608695652174,8,W,175,23.0,23.0,24.0,,23.0,20.0,20.0,23.0,17.0,23.0,25.0,25.0,,24.0,24.0,22.0,25.0,23.0,18.0,,20.0,24.0,24.0,23.0,23.0,,23.0,,23.0,,25.0,22.0,22.0,,22.0,24.0,23.0,,21.0,23.0,21.0,,24.0,22.0,21.0,21.0,,24.0,21.0,24.0,25.0,23.0,19.0,21.0,23.0,25.0,25.0,25.0,24.0,24.0,,21.0,23.0,,,23.0
709,2475,1229,H,baylor,72.0,-10000,0.9900990099009901,8,W,195,21.0,21.0,,24.0,22.0,21.0,19.0,,,21.0,22.0,21.0,20.0,20.0,22.0,20.0,,21.0,,,,23.0,,,20.0,23.0,24.0,,22.0,,21.0,25.0,24.0,,21.0,23.0,21.0,25.0,23.0,22.0,22.0,,22.0,,22.0,23.0,21.0,25.0,23.0,21.0,20.0,24.0,22.0,,22.0,,23.0,,20.0,25.0,21.0,22.0,21.0,24.0,22.0,22.0
