,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
27,113,1113,H,wisconsin,67.0,NL,0.5,1,L,433,14.0,16.0,23.0,,20.0,22.0,17.0,21.0,9.0,,17.0,21.0,22.0,20.0,,14.0,22.0,,17.0,,18.0,20.0,,,18.0,21.0,,14.0,17.0,21.0,17.0,21.0,16.0,18.0,18.0,17.0,19.0,19.0,19.0,15.0,12.0,24.0,16.0,17.0,19.0,18.0,22.0,17.0,,16.0,20.0,19.0,12.0,24.0,16.0,14.0,13.0,23.0,17.0,17.0,17.0,,15.0,23.0,23.0,
48,197,1115,H,wisconsin,92.0,-1395,0.9331103678929766,1,W,433,14.0,16.0,23.0,,20.0,22.0,17.0,21.0,9.0,,17.0,21.0,22.0,20.0,,14.0,22.0,,17.0,,18.0,20.0,,,18.0,21.0,,14.0,17.0,21.0,17.0,21.0,16.0,18.0,18.0,17.0,19.0,19.0,19.0,15.0,12.0,24.0,16.0,17.0,19.0,18.0,22.0,17.0,,16.0,20.0,19.0,12.0,24.0,16.0,14.0,13.0,23.0,17.0,17.0,17.0,,15.0,23.0,23.0,
13,49,1113,H,california,97.0,NL,0.5,1,W,757,11.0,12.0,15.0,18.0,14.0,12.0,15.0,,16.0,12.0,15.0,14.0,16.0,15.0,14.0,18.0,14.0,16.0,15.0,11.0,15.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,16.0,15.0,14.0,14.0,13.0,12.0,15.0,12.0,15.0,13.0,14.0,24.0,13.0,14.0,9.0,11.0,11.0,16.0,14.0,21.0,14.0,15.0,14.0,15.0,11.0,15.0,16.0,14.0,9.0,15.0,14.0,15.0,12.0,13.0,18.0,14.0,
2,3,1113,H,michigan-state,82.0,NL,0.5,1,W,838,21.0,13.0,10.0,19.0,15.0,15.0,11.0,10.0,7.0,18.0,14.0,11.0,13.0,11.0,12.0,10.0,12.0,8.0,11.0,16.0,12.0,13.0,20.0,10.0,14.0,14.0,16.0,13.0,14.0,15.0,12.0,13.0,10.0,14.0,14.0,12.0,14.0,13.0,12.0,9.0,9.0,17.0,12.0,10.0,13.0,12.0,9.0,11.0,18.0,13.0,12.0,11.0,10.0,14.0,14.0,13.0,18.0,13.0,12.0,15.0,13.0,17.0,12.0,17.0,16.0,
9,37,1113,H,arizona,79.0,NL,0.5,1,W,917,6.0,11.0,12.0,12.0,11.0,10.0,14.0,13.0,10.0,8.0,12.0,12.0,12.0,13.0,15.0,13.0,10.0,6.0,12.0,14.0,9.0,7.0,8.0,21.0,11.0,15.0,9.0,11.0,12.0,11.0,13.0,8.0,12.0,12.0,13.0,10.0,13.0,8.0,15.0,13.0,7.0,16.0,17.0,11.0,10.0,15.0,14.0,13.0,11.0,12.0,13.0,12.0,8.0,22.0,11.0,12.0,10.0,16.0,13.0,11.0,12.0,16.0,9.0,13.0,12.0,
1,1,1113,H,iowa-state,68.0,-600,0.8571428571428571,1,W,1185,12.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,15.0,7.0,6.0,7.0,9.0,7.0,6.0,8.0,20.0,9.0,4.0,10.0,8.0,8.0,5.0,12.0,9.0,6.0,3.0,10.0,6.0,6.0,7.0,10.0,8.0,7.0,6.0,7.0,5.0,11.0,9.0,7.0,11.0,6.0,11.0,6.0,7.0,9.0,8.0,5.0,10.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,12.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,
16,73,1113,H,duke,92.0,NL,0.5,1,W,1350,4.0,3.0,5.0,10.0,6.0,8.0,4.0,4.0,3.0,5.0,7.0,3.0,3.0,6.0,9.0,5.0,6.0,3.0,6.0,6.0,3.0,2.0,7.0,7.0,4.0,7.0,6.0,5.0,3.0,7.0,6.0,5.0,6.0,4.0,7.0,3.0,7.0,3.0,3.0,5.0,3.0,12.0,3.0,4.0,4.0,5.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,8.0,6.0,5.0,8.0,6.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,
25,107,1113,H,kansas,109.0,NL,0.5,1,W,1410,3.0,5.0,6.0,1.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0,2.0,4.0,9.0,5.0,4.0,4.0,9.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,7.0,5.0,4.0,6.0,4.0,4.0,6.0,2.0,4.0,5.0,5.0,1.0,6.0,6.0,3.0,6.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,7.0,4.0,6.0,4.0,7.0,9.0,
35,133,1113,H,maryland,80.0,NL,0.5,1,W,1487,7.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,6.0,5.0,2.0,2.0,5.0,2.0,7.0,6.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,6.0,5.0,7.0,3.0,2.0,3.0,2.0,5.0,5.0,6.0,
34,129,1113,H,kentucky,78.0,NL,0.5,1,W,1520,1.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,8.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,
42,167,1114,H,kentucky,87.0,NL,0.5,1,W,1520,1.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,8.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,
5,13,1113,H,north-carolina,91.0,-545,0.8449612403100775,1,W,1566,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
47,193,1115,H,north-carolina,92.0,-21450,0.9953596287703016,1,W,1566,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
