,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
726,2420,1222,V,towson,59,-195,0.6610169491525424,7,L,1,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,2221,1219,H,syracuse,81,-650,0.8666666666666667,7,W,2,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,2297,1220,H,florida,72,-4500,0.9782608695652174,7,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,
714,2385,1221,H,rhode-island,80,-1000,0.9090909090909091,7,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
725,2419,1222,H,syracuse,57,-290,0.7435897435897436,7,L,2,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,2264,1219,V,auburn,81,-200,0.6666666666666666,7,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,
748,2515,1223,H,auburn,89,-700,0.875,7,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,
682,2271,1219,H,alabama,80,-330,0.7674418604651163,7,W,5,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,2439,1222,H,alabama,50,-160,0.6153846153846154,7,L,5,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,2241,1219,H,oklahoma-state,71,-1100,0.9166666666666666,7,W,9,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,2249,1219,H,nevada,88,-2150,0.9555555555555556,7,W,13,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,,,,,,,,
737,2469,1222,N,nevada,86,-1100,0.9166666666666666,7,W,13,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,,,,,,,,
758,2545,1223,N,nevada,64,-1000,0.9090909090909091,7,L,13,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,,,,,,,,
657,2209,1218,H,texas,47,NL,0.5,7,W,21,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
730,2438,1222,V,texas,66,140,0.4166666666666667,7,W,21,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
701,2331,1220,H,louisville,70,NL,0.5,7,W,28,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,21.0,,21.0,,,20.0,,,25.0,,,
666,2225,1219,H,clemson,64,-330,0.7674418604651163,7,W,35,,,,,,23.0,,,,,,,,22.0,,,,23.0,22.0,25.0,,22.0,25.0,,,,,,,,,,,,,,23.0,,24.0,,,,24.0,,,,,,,,,,,,25.0,,,,,,21.0,24.0,,,,,
720,2409,1222,H,clemson,89,-800,0.8888888888888888,7,W,35,,,,,,23.0,,,,,,,,22.0,,,,23.0,22.0,25.0,,22.0,25.0,,,,,,,,,,,,,,23.0,,24.0,,,,24.0,,,,,,,,,,,,25.0,,,,,,21.0,24.0,,,,,
664,2223,1219,H,notre-dame,97,-16500,0.9939759036144579,7,W,73,22.0,,,,,25.0,24.0,25.0,,,,23.0,25.0,,23.0,19.0,25.0,,,22.0,,,,24.0,,,,,,20.0,21.0,,,18.0,,,22.0,23.0,25.0,,22.0,22.0,,,,,24.0,,,,,,24.0,,,25.0,,,,,,,22.0,,,,
675,2257,1219,H,arkansas,104,-8500,0.9883720930232558,7,W,77,,23.0,23.0,23.0,24.0,24.0,,,,,25.0,,,24.0,25.0,,,,24.0,,22.0,,24.0,,,25.0,25.0,20.0,25.0,,,24.0,,,,,,20.0,,,,20.0,23.0,,24.0,25.0,22.0,25.0,23.0,25.0,,,,25.0,,,,24.0,,21.0,,,,22.0,24.0,,
652,2189,1218,H,creighton,90,-1300,0.9285714285714286,7,W,140,25.0,25.0,21.0,22.0,,,,,21.0,22.0,,18.0,24.0,,,22.0,,25.0,20.0,,21.0,,23.0,,,23.0,24.0,22.0,24.0,,,23.0,25.0,14.0,24.0,22.0,,,,,,23.0,,23.0,23.0,,,22.0,22.0,24.0,25.0,20.0,,,,23.0,25.0,22.0,25.0,17.0,24.0,23.0,,24.0,19.0,,
702,2333,1220,H,creighton,116,NL,0.5,7,W,140,25.0,25.0,21.0,22.0,,,,,21.0,22.0,,18.0,24.0,,,22.0,,25.0,20.0,,21.0,,23.0,,,23.0,24.0,22.0,24.0,,,23.0,25.0,14.0,24.0,22.0,,,,,,23.0,,23.0,23.0,,,22.0,22.0,24.0,25.0,20.0,,,,23.0,25.0,22.0,25.0,17.0,24.0,23.0,,24.0,19.0,,
660,2217,1218,H,florida-state,69,-15000,0.9933774834437086,7,W,162,23.0,22.0,,24.0,22.0,,23.0,23.0,19.0,19.0,22.0,20.0,23.0,,11.0,,20.0,19.0,,,20.0,,,25.0,,,,25.0,22.0,24.0,24.0,19.0,23.0,,23.0,24.0,25.0,24.0,,,23.0,25.0,21.0,25.0,,21.0,25.0,,25.0,22.0,21.0,24.0,23.0,23.0,,22.0,,,21.0,25.0,23.0,,23.0,,22.0,,
706,2347,1221,H,florida-state,98,-4750,0.979381443298969,7,W,162,23.0,22.0,,24.0,22.0,,23.0,23.0,19.0,19.0,22.0,20.0,23.0,,11.0,,20.0,19.0,,,20.0,,,25.0,,,,25.0,22.0,24.0,24.0,19.0,23.0,,23.0,24.0,25.0,24.0,,,23.0,25.0,21.0,25.0,,21.0,25.0,,25.0,22.0,21.0,24.0,23.0,23.0,,22.0,,,21.0,25.0,23.0,,23.0,,22.0,,
700,2329,1220,H,seton-hall,89,NL,0.5,7,W,223,19.0,,25.0,,16.0,,19.0,22.0,25.0,25.0,19.0,21.0,,17.0,14.0,20.0,21.0,22.0,,17.0,24.0,,,19.0,,24.0,20.0,,,25.0,22.0,,18.0,20.0,22.0,25.0,,22.0,20.0,21.0,20.0,,19.0,22.0,25.0,20.0,19.0,24.0,21.0,,23.0,25.0,,,20.0,,21.0,20.0,19.0,,,22.0,20.0,,23.0,,
759,2547,1223,H,seton-hall,74,-5500,0.9821428571428571,7,W,223,19.0,,25.0,,16.0,,19.0,22.0,25.0,25.0,19.0,21.0,,17.0,14.0,20.0,21.0,22.0,,17.0,24.0,,,19.0,,24.0,20.0,,,25.0,22.0,,18.0,20.0,22.0,25.0,,22.0,20.0,21.0,20.0,,19.0,22.0,25.0,20.0,19.0,24.0,21.0,,23.0,25.0,,,20.0,,21.0,20.0,19.0,,,22.0,20.0,,23.0,,
668,2229,1219,H,texas-tech,90,-7000,0.9859154929577465,7,W,301,20.0,20.0,20.0,21.0,18.0,22.0,20.0,17.0,22.0,23.0,23.0,,19.0,20.0,,24.0,22.0,24.0,,21.0,18.0,24.0,20.0,21.0,,22.0,22.0,19.0,23.0,22.0,20.0,25.0,19.0,21.0,18.0,23.0,17.0,,21.0,23.0,24.0,24.0,17.0,20.0,21.0,22.0,17.0,23.0,18.0,23.0,19.0,21.0,21.0,19.0,22.0,20.0,22.0,16.0,22.0,24.0,,19.0,24.0,21.0,20.0,,
698,2325,1220,H,tennessee,66,NL,0.5,7,W,307,,21.0,22.0,18.0,,19.0,25.0,24.0,23.0,16.0,18.0,22.0,20.0,16.0,20.0,25.0,23.0,,19.0,18.0,,23.0,21.0,23.0,,20.0,21.0,24.0,21.0,23.0,23.0,18.0,24.0,,25.0,17.0,,19.0,22.0,17.0,21.0,21.0,22.0,24.0,18.0,24.0,,19.0,15.0,21.0,18.0,18.0,15.0,20.0,19.0,,18.0,25.0,20.0,18.0,19.0,25.0,15.0,19.0,25.0,,
747,2506,1223,V,tennessee,79,100,0.5,7,W,307,,21.0,22.0,18.0,,19.0,25.0,24.0,23.0,16.0,18.0,22.0,20.0,16.0,20.0,25.0,23.0,,19.0,18.0,,23.0,21.0,23.0,,20.0,21.0,24.0,21.0,23.0,23.0,18.0,24.0,,25.0,17.0,,19.0,22.0,17.0,21.0,21.0,22.0,24.0,18.0,24.0,,19.0,15.0,21.0,18.0,18.0,15.0,20.0,19.0,,18.0,25.0,20.0,18.0,19.0,25.0,15.0,19.0,25.0,,
705,2345,1221,H,cincinnati,81,-30000,0.9966777408637874,7,W,311,21.0,17.0,24.0,25.0,20.0,21.0,21.0,21.0,24.0,24.0,24.0,24.0,16.0,23.0,16.0,18.0,24.0,18.0,23.0,23.0,17.0,18.0,22.0,16.0,,19.0,23.0,23.0,19.0,18.0,18.0,22.0,22.0,16.0,19.0,21.0,20.0,21.0,18.0,22.0,25.0,,,21.0,22.0,19.0,15.0,21.0,,19.0,24.0,23.0,19.0,24.0,23.0,24.0,23.0,18.0,24.0,23.0,22.0,20.0,19.0,20.0,,,
658,2211,1218,H,arizona,83,NL,0.5,7,W,388,18.0,24.0,18.0,20.0,23.0,18.0,22.0,19.0,18.0,21.0,21.0,25.0,22.0,21.0,18.0,14.0,19.0,21.0,14.0,24.0,,17.0,18.0,22.0,,16.0,16.0,21.0,20.0,21.0,19.0,21.0,21.0,23.0,21.0,19.0,21.0,18.0,23.0,19.0,19.0,17.0,20.0,19.0,19.0,23.0,18.0,16.0,,20.0,22.0,22.0,,18.0,17.0,19.0,16.0,,18.0,20.0,16.0,18.0,16.0,17.0,,,
708,2359,1221,H,arizona,73,-1700,0.9444444444444444,7,W,388,18.0,24.0,18.0,20.0,23.0,18.0,22.0,19.0,18.0,21.0,21.0,25.0,22.0,21.0,18.0,14.0,19.0,21.0,14.0,24.0,,17.0,18.0,22.0,,16.0,16.0,21.0,20.0,21.0,19.0,21.0,21.0,23.0,21.0,19.0,21.0,18.0,23.0,19.0,19.0,17.0,20.0,19.0,19.0,23.0,18.0,16.0,,20.0,22.0,22.0,,18.0,17.0,19.0,16.0,,18.0,20.0,16.0,18.0,16.0,17.0,,,
723,2415,1222,H,oklahoma,104,-600,0.8571428571428571,7,W,686,24.0,12.0,13.0,12.0,14.0,13.0,17.0,20.0,14.0,12.0,17.0,12.0,17.0,12.0,8.0,21.0,17.0,11.0,12.0,20.0,7.0,20.0,12.0,15.0,,18.0,9.0,15.0,18.0,14.0,17.0,11.0,17.0,24.0,14.0,13.0,11.0,11.0,12.0,14.0,17.0,19.0,14.0,14.0,16.0,12.0,21.0,15.0,24.0,18.0,14.0,15.0,11.0,15.0,18.0,18.0,17.0,23.0,17.0,22.0,18.0,17.0,9.0,11.0,13.0,,
713,2383,1221,H,purdue,97,-16500,0.9939759036144579,7,W,695,16.0,19.0,15.0,19.0,11.0,9.0,16.0,13.0,17.0,17.0,16.0,10.0,12.0,14.0,21.0,17.0,16.0,16.0,13.0,19.0,16.0,15.0,17.0,13.0,,11.0,13.0,16.0,14.0,15.0,16.0,12.0,14.0,22.0,16.0,18.0,14.0,14.0,17.0,18.0,16.0,16.0,13.0,17.0,13.0,17.0,6.0,14.0,11.0,14.0,17.0,19.0,16.0,13.0,16.0,10.0,14.0,12.0,16.0,19.0,17.0,16.0,11.0,18.0,21.0,,
656,2197,1218,H,kansas,109,-54000,0.9981515711645101,7,W,777,13.0,11.0,17.0,16.0,15.0,14.0,15.0,15.0,12.0,18.0,13.0,19.0,13.0,19.0,12.0,10.0,14.0,14.0,16.0,14.0,14.0,12.0,15.0,12.0,,15.0,15.0,11.0,11.0,10.0,12.0,16.0,12.0,9.0,17.0,16.0,13.0,16.0,15.0,9.0,13.0,15.0,16.0,12.0,10.0,16.0,14.0,12.0,16.0,11.0,13.0,14.0,17.0,17.0,15.0,11.0,20.0,9.0,13.0,15.0,11.0,12.0,21.0,12.0,12.0,,
712,2378,1221,N,kansas,75,NL,0.5,7,W,777,13.0,11.0,17.0,16.0,15.0,14.0,15.0,15.0,12.0,18.0,13.0,19.0,13.0,19.0,12.0,10.0,14.0,14.0,16.0,14.0,14.0,12.0,15.0,12.0,,15.0,15.0,11.0,11.0,10.0,12.0,16.0,12.0,9.0,17.0,16.0,13.0,16.0,15.0,9.0,13.0,15.0,16.0,12.0,10.0,16.0,14.0,12.0,16.0,11.0,13.0,14.0,17.0,17.0,15.0,11.0,20.0,9.0,13.0,15.0,11.0,12.0,21.0,12.0,12.0,,
729,2433,1222,H,tcu,86,-4000,0.975609756097561,7,W,777,14.0,16.0,12.0,11.0,13.0,11.0,13.0,14.0,13.0,10.0,14.0,9.0,14.0,8.0,,16.0,12.0,10.0,25.0,11.0,12.0,16.0,16.0,14.0,,17.0,18.0,13.0,12.0,17.0,13.0,17.0,16.0,13.0,13.0,12.0,15.0,17.0,11.0,15.0,14.0,14.0,9.0,13.0,12.0,11.0,20.0,18.0,9.0,12.0,16.0,13.0,14.0,14.0,9.0,12.0,12.0,17.0,14.0,12.0,12.0,13.0,17.0,15.0,16.0,,
653,2191,1218,H,gonzaga,101,-21500,0.9953703703703703,7,W,816,12.0,13.0,16.0,15.0,17.0,17.0,12.0,11.0,16.0,15.0,12.0,17.0,11.0,18.0,9.0,15.0,13.0,15.0,8.0,15.0,19.0,13.0,13.0,17.0,,12.0,11.0,14.0,16.0,13.0,14.0,10.0,10.0,10.0,11.0,14.0,16.0,13.0,14.0,13.0,12.0,10.0,18.0,11.0,14.0,14.0,16.0,8.0,12.0,16.0,12.0,11.0,13.0,12.0,13.0,17.0,11.0,10.0,12.0,8.0,14.0,15.0,14.0,16.0,9.0,,
710,2364,1221,V,gonzaga,70,-300,0.75,7,L,816,12.0,13.0,16.0,15.0,17.0,17.0,12.0,11.0,16.0,15.0,12.0,17.0,11.0,18.0,9.0,15.0,13.0,15.0,8.0,15.0,19.0,13.0,13.0,17.0,,12.0,11.0,14.0,16.0,13.0,14.0,10.0,10.0,10.0,11.0,14.0,16.0,13.0,14.0,13.0,12.0,10.0,18.0,11.0,14.0,14.0,16.0,8.0,12.0,16.0,12.0,11.0,13.0,12.0,13.0,17.0,11.0,10.0,12.0,8.0,14.0,15.0,14.0,16.0,9.0,,
667,2227,1219,H,wichita-state,89,-30000,0.9966777408637874,7,W,838,6.0,14.0,14.0,13.0,8.0,15.0,11.0,16.0,15.0,13.0,11.0,14.0,18.0,15.0,10.0,11.0,11.0,12.0,15.0,12.0,15.0,9.0,14.0,11.0,,13.0,10.0,17.0,15.0,12.0,9.0,13.0,9.0,11.0,15.0,15.0,12.0,15.0,13.0,16.0,8.0,12.0,15.0,15.0,17.0,13.0,10.0,17.0,10.0,15.0,15.0,16.0,12.0,16.0,11.0,14.0,19.0,13.0,11.0,14.0,10.0,8.0,10.0,13.0,14.0,,
743,2499,1222,H,wichita-state,75,-2500,0.9615384615384616,7,W,838,6.0,14.0,14.0,13.0,8.0,15.0,11.0,16.0,15.0,13.0,11.0,14.0,18.0,15.0,10.0,11.0,11.0,12.0,15.0,12.0,15.0,9.0,14.0,11.0,,13.0,10.0,17.0,15.0,12.0,9.0,13.0,9.0,11.0,15.0,15.0,12.0,15.0,13.0,16.0,8.0,12.0,15.0,15.0,17.0,13.0,10.0,17.0,10.0,15.0,15.0,16.0,12.0,16.0,11.0,14.0,19.0,13.0,11.0,14.0,10.0,8.0,10.0,13.0,14.0,,
745,2503,1223,H,west-virginia,86,-37500,0.9973404255319149,7,W,1024,11.0,10.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,7.0,10.0,8.0,9.0,10.0,17.0,12.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,10.0,,7.0,14.0,9.0,7.0,9.0,8.0,14.0,13.0,19.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,7.0,10.0,13.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,8.0,10.0,12.0,10.0,8.0,,
661,2219,1219,H,xavier,81,-4000,0.975609756097561,7,W,1056,10.0,9.0,9.0,14.0,9.0,8.0,10.0,9.0,11.0,8.0,9.0,7.0,10.0,7.0,15.0,9.0,9.0,13.0,9.0,9.0,11.0,10.0,10.0,9.0,,14.0,8.0,10.0,13.0,11.0,11.0,7.0,7.0,12.0,10.0,8.0,8.0,7.0,8.0,11.0,10.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,13.0,11.0,12.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,6.0,9.0,9.0,8.0,8.0,15.0,,
732,2440,1222,V,xavier,77,-260,0.7222222222222222,7,W,1056,10.0,9.0,9.0,14.0,9.0,8.0,10.0,9.0,11.0,8.0,9.0,7.0,10.0,7.0,15.0,9.0,9.0,13.0,9.0,9.0,11.0,10.0,10.0,9.0,,14.0,8.0,10.0,13.0,11.0,11.0,7.0,7.0,12.0,10.0,8.0,8.0,7.0,8.0,11.0,10.0,8.0,8.0,9.0,8.0,8.0,11.0,9.0,8.0,13.0,11.0,12.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,6.0,9.0,9.0,8.0,8.0,15.0,,
754,2529,1223,N,kentucky,75,-280,0.7368421052631579,7,L,1212,8.0,8.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,5.0,7.0,4.0,7.0,13.0,,5.0,7.0,5.0,17.0,6.0,8.0,7.0,8.0,6.0,,8.0,12.0,8.0,4.0,3.0,4.0,5.0,8.0,5.0,5.0,9.0,3.0,8.0,5.0,7.0,7.0,9.0,11.0,7.0,7.0,3.0,9.0,11.0,17.0,4.0,4.0,5.0,7.0,9.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,3.0,7.0,4.0,3.0,,
699,2327,1220,H,north-carolina,75,-12500,0.9920634920634921,7,L,1312,7.0,6.0,4.0,4.0,7.0,3.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,,6.0,7.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,4.0,6.0,6.0,5.0,7.0,4.0,5.0,7.0,7.0,7.0,5.0,5.0,6.0,4.0,4.0,7.0,5.0,6.0,4.0,,
752,2527,1223,N,north-carolina,86,-340,0.7727272727272727,7,W,1312,7.0,6.0,4.0,4.0,7.0,3.0,6.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,,6.0,7.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,4.0,6.0,6.0,5.0,7.0,4.0,5.0,7.0,7.0,7.0,5.0,5.0,6.0,4.0,4.0,7.0,5.0,6.0,4.0,,
689,2299,1220,H,duke,104,NL,0.5,7,W,1368,3.0,3.0,6.0,6.0,4.0,7.0,4.0,7.0,4.0,9.0,3.0,15.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,7.0,10.0,7.0,7.0,8.0,2.0,3.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,6.0,3.0,3.0,5.0,10.0,3.0,7.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,11.0,3.0,4.0,2.0,5.0,10.0,,
686,2291,1219,H,arizona-state,95,-90000,0.9988901220865705,7,W,1406,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,6.0,7.0,4.0,7.0,5.0,5.0,4.0,4.0,5.0,7.0,,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,7.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,12.0,5.0,2.0,3.0,6.0,3.0,4.0,1.0,1.0,5.0,4.0,4.0,7.0,1.0,6.0,5.0,4.0,3.0,7.0,,
721,2411,1222,H,arizona-state,104,NL,0.5,7,W,1406,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,6.0,7.0,4.0,7.0,5.0,5.0,4.0,4.0,5.0,7.0,,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,7.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,12.0,5.0,2.0,3.0,6.0,3.0,4.0,1.0,1.0,5.0,4.0,4.0,7.0,1.0,6.0,5.0,4.0,3.0,7.0,,
659,2215,1218,H,michigan-state,107,NL,0.5,7,W,1536,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,,
707,2353,1221,H,michigan-state,102,-33000,0.9969788519637462,7,W,1536,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,,
728,2430,1222,V,villanova,95,-6000,0.9836065573770492,7,W,1577,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,
772,2586,1227,V,nevada,80,-130,0.5652173913043478,8,W,1,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,2727,1230,H,florida,81,-550,0.8461538461538461,8,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,
832,2787,1230,H,nevada,77,-1400,0.9333333333333333,8,W,1,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,2859,1230,H,michigan,76,-39000,0.9974424552429667,8,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,
773,2589,1227,H,rhode-island,80,-1100,0.9166666666666666,8,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
828,2773,1230,H,rhode-island,83,-2500,0.9615384615384616,8,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
764,2565,1225,H,new-mexico-state,72,170,0.37037037037037035,8,L,4,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,
787,2660,1228,V,new-mexico-state,65,-230,0.696969696969697,8,W,4,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,
817,2747,1230,H,st.-bonaventure,98,-550,0.8461538461538461,8,W,5,,,,,,,,,,,,,,24.0,,,,,25.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,2779,1230,H,auburn,98,-5500,0.9821428571428571,8,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,
792,2669,1229,H,oklahoma-state,79,135,0.425531914893617,8,L,8,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,2697,1229,H,ucla,96,-1000,0.9090909090909091,8,W,12,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,22.0,,,,,,,,,,24.0,,23.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
855,2901,1231,H,ucla,74,-500,0.8333333333333334,8,W,12,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,22.0,,,,,,,,,,24.0,,23.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
797,2691,1229,H,texas,86,160,0.38461538461538464,8,L,21,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
788,2662,1229,V,louisville,61,190,0.3448275862068966,8,L,26,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,20.0,,23.0,,,22.0,,,25.0,,,
804,2717,1230,H,notre-dame,68,-1100,0.9166666666666666,8,W,40,,,,,,24.0,,25.0,,,,23.0,,,22.0,23.0,25.0,,,22.0,,,,,,,,,,,22.0,,,19.0,,,21.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,
807,2723,1230,H,clemson,78,-600,0.8571428571428571,8,W,55,,,,,,22.0,,,,,,,,20.0,,,,23.0,19.0,25.0,25.0,,25.0,,,,,,,,,,,,,,22.0,19.0,24.0,,,,22.0,,,,24.0,22.0,,,25.0,,,,25.0,,,,,,21.0,24.0,,,,,
