,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
61,231,1113,H,virginia,93,NL,0.5,1,W,57,,,,,,,,25.0,,23.0,,,,,,,17.0,17.0,,21.0,20.0,18.0,,,,,,,24.0,,,,,,,,,,24.0,,,,,,,,22.0,,,,24.0,,,,,,,,,,,,24.0,,22.0,,
18,56,1110,N,alabama,82,-165,0.6226415094339622,1,W,86,,20.0,,,,24.0,24.0,,24.0,25.0,,21.0,,,,25.0,,,,16.0,,,23.0,,23.0,,,,23.0,,23.0,,23.0,,,24.0,,23.0,,,25.0,25.0,,,25.0,23.0,,24.0,,24.0,,,16.0,24.0,24.0,23.0,24.0,25.0,24.0,24.0,,25.0,,24.0,,,
82,311,1114,H,alabama,86,-1400,0.9333333333333333,1,W,86,,20.0,,,,24.0,24.0,,24.0,25.0,,21.0,,,,25.0,,,,16.0,,,23.0,,23.0,,,,23.0,,23.0,,23.0,,,24.0,,23.0,,,25.0,25.0,,,25.0,23.0,,24.0,,24.0,,,16.0,24.0,24.0,23.0,24.0,25.0,24.0,24.0,,25.0,,24.0,,,
32,113,1110,H,seton-hall,90,-7000,0.9859154929577465,1,W,274,,24.0,19.0,17.0,16.0,22.0,15.0,,25.0,21.0,18.0,,19.0,23.0,24.0,19.0,24.0,16.0,20.0,19.0,,23.0,,21.0,25.0,,11.0,,18.0,16.0,18.0,,21.0,19.0,21.0,21.0,23.0,24.0,,17.0,23.0,16.0,,,24.0,,24.0,,15.0,,21.0,24.0,,20.0,18.0,18.0,22.0,24.0,17.0,,19.0,24.0,,21.0,25.0,,
45,175,1112,H,seton-hall,75,NL,0.5,1,W,274,,24.0,19.0,17.0,16.0,22.0,15.0,,25.0,21.0,18.0,,19.0,23.0,24.0,19.0,24.0,16.0,20.0,19.0,,23.0,,21.0,25.0,,11.0,,18.0,16.0,18.0,,21.0,19.0,21.0,21.0,23.0,24.0,,17.0,23.0,16.0,,,24.0,,24.0,,15.0,,21.0,24.0,,20.0,18.0,18.0,22.0,24.0,17.0,,19.0,24.0,,21.0,25.0,,
17,53,1110,H,ucla,63,-480,0.8275862068965517,1,W,340,11.0,16.0,,23.0,23.0,19.0,,19.0,20.0,17.0,,19.0,21.0,24.0,,24.0,22.0,19.0,25.0,,16.0,14.0,24.0,19.0,20.0,17.0,21.0,19.0,,14.0,20.0,20.0,19.0,23.0,16.0,18.0,14.0,18.0,19.0,23.0,21.0,18.0,23.0,21.0,20.0,20.0,,18.0,25.0,,13.0,21.0,,21.0,23.0,20.0,21.0,18.0,,22.0,,,15.0,18.0,24.0,,
35,119,1110,H,purdue,105,-25000,0.9960159362549801,1,W,362,19.0,,17.0,15.0,,16.0,16.0,20.0,23.0,19.0,21.0,20.0,11.0,18.0,16.0,20.0,14.0,18.0,24.0,13.0,24.0,20.0,22.0,20.0,24.0,15.0,16.0,23.0,20.0,,13.0,11.0,,24.0,22.0,22.0,15.0,19.0,17.0,19.0,22.0,19.0,24.0,22.0,21.0,24.0,21.0,23.0,17.0,18.0,,23.0,21.0,,22.0,,23.0,23.0,23.0,,16.0,22.0,25.0,,19.0,,
73,284,1114,V,purdue,86,-220,0.6875,1,W,362,19.0,,17.0,15.0,,16.0,16.0,20.0,23.0,19.0,21.0,20.0,11.0,18.0,16.0,20.0,14.0,18.0,24.0,13.0,24.0,20.0,22.0,20.0,24.0,15.0,16.0,23.0,20.0,,13.0,11.0,,24.0,22.0,22.0,15.0,19.0,17.0,19.0,22.0,19.0,24.0,22.0,21.0,24.0,21.0,23.0,17.0,18.0,,23.0,21.0,,22.0,,23.0,23.0,23.0,,16.0,22.0,25.0,,19.0,,
64,241,1113,H,northwestern,75,NL,0.5,1,W,473,20.0,22.0,15.0,24.0,21.0,21.0,22.0,18.0,19.0,24.0,14.0,18.0,15.0,11.0,14.0,21.0,19.0,,21.0,24.0,15.0,15.0,19.0,24.0,15.0,23.0,24.0,22.0,16.0,21.0,24.0,23.0,15.0,17.0,19.0,20.0,21.0,22.0,20.0,15.0,19.0,,17.0,16.0,18.0,18.0,17.0,16.0,20.0,16.0,20.0,19.0,13.0,25.0,21.0,15.0,17.0,14.0,14.0,15.0,18.0,17.0,14.0,15.0,18.0,,
23,79,1110,H,xavier,101,-20000,0.9950248756218906,1,W,544,18.0,18.0,20.0,16.0,18.0,20.0,21.0,23.0,18.0,16.0,19.0,17.0,,13.0,25.0,15.0,20.0,12.0,23.0,17.0,22.0,12.0,16.0,17.0,22.0,13.0,22.0,24.0,15.0,19.0,14.0,18.0,17.0,22.0,17.0,17.0,17.0,16.0,13.0,18.0,17.0,14.0,19.0,17.0,16.0,22.0,16.0,22.0,14.0,20.0,15.0,17.0,20.0,15.0,13.0,13.0,16.0,21.0,19.0,18.0,12.0,19.0,16.0,16.0,13.0,,
