,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
344,1342,1201,V,cincinnati,55,220,0.3125,4,W,49,,23.0,,25.0,24.0,,25.0,24.0,23.0,,25.0,22.0,23.0,,,,,,24.0,,25.0,,,,24.0,,,,,,,,23.0,,,,,,,,,,,,,25.0,,,23.0,25.0,,25.0,23.0,,,25.0,,,,,22.0,24.0,21.0,,
390,1529,1204,H,cincinnati,85,NL,0.5,4,W,49,,23.0,,25.0,24.0,,25.0,24.0,23.0,,25.0,22.0,23.0,,,,,,24.0,,25.0,,,,24.0,,,,,,,,23.0,,,,,,,,,,,,,25.0,,,23.0,25.0,,25.0,23.0,,,25.0,,,,,22.0,24.0,21.0,,
312,1223,1129,H,notre-dame,92,-700,0.875,4,W,85,,24.0,,22.0,,25.0,,,,,,19.0,24.0,24.0,,19.0,21.0,24.0,,,,,23.0,,,24.0,,25.0,21.0,23.0,,,25.0,,,,24.0,,,,,24.0,,,24.0,,25.0,,,,,23.0,25.0,,,,22.0,23.0,20.0,23.0,,23.0,19.0,25.0,
302,1195,1129,H,maryland,59,-180,0.6428571428571429,4,L,126,,,17.0,,25.0,,,,,23.0,,,,23.0,,16.0,18.0,,,19.0,,,,,,22.0,,,,,24.0,19.0,,19.0,17.0,25.0,20.0,,23.0,21.0,18.0,25.0,,19.0,,,,,,22.0,,24.0,,22.0,23.0,22.0,25.0,,,21.0,,,,24.0,
369,1439,1203,H,maryland,71,100,0.5,4,W,126,,,17.0,,25.0,,,,,23.0,,,,23.0,,16.0,18.0,,,19.0,,,,,,22.0,,,,,24.0,19.0,,19.0,17.0,25.0,20.0,,23.0,21.0,18.0,25.0,,19.0,,,,,,22.0,,24.0,,22.0,23.0,22.0,25.0,,,21.0,,,,24.0,
300,1189,1128,H,west-virginia,108,NL,0.5,4,W,132,21.0,,21.0,,23.0,21.0,21.0,,,24.0,24.0,25.0,,25.0,,,22.0,25.0,,24.0,,15.0,,25.0,,,16.0,,,,23.0,,,,24.0,23.0,,25.0,24.0,,23.0,,21.0,22.0,23.0,,23.0,20.0,19.0,,22.0,,,20.0,21.0,,,18.0,19.0,25.0,,,,,25.0
355,1390,1203,V,west-virginia,66,330,0.23255813953488372,4,W,132,21.0,,21.0,,23.0,21.0,21.0,,,24.0,24.0,25.0,,25.0,,,22.0,25.0,,24.0,,15.0,,25.0,,,16.0,,,,23.0,,,,24.0,23.0,,25.0,24.0,,23.0,,21.0,22.0,23.0,,23.0,20.0,19.0,,22.0,,,20.0,21.0,,,18.0,19.0,25.0,,,,,25.0
299,1187,1128,H,oregon,68,NL,0.5,4,W,189,18.0,25.0,23.0,,,20.0,22.0,,,,,,,22.0,,,,19.0,,25.0,,24.0,,17.0,,,13.0,18.0,,,,20.0,,14.0,25.0,17.0,,20.0,15.0,25.0,21.0,21.0,,15.0,,,,21.0,22.0,16.0,19.0,,20.0,23.0,19.0,,,21.0,25.0,,,,,,18.0
387,1519,1203,H,oregon,128,NL,0.5,4,W,189,18.0,25.0,23.0,,,20.0,22.0,,,,,,,22.0,,,,19.0,,25.0,,24.0,,17.0,,,13.0,18.0,,,,20.0,,14.0,25.0,17.0,,20.0,15.0,25.0,21.0,21.0,,15.0,,,,21.0,22.0,16.0,19.0,,20.0,23.0,19.0,,,21.0,25.0,,,,,,18.0
305,1208,1129,V,syracuse,60,240,0.29411764705882354,4,L,229,,22.0,22.0,24.0,21.0,,23.0,22.0,18.0,21.0,23.0,24.0,25.0,19.0,21.0,,20.0,,25.0,20.0,22.0,25.0,22.0,22.0,23.0,23.0,19.0,24.0,22.0,25.0,22.0,25.0,24.0,20.0,23.0,22.0,18.0,21.0,17.0,19.0,24.0,16.0,22.0,25.0,25.0,24.0,24.0,14.0,18.0,24.0,,22.0,24.0,25.0,22.0,21.0,24.0,19.0,23.0,,23.0,,,20.0,
307,1210,1129,V,rhode-island,62,-130,0.5652173913043478,4,L,354,19.0,21.0,19.0,21.0,16.0,23.0,24.0,20.0,21.0,22.0,21.0,21.0,18.0,18.0,22.0,,19.0,23.0,18.0,21.0,16.0,17.0,,20.0,17.0,17.0,,19.0,20.0,21.0,20.0,18.0,18.0,23.0,19.0,21.0,23.0,,,23.0,25.0,19.0,16.0,20.0,20.0,18.0,18.0,,15.0,18.0,21.0,17.0,21.0,24.0,20.0,20.0,23.0,22.0,24.0,24.0,20.0,20.0,17.0,18.0,21.0
362,1418,1203,V,rhode-island,60,-170,0.6296296296296297,4,L,354,19.0,21.0,19.0,21.0,16.0,23.0,24.0,20.0,21.0,22.0,21.0,21.0,18.0,18.0,22.0,,19.0,23.0,18.0,21.0,16.0,17.0,,20.0,17.0,17.0,,19.0,20.0,21.0,20.0,18.0,18.0,23.0,19.0,21.0,23.0,,,23.0,25.0,19.0,16.0,20.0,20.0,18.0,18.0,,15.0,18.0,21.0,17.0,21.0,24.0,20.0,20.0,23.0,22.0,24.0,24.0,20.0,20.0,17.0,18.0,21.0
388,1521,1204,H,south-carolina,70,NL,0.5,4,W,379,24.0,19.0,,19.0,18.0,22.0,19.0,21.0,16.0,19.0,22.0,23.0,20.0,17.0,20.0,18.0,17.0,21.0,21.0,17.0,21.0,20.0,21.0,21.0,22.0,19.0,22.0,22.0,18.0,22.0,18.0,24.0,17.0,,22.0,19.0,17.0,17.0,21.0,17.0,19.0,23.0,20.0,23.0,22.0,22.0,22.0,24.0,21.0,23.0,17.0,21.0,18.0,18.0,18.0,13.0,19.0,,22.0,19.0,19.0,22.0,16.0,16.0,23.0
345,1343,1201,H,iowa-state,54,-260,0.7222222222222222,4,L,389,17.0,16.0,20.0,18.0,22.0,24.0,18.0,17.0,22.0,20.0,19.0,20.0,19.0,,18.0,23.0,24.0,20.0,19.0,23.0,19.0,22.0,19.0,23.0,19.0,18.0,21.0,23.0,19.0,20.0,21.0,21.0,16.0,22.0,21.0,24.0,21.0,,20.0,24.0,20.0,18.0,23.0,18.0,17.0,14.0,16.0,23.0,16.0,21.0,23.0,19.0,22.0,21.0,24.0,23.0,20.0,20.0,17.0,17.0,21.0,17.0,22.0,14.0,11.0
298,1184,1128,V,butler,68,-115,0.5348837209302325,4,W,506,,20.0,18.0,16.0,13.0,18.0,,18.0,13.0,17.0,17.0,17.0,21.0,15.0,16.0,14.0,,17.0,22.0,22.0,18.0,18.0,17.0,18.0,20.0,20.0,25.0,20.0,14.0,15.0,19.0,23.0,19.0,,20.0,18.0,14.0,16.0,22.0,14.0,13.0,22.0,17.0,,18.0,19.0,13.0,15.0,,19.0,18.0,15.0,19.0,19.0,,14.0,15.0,,21.0,11.0,10.0,15.0,14.0,12.0,13.0
384,1513,1203,H,butler,82,NL,0.5,4,W,506,,20.0,18.0,16.0,13.0,18.0,,18.0,13.0,17.0,17.0,17.0,21.0,15.0,16.0,14.0,,17.0,22.0,22.0,18.0,18.0,17.0,18.0,20.0,20.0,25.0,20.0,14.0,15.0,19.0,23.0,19.0,,20.0,18.0,14.0,16.0,22.0,14.0,13.0,22.0,17.0,,18.0,19.0,13.0,15.0,,19.0,18.0,15.0,19.0,19.0,,14.0,15.0,,21.0,11.0,10.0,15.0,14.0,12.0,13.0
306,1209,1129,H,wisconsin,77,-280,0.7368421052631579,4,W,555,20.0,17.0,15.0,15.0,15.0,16.0,17.0,16.0,19.0,15.0,15.0,13.0,17.0,21.0,14.0,24.0,,16.0,17.0,18.0,14.0,21.0,16.0,16.0,14.0,15.0,11.0,11.0,24.0,17.0,17.0,14.0,22.0,17.0,18.0,20.0,25.0,19.0,16.0,20.0,22.0,20.0,18.0,21.0,15.0,17.0,17.0,16.0,20.0,17.0,20.0,16.0,16.0,17.0,16.0,19.0,17.0,16.0,18.0,16.0,15.0,16.0,20.0,21.0,16.0
365,1429,1203,H,wisconsin,90,-440,0.8148148148148148,4,W,555,20.0,17.0,15.0,15.0,15.0,16.0,17.0,16.0,19.0,15.0,15.0,13.0,17.0,21.0,14.0,24.0,,16.0,17.0,18.0,14.0,21.0,16.0,16.0,14.0,15.0,11.0,11.0,24.0,17.0,17.0,14.0,22.0,17.0,18.0,20.0,25.0,19.0,16.0,20.0,22.0,20.0,18.0,21.0,15.0,17.0,17.0,16.0,20.0,17.0,20.0,16.0,16.0,17.0,16.0,19.0,17.0,16.0,18.0,16.0,15.0,16.0,20.0,21.0,16.0
342,1335,1130,H,arizona,85,-1350,0.9310344827586207,4,W,655,11.0,15.0,9.0,17.0,17.0,19.0,16.0,19.0,14.0,18.0,18.0,18.0,13.0,16.0,19.0,20.0,13.0,18.0,15.0,14.0,20.0,12.0,18.0,19.0,18.0,21.0,18.0,13.0,,18.0,7.0,13.0,20.0,11.0,12.0,14.0,15.0,14.0,11.0,15.0,14.0,14.0,19.0,11.0,19.0,21.0,21.0,11.0,,20.0,12.0,20.0,14.0,13.0,12.0,18.0,18.0,11.0,16.0,14.0,14.0,18.0,18.0,13.0,14.0
378,1465,1203,N,arizona,62,190,0.3448275862068966,4,L,655,11.0,15.0,9.0,17.0,17.0,19.0,16.0,19.0,14.0,18.0,18.0,18.0,13.0,16.0,19.0,20.0,13.0,18.0,15.0,14.0,20.0,12.0,18.0,19.0,18.0,21.0,18.0,13.0,,18.0,7.0,13.0,20.0,11.0,12.0,14.0,15.0,14.0,11.0,15.0,14.0,14.0,19.0,11.0,19.0,21.0,21.0,11.0,,20.0,12.0,20.0,14.0,13.0,12.0,18.0,18.0,11.0,16.0,14.0,14.0,18.0,18.0,13.0,14.0
324,1266,1130,V,purdue,64,225,0.3076923076923077,4,L,687,15.0,18.0,24.0,20.0,19.0,11.0,15.0,15.0,15.0,11.0,16.0,16.0,16.0,20.0,11.0,22.0,15.0,15.0,11.0,16.0,17.0,19.0,13.0,8.0,16.0,16.0,15.0,16.0,17.0,19.0,16.0,17.0,14.0,13.0,11.0,16.0,12.0,18.0,18.0,18.0,16.0,17.0,15.0,17.0,14.0,15.0,14.0,17.0,13.0,10.0,15.0,13.0,15.0,16.0,17.0,17.0,16.0,17.0,8.0,15.0,16.0,11.0,15.0,22.0,12.0
381,1475,1203,H,purdue,90,-4500,0.9782608695652174,4,W,687,15.0,18.0,24.0,20.0,19.0,11.0,15.0,15.0,15.0,11.0,16.0,16.0,16.0,20.0,11.0,22.0,15.0,15.0,11.0,16.0,17.0,19.0,13.0,8.0,16.0,16.0,15.0,16.0,17.0,19.0,16.0,17.0,14.0,13.0,11.0,16.0,12.0,18.0,18.0,18.0,16.0,17.0,15.0,17.0,14.0,15.0,14.0,17.0,13.0,10.0,15.0,13.0,15.0,16.0,17.0,17.0,16.0,17.0,8.0,15.0,16.0,11.0,15.0,22.0,12.0
325,1267,1130,H,louisville,71,-280,0.7368421052631579,4,W,808,13.0,13.0,12.0,14.0,20.0,9.0,13.0,13.0,17.0,12.0,13.0,14.0,15.0,14.0,9.0,11.0,16.0,12.0,12.0,15.0,12.0,11.0,12.0,14.0,13.0,11.0,10.0,15.0,9.0,9.0,15.0,16.0,13.0,18.0,13.0,15.0,19.0,15.0,14.0,12.0,17.0,15.0,14.0,16.0,12.0,13.0,15.0,10.0,14.0,13.0,14.0,12.0,13.0,15.0,11.0,15.0,10.0,14.0,12.0,13.0,13.0,10.0,24.0,19.0,15.0
339,1313,1130,H,ucla,98,NL,0.5,4,W,955,12.0,9.0,11.0,11.0,9.0,17.0,12.0,11.0,11.0,16.0,10.0,9.0,9.0,11.0,15.0,7.0,14.0,13.0,13.0,9.0,8.0,8.0,7.0,13.0,9.0,10.0,17.0,9.0,12.0,13.0,13.0,8.0,10.0,9.0,8.0,11.0,6.0,13.0,8.0,8.0,12.0,10.0,9.0,10.0,16.0,8.0,8.0,8.0,12.0,9.0,16.0,11.0,10.0,10.0,14.0,8.0,13.0,13.0,15.0,22.0,12.0,12.0,12.0,17.0,19.0
351,1378,1203,V,ucla,97,550,0.15384615384615385,4,W,955,12.0,9.0,11.0,11.0,9.0,17.0,12.0,11.0,11.0,16.0,10.0,9.0,9.0,11.0,15.0,7.0,14.0,13.0,13.0,9.0,8.0,8.0,7.0,13.0,9.0,10.0,17.0,9.0,12.0,13.0,13.0,8.0,10.0,9.0,8.0,11.0,6.0,13.0,8.0,8.0,12.0,10.0,9.0,10.0,16.0,8.0,8.0,8.0,12.0,9.0,16.0,11.0,10.0,10.0,14.0,8.0,13.0,13.0,15.0,22.0,12.0,12.0,12.0,17.0,19.0
311,1219,1129,H,creighton,93,NL,0.5,4,W,965,10.0,10.0,10.0,13.0,12.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,10.0,12.0,12.0,13.0,9.0,10.0,14.0,11.0,13.0,10.0,14.0,6.0,11.0,13.0,20.0,10.0,15.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,9.0,11.0,16.0,10.0,19.0,11.0,11.0,10.0,10.0,12.0,11.0,9.0,6.0,12.0,10.0,14.0,9.0,11.0,14.0,8.0,11.0,7.0
371,1441,1203,H,creighton,82,-1100,0.9166666666666666,4,W,965,10.0,10.0,10.0,13.0,12.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,10.0,12.0,12.0,13.0,9.0,10.0,14.0,11.0,13.0,10.0,14.0,6.0,11.0,13.0,20.0,10.0,15.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,9.0,11.0,16.0,10.0,19.0,11.0,11.0,10.0,10.0,12.0,11.0,9.0,6.0,12.0,10.0,14.0,9.0,11.0,14.0,8.0,11.0,7.0
359,1407,1203,H,baylor,76,-200,0.6666666666666666,4,W,1068,16.0,11.0,14.0,9.0,7.0,8.0,9.0,9.0,10.0,8.0,12.0,10.0,11.0,9.0,7.0,10.0,10.0,7.0,8.0,12.0,10.0,13.0,11.0,7.0,12.0,9.0,8.0,17.0,4.0,7.0,12.0,10.0,8.0,15.0,9.0,13.0,8.0,9.0,19.0,9.0,9.0,12.0,8.0,13.0,10.0,9.0,7.0,9.0,7.0,12.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,12.0,11.0,1.0,6.0,9.0,10.0,7.0,8.0
377,1464,1203,N,gonzaga,69,-220,0.6875,4,W,1112,9.0,8.0,13.0,8.0,11.0,7.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,12.0,8.0,6.0,9.0,8.0,10.0,6.0,10.0,9.0,12.0,8.0,15.0,9.0,9.0,8.0,10.0,16.0,8.0,9.0,5.0,8.0,9.0,10.0,11.0,12.0,9.0,8.0,9.0,9.0,9.0,12.0,7.0,12.0,8.0,7.0,9.0,8.0,9.0,8.0,6.0,8.0,10.0
316,1229,1129,H,xavier,85,-2150,0.9555555555555556,4,W,1181,8.0,6.0,8.0,6.0,8.0,14.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,10.0,6.0,7.0,7.0,10.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,10.0,7.0,7.0,7.0,6.0,7.0,12.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,7.0,4.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,5.0,11.0,10.0,17.0
358,1406,1203,V,xavier,61,175,0.36363636363636365,4,L,1181,8.0,6.0,8.0,6.0,8.0,14.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,10.0,6.0,7.0,7.0,10.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,10.0,7.0,7.0,7.0,6.0,7.0,12.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,7.0,4.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,5.0,11.0,10.0,17.0
336,1303,1130,H,virginia,63,-750,0.8823529411764706,4,W,1286,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,4.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,11.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,10.0,6.0,4.0,6.0,12.0,7.0,7.0,9.0,4.0,6.0
356,1391,1203,H,virginia,57,-400,0.8,4,L,1286,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,4.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,11.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,10.0,6.0,4.0,6.0,12.0,7.0,7.0,9.0,4.0,6.0
314,1225,1129,H,duke,78,-1200,0.9230769230769231,4,W,1365,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
386,1517,1203,H,duke,94,NL,0.5,4,W,1365,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
310,1217,1129,H,kansas,91,-25000,0.9960159362549801,4,W,1414,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0
360,1409,1203,H,kansas,89,NL,0.5,4,W,1414,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0
334,1300,1130,V,north-carolina,67,-240,0.7058823529411765,4,L,1497,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,2.0,3.0,2.0,3.0,1.0
303,1200,1129,V,villanova,82,-1800,0.9473684210526315,4,W,1567,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0
353,1387,1203,H,villanova,88,-2150,0.9555555555555556,4,W,1567,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0
295,1179,1128,H,kentucky,115,NL,0.5,4,W,1590,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0
352,1379,1203,H,kentucky,92,-800,0.8888888888888888,4,L,1590,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0
398,1569,1206,H,michigan-state,77,-3250,0.9701492537313433,5,W,3,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1635,1207,H,temple,63,-500,0.8333333333333334,5,L,3,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
468,1778,1210,N,temple,74,-270,0.7297297297297297,5,W,3,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
474,1791,1210,H,michigan-state,71,NL,0.5,5,W,3,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1595,1206,H,wichita-state,75,-16500,0.9939759036144579,5,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,23.0,,,,,
448,1738,1210,V,wichita-state,76,-200,0.6666666666666666,5,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,23.0,,,,,
426,1646,1207,V,valparaiso,63,NL,0.5,5,L,7,24.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
461,1762,1210,V,valparaiso,84,-140,0.5833333333333334,5,W,7,24.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
437,1691,1207,H,maryland,79,NL,0.5,5,W,9,,,,,,,,,,,,,,,,20.0,,,,,,25.0,,,,,,,,,,,,25.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1787,1210,H,maryland,66,-1100,0.9166666666666666,5,W,9,,,,,,,,,,,,,,,,20.0,,,,,,25.0,,,,,,,,,,,,25.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1601,1206,N,california,62,100,0.5,5,W,10,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,24.0,,,,,23.0,,,,,,,,,,,,,,,,,
431,1661,1207,N,california,57,-120,0.5454545454545454,5,L,10,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,24.0,,,,,23.0,,,,,,,,,,,,,,,,,
467,1777,1210,H,california,86,NL,0.5,5,W,10,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,24.0,,,,,23.0,,,,,,,,,,,,,,,,,
483,1847,1211,H,virginia-tech,80,-500,0.8333333333333334,5,W,11,,,,,,24.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,24.0,,,,,,,,,22.0,,25.0,,
396,1565,1206,H,florida-state,98,-10000,0.9900990099009901,5,W,18,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,23.0,,,23.0,,,,,,,,,,,,22.0,,21.0,,,,,,,,,,,,,,
440,1705,1208,H,florida-state,118,NL,0.5,5,W,18,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,23.0,,,23.0,,,,,,,,,,,,22.0,,21.0,,,,,,,,,,,,,,
487,1853,1211,H,florida-state,83,-175,0.6363636363636364,5,W,18,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,23.0,,,23.0,,,,,,,,,,,,22.0,,21.0,,,,,,,,,,,,,,
421,1636,1207,V,tcu,59,125,0.4444444444444444,5,L,33,,25.0,,,24.0,,25.0,,25.0,,,,,,,22.0,,,,25.0,,23.0,,,,,,,,,,23.0,,,,,,,,,23.0,,,,,,20.0,,24.0,,,,,,,,,,,21.0,,,,25.0,
479,1819,1210,H,tcu,72,NL,0.5,5,W,33,,25.0,,,24.0,,25.0,,25.0,,,,,,,22.0,,,,25.0,,23.0,,,,,,,,,,23.0,,,,,,,,,23.0,,,,,,20.0,,24.0,,,,,,,,,,,21.0,,,,25.0,
402,1583,1206,H,ohio-state,77,-4250,0.9770114942528736,5,L,40,,,,,,,,25.0,,,,,,,,19.0,,,,,,19.0,25.0,,,,,,19.0,18.0,,,,,,,22.0,,,,,,25.0,,,,,24.0,,,,,,,,,,,,,,24.0,,,
