,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
0,1,1111,H,louisville,78,-5000,0.9803921568627451,1,W,755,17.0,13.0,18.0,12.0,19.0,10.0,12.0,14.0,12.0,16.0,16.0,15.0,16.0,14.0,7.0,13.0,23.0,14.0,14.0,13.0,16.0,11.0,13.0,17.0,14.0,16.0,13.0,11.0,9.0,12.0,16.0,19.0,19.0,16.0,12.0,12.0,13.0,15.0,15.0,13.0,15.0,17.0,11.0,13.0,13.0,15.0,13.0,11.0,14.0,13.0,16.0,12.0,12.0,16.0,10.0,13.0,12.0,22.0,7.0,10.0,8.0,14.0,,,
15,56,1111,N,michigan-state,63,-120,0.5454545454545454,1,L,903,6.0,16.0,7.0,10.0,14.0,19.0,11.0,10.0,7.0,10.0,9.0,12.0,9.0,13.0,10.0,14.0,11.0,10.0,13.0,14.0,15.0,16.0,12.0,12.0,15.0,10.0,16.0,10.0,13.0,15.0,9.0,13.0,12.0,11.0,10.0,9.0,11.0,14.0,13.0,11.0,12.0,12.0,13.0,7.0,16.0,9.0,16.0,10.0,10.0,12.0,15.0,11.0,17.0,8.0,9.0,15.0,15.0,16.0,6.0,16.0,12.0,8.0,,14.0,10.0
16,57,1111,N,arizona,65,100,0.5,1,W,1004,5.0,9.0,13.0,11.0,12.0,8.0,9.0,13.0,11.0,11.0,15.0,9.0,10.0,8.0,14.0,11.0,8.0,11.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,9.0,13.0,11.0,10.0,10.0,12.0,9.0,9.0,8.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,14.0,11.0,11.0,10.0,12.0,9.0,13.0,10.0,10.0,13.0,10.0,10.0,11.0,8.0,10.0,5.0,13.0,9.0,9.0,12.0,13.0,13.0,12.0
24,92,1111,V,virginia,76,-1350,0.9310344827586207,1,W,1149,13.0,8.0,8.0,8.0,5.0,9.0,7.0,7.0,9.0,8.0,10.0,6.0,7.0,9.0,9.0,7.0,12.0,9.0,6.0,8.0,5.0,12.0,7.0,9.0,8.0,8.0,5.0,7.0,10.0,9.0,6.0,8.0,11.0,12.0,7.0,10.0,10.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,4.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,8.0,11.0,10.0,6.0,8.0,8.0,4.0
8,32,1111,V,north-carolina,95,-4500,0.9782608695652174,1,W,1314,9.0,7.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,8.0,6.0,5.0,8.0,5.0,4.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,4.0,5.0,4.0,5.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,5.0,9.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0
45,195,1113,H,north-carolina,97,-2500,0.9615384615384616,1,W,1314,9.0,7.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,8.0,6.0,5.0,8.0,5.0,4.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,4.0,5.0,4.0,5.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,5.0,9.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0
35,133,1111,H,oregon,91,-42000,0.997624703087886,1,W,1343,7.0,5.0,11.0,5.0,3.0,5.0,4.0,6.0,6.0,2.0,5.0,5.0,3.0,3.0,2.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,4.0,6.0,8.0,5.0,8.0,5.0,5.0,4.0,9.0,5.0,3.0,4.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,5.0,6.0,4.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,11.0,6.0,2.0,9.0,1.0,2.0,9.0
32,125,1111,H,villanova,88,NL,0.5,1,W,1465,1.0,3.0,3.0,4.0,6.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,4.0,9.0,5.0,3.0,5.0,4.0,2.0,3.0,1.0,7.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,7.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0
17,59,1111,N,kansas,99,-240,0.7058823529411765,1,L,1476,3.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,5.0,2.0,4.0,7.0,2.0
33,127,1111,H,kentucky,87,-4500,0.9782608695652174,1,W,1479,4.0,2.0,4.0,2.0,4.0,7.0,2.0,5.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,7.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0
