,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
36,130,1114,V,michigan-state,64,-2150,0.9555555555555556,1,W,521,15.0,17.0,15.0,24.0,17.0,18.0,25.0,15.0,18.0,22.0,18.0,23.0,16.0,17.0,16.0,18.0,13.0,20.0,18.0,19.0,21.0,22.0,13.0,17.0,15.0,19.0,20.0,15.0,19.0,20.0,19.0,17.0,10.0,21.0,21.0,22.0,22.0,10.0,19.0,16.0,18.0,19.0,,15.0,16.0,21.0,14.0,18.0,16.0,25.0,17.0,17.0,19.0,19.0,16.0,16.0,18.0,21.0,10.0,22.0,17.0,19.0,16.0,14.0,18.0
12,33,1114,H,san-diego-state,79,-1635,0.9423631123919308,1,W,560,20.0,16.0,24.0,14.0,16.0,17.0,13.0,17.0,11.0,14.0,22.0,17.0,19.0,15.0,18.0,14.0,20.0,16.0,17.0,20.0,15.0,23.0,17.0,15.0,20.0,17.0,17.0,13.0,17.0,13.0,16.0,18.0,19.0,20.0,17.0,15.0,18.0,15.0,18.0,14.0,16.0,,,17.0,18.0,18.0,17.0,14.0,24.0,,16.0,14.0,17.0,15.0,21.0,18.0,11.0,17.0,16.0,14.0,18.0,23.0,15.0,17.0,19.0
5,15,1114,H,iowa-state,93,-7750,0.9872611464968153,1,W,781,10.0,14.0,12.0,19.0,13.0,10.0,19.0,12.0,16.0,15.0,15.0,14.0,12.0,14.0,13.0,19.0,14.0,13.0,10.0,16.0,16.0,14.0,5.0,13.0,14.0,14.0,12.0,18.0,12.0,14.0,14.0,16.0,13.0,14.0,14.0,14.0,14.0,16.0,15.0,9.0,14.0,15.0,13.0,16.0,21.0,12.0,16.0,12.0,20.0,7.0,14.0,15.0,13.0,14.0,13.0,13.0,14.0,13.0,19.0,13.0,14.0,17.0,13.0,12.0,15.0
24,103,1114,H,gonzaga,104,-10000,0.9900990099009901,1,W,840,11.0,13.0,14.0,10.0,14.0,14.0,11.0,,12.0,13.0,12.0,13.0,14.0,13.0,10.0,9.0,15.0,10.0,11.0,9.0,8.0,8.0,15.0,11.0,11.0,11.0,10.0,14.0,22.0,15.0,13.0,15.0,17.0,12.0,12.0,11.0,10.0,13.0,12.0,18.0,13.0,13.0,7.0,13.0,13.0,17.0,12.0,15.0,19.0,10.0,13.0,13.0,10.0,12.0,14.0,15.0,12.0,11.0,15.0,16.0,13.0,15.0,18.0,15.0,14.0
35,127,1114,H,wichita-state,71,-1020,0.9107142857142857,1,W,1027,9.0,9.0,9.0,7.0,11.0,9.0,9.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,12.0,13.0,5.0,10.0,14.0,14.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0,8.0,9.0,8.0,8.0,11.0,11.0,9.0,12.0,5.0,14.0,11.0,8.0,15.0,8.0,9.0,11.0,14.0,19.0,12.0,9.0,12.0,11.0,11.0,10.0,10.0,12.0,7.0,8.0,11.0,9.0,10.0,10.0,10.0
20,89,1114,H,texas,85,-2500,0.9615384615384616,1,W,1061,16.0,10.0,10.0,3.0,10.0,8.0,6.0,10.0,14.0,10.0,9.0,8.0,11.0,25.0,14.0,6.0,10.0,11.0,5.0,8.0,10.0,9.0,10.0,10.0,7.0,12.0,13.0,7.0,6.0,9.0,12.0,10.0,5.0,17.0,11.0,9.0,7.0,9.0,8.0,13.0,12.0,8.0,6.0,12.0,11.0,7.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,10.0,8.0,12.0,2.0,7.0,12.0,7.0,10.0,7.0,9.0,13.0,11.0
63,235,1116,H,texas,85,NL,0.5,1,W,1061,16.0,10.0,10.0,3.0,10.0,8.0,6.0,10.0,14.0,10.0,9.0,8.0,11.0,25.0,14.0,6.0,10.0,11.0,5.0,8.0,10.0,9.0,10.0,10.0,7.0,12.0,13.0,7.0,6.0,9.0,12.0,10.0,5.0,17.0,11.0,9.0,7.0,9.0,8.0,13.0,12.0,8.0,6.0,12.0,11.0,7.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,10.0,8.0,12.0,2.0,7.0,12.0,7.0,10.0,7.0,9.0,13.0,11.0
3,8,1114,V,virginia,79,-1703,0.9445368829728231,1,W,1090,13.0,8.0,7.0,5.0,7.0,15.0,10.0,8.0,9.0,11.0,8.0,4.0,7.0,10.0,8.0,15.0,6.0,9.0,8.0,5.0,11.0,12.0,7.0,8.0,13.0,8.0,9.0,12.0,7.0,11.0,8.0,9.0,14.0,10.0,10.0,13.0,6.0,12.0,7.0,10.0,11.0,12.0,5.0,11.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0,7.0,9.0,7.0,9.0,13.0,8.0,13.0,11.0,8.0,4.0,14.0,7.0,12.0
2,5,1114,H,louisville,81,-465,0.8230088495575221,1,W,1114,4.0,12.0,6.0,12.0,8.0,7.0,8.0,9.0,6.0,8.0,10.0,5.0,9.0,7.0,9.0,12.0,11.0,14.0,9.0,11.0,13.0,11.0,4.0,7.0,12.0,10.0,8.0,10.0,15.0,8.0,7.0,7.0,7.0,8.0,9.0,12.0,13.0,8.0,11.0,8.0,3.0,7.0,14.0,6.0,5.0,10.0,6.0,8.0,10.0,11.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,13.0,8.0,8.0,7.0
0,1,1114,H,florida,68,-6400,0.9846153846153847,1,W,1153,8.0,7.0,11.0,17.0,9.0,13.0,12.0,4.0,8.0,6.0,7.0,12.0,8.0,8.0,7.0,11.0,7.0,6.0,13.0,4.0,9.0,6.0,11.0,9.0,9.0,7.0,7.0,11.0,8.0,7.0,9.0,8.0,9.0,7.0,7.0,10.0,5.0,7.0,10.0,7.0,4.0,9.0,9.0,9.0,9.0,11.0,11.0,6.0,5.0,12.0,6.0,7.0,9.0,7.0,6.0,7.0,6.0,9.0,9.0,9.0,6.0,6.0,7.0,9.0,8.0
