,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
471,1574,1207,V,california,63,-390,0.7959183673469388,4,W,8,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,
385,1305,1202,H,wyoming,68,-525,0.84,4,W,10,,,,24.0,,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,,,,,,,24.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
429,1430,1205,V,wyoming,53,180,0.35714285714285715,4,L,10,,,,24.0,,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,,,,,,,24.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
401,1344,1203,V,creighton,64,110,0.47619047619047616,4,L,29,,,,,,25.0,,,,25.0,23.0,,,,,,,,21.0,,,,24.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,,
474,1582,1207,V,creighton,65,240,0.29411764705882354,4,W,29,,,,,,25.0,,,,25.0,23.0,,,,,,,,21.0,,,,24.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,,
473,1581,1207,H,georgetown,78,-2000,0.9523809523809523,4,W,30,,22.0,,22.0,,,,,,,25.0,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,24.0,24.0,,,,24.0,,,,,,22.0,20.0,
431,1434,1205,V,florida,65,285,0.2597402597402597,4,L,40,22.0,,,,,,,,,,,,,,23.0,,,21.0,,,,,25.0,,,,,,25.0,,,,,15.0,,,,,,,,,,,,,,,,24.0,20.0,,,,,,,22.0,,,23.0,,,,
374,1270,1202,V,syracuse,65,155,0.39215686274509803,4,L,49,,25.0,23.0,,,,,,,,,,,,20.0,,25.0,,,,,,,,,,,,18.0,,,,,22.0,,,23.0,,,,,,,,,21.0,22.0,,,19.0,23.0,,,,,,,,22.0,,,,,,
447,1481,1206,H,syracuse,57,-320,0.7619047619047619,4,L,49,,25.0,23.0,,,,,,,,,,,,20.0,,25.0,,,,,,,,,,,,18.0,,,,,22.0,,,23.0,,,,,,,,,21.0,22.0,,,19.0,23.0,,,,,,,,22.0,,,,,,
427,1426,1205,V,providence,60,-145,0.5918367346938775,4,L,56,,23.0,24.0,20.0,25.0,,,,,24.0,,22.0,21.0,,,,,23.0,,,,,,,,,,23.0,,25.0,,,,,,,,,,,,24.0,,24.0,22.0,,,,,,,25.0,,,18.0,,,,,24.0,,,25.0,21.0,25.0
400,1343,1203,H,oklahoma-state,87,-5513,0.9821842152146802,4,W,69,19.0,,,,,23.0,,,23.0,,,,,,,,22.0,25.0,,,,,,,,,,,20.0,,,,23.0,21.0,,,18.0,,,,,19.0,,,,,21.0,,,,21.0,,,,,22.0,,,23.0,,21.0,,,,
436,1454,1206,V,oklahoma-state,49,-125,0.5555555555555556,4,L,69,19.0,,,,,23.0,,,23.0,,,,,,,,22.0,25.0,,,,,,,,,,,20.0,,,,23.0,21.0,,,18.0,,,,,19.0,,,,,21.0,,,,21.0,,,,,22.0,,,23.0,,21.0,,,,
426,1425,1205,H,connecticut,44,-430,0.8113207547169812,4,L,76,25.0,,,,,,,,,,24.0,25.0,,,25.0,18.0,,,23.0,,,18.0,15.0,,25.0,,,25.0,,,,,24.0,19.0,,,,21.0,18.0,20.0,,,,,,25.0,,,25.0,,,,,23.0,,,25.0,25.0,,,25.0,23.0,,,
454,1499,1206,H,northern-iowa,71,-1085,0.9156118143459916,4,W,83,18.0,,,,24.0,,24.0,,25.0,,,,,21.0,,25.0,,24.0,,15.0,,,,25.0,,,23.0,,,23.0,22.0,,,24.0,21.0,21.0,22.0,,,,23.0,,,22.0,,,19.0,24.0,24.0,,25.0,,,,,25.0,,24.0,,25.0,,25.0,,,
378,1284,1202,V,illinois,61,129,0.4366812227074236,4,L,104,,24.0,25.0,25.0,23.0,,,20.0,,,21.0,,,20.0,,,21.0,,,18.0,19.0,,,21.0,,25.0,,20.0,,,,19.0,25.0,,,25.0,,,,,,25.0,,,24.0,22.0,,25.0,,18.0,,23.0,,22.0,24.0,,23.0,23.0,,22.0,,,24.0,24.0,
392,1328,1203,V,butler,77,-315,0.7590361445783133,4,W,222,,20.0,,17.0,21.0,24.0,23.0,24.0,,20.0,16.0,20.0,20.0,24.0,,23.0,,,19.0,,22.0,20.0,,24.0,13.0,23.0,21.0,22.0,,22.0,24.0,,,,24.0,17.0,,22.0,,25.0,18.0,20.0,,,19.0,,25.0,23.0,22.0,,,21.0,21.0,17.0,22.0,23.0,21.0,,18.0,20.0,,17.0,20.0,19.0,
444,1477,1206,H,butler,65,-650,0.8666666666666667,4,W,222,,20.0,,17.0,21.0,24.0,23.0,24.0,,20.0,16.0,20.0,20.0,24.0,,23.0,,,19.0,,22.0,20.0,,24.0,13.0,23.0,21.0,22.0,,22.0,24.0,,,,24.0,17.0,,22.0,,25.0,18.0,20.0,,,19.0,,25.0,23.0,22.0,,,21.0,21.0,17.0,22.0,23.0,21.0,,18.0,20.0,,17.0,20.0,19.0,
433,1437,1205,H,oklahoma,82,-1070,0.9145299145299145,4,W,254,,19.0,22.0,16.0,,21.0,20.0,22.0,22.0,21.0,,19.0,23.0,,,20.0,,20.0,,,23.0,17.0,21.0,,12.0,21.0,25.0,21.0,,21.0,,22.0,,23.0,22.0,16.0,,,24.0,24.0,,,21.0,25.0,18.0,24.0,,21.0,21.0,15.0,,20.0,15.0,16.0,21.0,20.0,20.0,20.0,,19.0,,16.0,,17.0,24.0
408,1355,1203,H,maryland,65,210,0.3225806451612903,4,L,306,,,,23.0,18.0,22.0,18.0,17.0,16.0,22.0,18.0,23.0,22.0,18.0,19.0,21.0,18.0,,17.0,19.0,20.0,21.0,,22.0,20.0,22.0,19.0,18.0,21.0,24.0,20.0,20.0,15.0,,,22.0,,,22.0,23.0,21.0,22.0,15.0,17.0,23.0,23.0,18.0,20.0,19.0,23.0,,22.0,23.0,24.0,23.0,24.0,22.0,,16.0,21.0,24.0,14.0,23.0,23.0,18.0
421,1409,1204,H,iowa-state,95,-275,0.7333333333333333,4,W,330,16.0,,20.0,,22.0,13.0,22.0,18.0,18.0,23.0,20.0,24.0,24.0,19.0,17.0,22.0,,,18.0,,25.0,22.0,17.0,19.0,21.0,18.0,22.0,,24.0,18.0,21.0,18.0,17.0,16.0,19.0,,20.0,18.0,20.0,19.0,19.0,,18.0,20.0,25.0,15.0,20.0,18.0,23.0,13.0,19.0,,25.0,25.0,25.0,18.0,,17.0,17.0,,17.0,15.0,,,23.0
395,1334,1203,V,michigan-state,78,130,0.43478260869565216,4,L,423,24.0,16.0,17.0,21.0,20.0,20.0,25.0,15.0,21.0,19.0,,16.0,16.0,,24.0,16.0,,18.0,20.0,20.0,21.0,15.0,16.0,18.0,18.0,20.0,20.0,24.0,16.0,19.0,18.0,24.0,18.0,,18.0,15.0,24.0,17.0,16.0,18.0,24.0,16.0,23.0,21.0,20.0,20.0,23.0,19.0,18.0,16.0,16.0,18.0,16.0,19.0,17.0,17.0,16.0,18.0,,23.0,16.0,20.0,,16.0,16.0
461,1549,1206,H,michigan-state,85,-37800,0.9973614775725593,4,W,423,24.0,16.0,17.0,21.0,20.0,20.0,25.0,15.0,21.0,19.0,,16.0,16.0,,24.0,16.0,,18.0,20.0,20.0,21.0,15.0,16.0,18.0,18.0,20.0,20.0,24.0,16.0,19.0,18.0,24.0,18.0,,18.0,15.0,24.0,17.0,16.0,18.0,24.0,16.0,23.0,21.0,20.0,20.0,23.0,19.0,18.0,16.0,16.0,18.0,16.0,19.0,17.0,17.0,16.0,18.0,,23.0,16.0,20.0,,16.0,16.0
420,1408,1204,V,arkansas,77,225,0.3076923076923077,4,L,438,21.0,17.0,19.0,,16.0,19.0,17.0,21.0,20.0,17.0,19.0,18.0,15.0,17.0,16.0,,19.0,17.0,25.0,23.0,14.0,23.0,18.0,20.0,19.0,17.0,18.0,17.0,19.0,17.0,15.0,17.0,21.0,18.0,20.0,23.0,16.0,20.0,21.0,22.0,17.0,18.0,14.0,19.0,21.0,17.0,16.0,22.0,20.0,20.0,,17.0,22.0,21.0,19.0,19.0,18.0,21.0,21.0,17.0,18.0,22.0,19.0,,19.0
469,1570,1207,V,arkansas,65,-150,0.6,4,L,438,21.0,17.0,19.0,,16.0,19.0,17.0,21.0,20.0,17.0,19.0,18.0,15.0,17.0,16.0,,19.0,17.0,25.0,23.0,14.0,23.0,18.0,20.0,19.0,17.0,18.0,17.0,19.0,17.0,15.0,17.0,21.0,18.0,20.0,23.0,16.0,20.0,21.0,22.0,17.0,18.0,14.0,19.0,21.0,17.0,16.0,22.0,20.0,20.0,,17.0,22.0,21.0,19.0,19.0,18.0,21.0,21.0,17.0,18.0,22.0,19.0,,19.0
375,1271,1202,H,michigan,68,-180,0.6428571428571429,4,W,454,23.0,21.0,18.0,18.0,19.0,16.0,19.0,25.0,19.0,18.0,22.0,15.0,17.0,22.0,22.0,14.0,17.0,19.0,,22.0,18.0,16.0,22.0,17.0,22.0,19.0,17.0,19.0,15.0,20.0,,21.0,16.0,17.0,15.0,19.0,21.0,19.0,15.0,17.0,20.0,15.0,17.0,18.0,16.0,18.0,24.0,17.0,17.0,,17.0,19.0,14.0,20.0,20.0,21.0,19.0,19.0,20.0,16.0,20.0,24.0,21.0,15.0,20.0
460,1547,1206,H,michigan,70,-20000,0.9950248756218906,4,L,454,23.0,21.0,18.0,18.0,19.0,16.0,19.0,25.0,19.0,18.0,22.0,15.0,17.0,22.0,22.0,14.0,17.0,19.0,,22.0,18.0,16.0,22.0,17.0,22.0,19.0,17.0,19.0,15.0,20.0,,21.0,16.0,17.0,15.0,19.0,21.0,19.0,15.0,17.0,20.0,15.0,17.0,18.0,16.0,18.0,24.0,17.0,17.0,,17.0,19.0,14.0,20.0,20.0,21.0,19.0,19.0,20.0,16.0,20.0,24.0,21.0,15.0,20.0
417,1399,1204,H,west-virginia,73,-470,0.8245614035087719,4,L,601,17.0,18.0,16.0,14.0,17.0,18.0,15.0,16.0,17.0,16.0,15.0,17.0,19.0,15.0,14.0,17.0,16.0,15.0,13.0,14.0,16.0,19.0,14.0,16.0,23.0,16.0,15.0,16.0,22.0,16.0,14.0,16.0,20.0,,16.0,20.0,13.0,14.0,17.0,15.0,16.0,17.0,24.0,16.0,17.0,19.0,15.0,16.0,13.0,22.0,22.0,16.0,20.0,15.0,15.0,16.0,17.0,16.0,15.0,18.0,19.0,12.0,15.0,18.0,17.0
381,1290,1202,V,ohio-state,55,355,0.21978021978021978,4,L,759,13.0,14.0,13.0,15.0,14.0,17.0,14.0,19.0,13.0,13.0,12.0,13.0,18.0,13.0,13.0,15.0,13.0,13.0,16.0,16.0,13.0,14.0,19.0,14.0,17.0,13.0,12.0,14.0,13.0,14.0,17.0,13.0,13.0,14.0,14.0,14.0,15.0,13.0,14.0,16.0,13.0,13.0,19.0,14.0,12.0,11.0,12.0,13.0,12.0,12.0,14.0,14.0,19.0,12.0,16.0,13.0,14.0,13.0,13.0,13.0,14.0,,18.0,14.0,14.0
462,1551,1206,H,ohio-state,70,-15000,0.9933774834437086,4,W,759,13.0,14.0,13.0,15.0,14.0,17.0,14.0,19.0,13.0,13.0,12.0,13.0,18.0,13.0,13.0,15.0,13.0,13.0,16.0,16.0,13.0,14.0,19.0,14.0,17.0,13.0,12.0,14.0,13.0,14.0,17.0,13.0,13.0,14.0,14.0,14.0,15.0,13.0,14.0,16.0,13.0,13.0,19.0,14.0,12.0,11.0,12.0,13.0,12.0,12.0,14.0,14.0,19.0,12.0,16.0,13.0,14.0,13.0,13.0,13.0,14.0,,18.0,14.0,14.0
422,1413,1204,H,san-diego-state,57,-810,0.8901098901098901,4,W,784,15.0,12.0,15.0,12.0,15.0,14.0,11.0,14.0,14.0,15.0,13.0,12.0,13.0,16.0,18.0,12.0,14.0,16.0,14.0,17.0,12.0,12.0,13.0,13.0,15.0,12.0,13.0,12.0,17.0,13.0,13.0,15.0,12.0,13.0,13.0,10.0,17.0,16.0,13.0,13.0,14.0,12.0,16.0,13.0,13.0,16.0,17.0,15.0,16.0,17.0,13.0,13.0,12.0,14.0,12.0,15.0,12.0,14.0,19.0,14.0,13.0,19.0,13.0,12.0,13.0
476,1586,1207,V,san-diego-state,36,-130,0.5652173913043478,4,L,784,15.0,12.0,15.0,12.0,15.0,14.0,11.0,14.0,14.0,15.0,13.0,12.0,13.0,16.0,18.0,12.0,14.0,16.0,14.0,17.0,12.0,12.0,13.0,13.0,15.0,12.0,13.0,12.0,17.0,13.0,13.0,15.0,12.0,13.0,13.0,10.0,17.0,16.0,13.0,13.0,14.0,12.0,16.0,13.0,13.0,16.0,17.0,15.0,16.0,17.0,13.0,13.0,12.0,14.0,12.0,15.0,12.0,14.0,19.0,14.0,13.0,19.0,13.0,12.0,13.0
399,1339,1203,H,north-carolina,55,-360,0.782608695652174,4,L,864,11.0,15.0,12.0,19.0,12.0,10.0,12.0,11.0,12.0,11.0,17.0,21.0,11.0,12.0,12.0,13.0,15.0,10.0,12.0,12.0,17.0,13.0,12.0,12.0,14.0,15.0,16.0,11.0,11.0,12.0,11.0,12.0,14.0,10.0,12.0,18.0,12.0,12.0,11.0,12.0,10.0,21.0,12.0,11.0,14.0,10.0,11.0,9.0,15.0,9.0,7.0,12.0,13.0,18.0,14.0,12.0,13.0,11.0,8.0,12.0,7.0,18.0,10.0,22.0,10.0
467,1567,1207,H,north-carolina,108,-12500,0.9920634920634921,4,W,864,11.0,15.0,12.0,19.0,12.0,10.0,12.0,11.0,12.0,11.0,17.0,21.0,11.0,12.0,12.0,13.0,15.0,10.0,12.0,12.0,17.0,13.0,12.0,12.0,14.0,15.0,16.0,11.0,11.0,12.0,11.0,12.0,14.0,10.0,12.0,18.0,12.0,12.0,11.0,12.0,10.0,21.0,12.0,11.0,14.0,10.0,11.0,9.0,15.0,9.0,7.0,12.0,13.0,18.0,14.0,12.0,13.0,11.0,8.0,12.0,7.0,18.0,10.0,22.0,10.0
432,1435,1205,H,kansas,71,-355,0.7802197802197802,4,W,1063,10.0,10.0,11.0,11.0,8.0,11.0,13.0,8.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,5.0,12.0,11.0,9.0,11.0,9.0,7.0,10.0,11.0,8.0,11.0,11.0,9.0,12.0,8.0,10.0,8.0,10.0,8.0,11.0,12.0,11.0,6.0,10.0,8.0,12.0,8.0,4.0,12.0,9.0,13.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,12.0,11.0,7.0,11.0,6.0,12.0,8.0,6.0
404,1348,1203,V,villanova,84,-655,0.8675496688741722,4,W,1075,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,11.0,9.0,10.0,8.0,11.0,5.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0,6.0,9.0,11.0,8.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,7.0,3.0,5.0,10.0,9.0,13.0,12.0,6.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,8.0,9.0,11.0
439,1459,1206,H,villanova,74,-5500,0.9821428571428571,4,W,1075,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,11.0,9.0,10.0,8.0,11.0,5.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0,6.0,9.0,11.0,8.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,7.0,3.0,5.0,10.0,9.0,13.0,12.0,6.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,8.0,9.0,11.0
445,1478,1206,V,gonzaga,63,175,0.36363636363636365,4,L,1133,9.0,6.0,9.0,9.0,11.0,8.0,10.0,12.0,10.0,9.0,8.0,9.0,12.0,7.0,7.0,6.0,10.0,5.0,8.0,8.0,6.0,6.0,9.0,5.0,5.0,9.0,9.0,13.0,10.0,7.0,12.0,11.0,8.0,11.0,5.0,6.0,7.0,11.0,5.0,11.0,9.0,6.0,7.0,8.0,7.0,12.0,10.0,11.0,11.0,7.0,11.0,11.0,6.0,9.0,8.0,9.0,5.0,8.0,7.0,9.0,10.0,9.0,9.0,7.0,12.0
412,1370,1203,V,wichita-state,68,135,0.425531914893617,4,L,1165,8.0,5.0,8.0,7.0,10.0,5.0,8.0,10.0,9.0,6.0,11.0,8.0,7.0,6.0,11.0,9.0,7.0,8.0,10.0,10.0,5.0,8.0,6.0,9.0,9.0,8.0,10.0,7.0,6.0,9.0,7.0,9.0,9.0,6.0,6.0,5.0,8.0,9.0,6.0,10.0,8.0,10.0,10.0,7.0,11.0,6.0,7.0,10.0,10.0,14.0,10.0,5.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,6.0,9.0,8.0,7.0,3.0,8.0
453,1495,1206,H,wichita-state,81,-4250,0.9770114942528736,4,W,1165,8.0,5.0,8.0,7.0,10.0,5.0,8.0,10.0,9.0,6.0,11.0,8.0,7.0,6.0,11.0,9.0,7.0,8.0,10.0,10.0,5.0,8.0,6.0,9.0,9.0,8.0,10.0,7.0,6.0,9.0,7.0,9.0,9.0,6.0,6.0,5.0,8.0,9.0,6.0,10.0,8.0,10.0,10.0,7.0,11.0,6.0,7.0,10.0,10.0,14.0,10.0,5.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,6.0,9.0,8.0,7.0,3.0,8.0
407,1354,1203,V,virginia,76,-260,0.7222222222222222,4,W,1196,7.0,7.0,6.0,6.0,5.0,12.0,7.0,7.0,8.0,10.0,5.0,7.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,6.0,11.0,7.0,7.0,10.0,7.0,10.0,6.0,7.0,5.0,7.0,8.0,11.0,5.0,8.0,9.0,6.0,7.0,9.0,5.0,10.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,6.0,5.0,6.0,11.0,6.0,10.0,10.0,8.0,7.0,11.0,11.0,9.0
441,1462,1206,V,virginia,74,-108,0.5192307692307693,4,W,1196,7.0,7.0,6.0,6.0,5.0,12.0,7.0,7.0,8.0,10.0,5.0,7.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,6.0,11.0,7.0,7.0,10.0,7.0,10.0,6.0,7.0,5.0,7.0,8.0,11.0,5.0,8.0,9.0,6.0,7.0,9.0,5.0,10.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,6.0,5.0,6.0,11.0,6.0,10.0,10.0,8.0,7.0,11.0,11.0,9.0
376,1275,1202,H,texas,63,NL,0.5,4,W,1254,6.0,8.0,5.0,4.0,7.0,7.0,5.0,5.0,6.0,8.0,6.0,6.0,8.0,9.0,10.0,8.0,9.0,7.0,5.0,6.0,7.0,5.0,8.0,8.0,6.0,5.0,6.0,5.0,8.0,6.0,9.0,6.0,7.0,9.0,9.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,10.0,11.0,7.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,10.0,7.0
423,1422,1205,V,texas,51,660,0.13157894736842105,4,L,1254,6.0,8.0,5.0,4.0,7.0,7.0,5.0,5.0,6.0,8.0,6.0,6.0,8.0,9.0,10.0,8.0,9.0,7.0,5.0,6.0,7.0,5.0,8.0,8.0,6.0,5.0,6.0,5.0,8.0,6.0,9.0,6.0,7.0,9.0,9.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,10.0,11.0,7.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,10.0,7.0
382,1291,1202,H,louisville,64,-450,0.8181818181818182,4,W,1260,5.0,9.0,7.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0,8.0,6.0,7.0,5.0,8.0,9.0,4.0,7.0,10.0,6.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,9.0,10.0,5.0,8.0,5.0,5.0,11.0,13.0,6.0,5.0,8.0,6.0,5.0,9.0,11.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,11.0,5.0,6.0,5.0
430,1433,1205,H,louisville,82,-48000,0.997920997920998,4,W,1260,5.0,9.0,7.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0,8.0,6.0,7.0,5.0,8.0,9.0,4.0,7.0,10.0,6.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,9.0,10.0,5.0,8.0,5.0,5.0,11.0,13.0,6.0,5.0,8.0,6.0,5.0,9.0,11.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,11.0,5.0,6.0,5.0
409,1358,1203,V,duke,80,160,0.38461538461538464,4,W,1475,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,8.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0
387,1311,1202,H,arizona,91,-250,0.7142857142857143,4,W,1488,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0
446,1479,1206,H,arizona,66,-205,0.6721311475409836,4,W,1488,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0
410,1359,1203,H,wisconsin,70,-185,0.6491228070175439,4,L,1511,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,9.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0
438,1456,1206,V,wisconsin,49,-795,0.888268156424581,4,W,1511,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,9.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0
424,1423,1205,H,kentucky,63,-910,0.900990099009901,4,W,1622,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
478,1597,1207,H,kentucky,82,-25000,0.9960159362549801,4,W,1622,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
479,1604,1208,V,yale,47,373,0.21141649048625794,5,L,1,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,1621,1209,H,dayton,56,-461,0.82174688057041,5,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,
528,1734,1213,V,dayton,55,330,0.23255813953488372,5,L,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,
562,1841,1213,H,lsu,76,-450,0.8181818181818182,5,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,24.0
495,1643,1209,H,creighton,91,-1703,0.9445368829728231,5,W,7,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,24.0,,
527,1733,1213,H,creighton,67,-280,0.7368421052631579,5,L,7,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,24.0,,
487,1623,1209,H,michigan,42,-1329,0.9300209937018894,5,L,14,22.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,25.0,,,,
535,1754,1213,V,michigan,53,515,0.16260162601626016,5,L,14,22.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,25.0,,,,
