,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
15,65,1114,H,pittsburgh,78,-18500,0.9946236559139785,1,W,,25.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,25.0,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,25.0,,,,,,,23.0
16,67,1114,H,west-virginia,64,-1800,0.9473684210526315,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
17,69,1114,H,purdue,80,-12500,0.9920634920634921,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,73,1114,H,xavier,93,-1600,0.9411764705882353,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,85,1114,H,murray-state,74,-1040,0.9122807017543859,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,89,1114,H,texas,85,-2500,0.9615384615384616,1,W,16.0,10.0,10.0,3.0,10.0,8.0,6.0,10.0,14.0,10.0,9.0,8.0,11.0,25.0,14.0,6.0,10.0,11.0,5.0,8.0,10.0,9.0,10.0,10.0,7.0,12.0,13.0,7.0,6.0,9.0,12.0,10.0,5.0,17.0,11.0,9.0,7.0,9.0,8.0,13.0,12.0,8.0,6.0,12.0,11.0,7.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,10.0,8.0,12.0,2.0,7.0,12.0,7.0,10.0,7.0,9.0,13.0,11.0
21,91,1114,H,valparaiso,90,-450,0.8181818181818182,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,93,1114,H,kansas-state,98,-27000,0.996309963099631,1,W,,,,23.0,,,,,,,,,24.0,,,,24.0,21.0,,,,,,,,,,,,,,,,24.0,,25.0,,,,,,17.0,25.0,,,24.0,,,,,,,,,,,,,,,,,,,
23,99,1114,H,unlv,60,-245,0.7101449275362319,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
24,103,1114,H,gonzaga,104,-10000,0.9900990099009901,1,W,11.0,13.0,14.0,10.0,14.0,14.0,11.0,,12.0,13.0,12.0,13.0,14.0,13.0,10.0,9.0,15.0,10.0,11.0,9.0,8.0,8.0,15.0,11.0,11.0,11.0,10.0,14.0,22.0,15.0,13.0,15.0,17.0,12.0,12.0,11.0,10.0,13.0,12.0,18.0,13.0,13.0,7.0,13.0,13.0,17.0,12.0,15.0,19.0,10.0,13.0,13.0,10.0,12.0,14.0,15.0,12.0,11.0,15.0,16.0,13.0,15.0,18.0,15.0,14.0
25,104,1114,V,wofford,59,610,0.14084507042253522,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,105,1114,H,stanford,74,-860,0.8958333333333334,1,W,,,,22.0,25.0,23.0,18.0,,21.0,24.0,,,23.0,,24.0,,,22.0,25.0,,24.0,25.0,,,,,25.0,,,23.0,,25.0,,,,,,,25.0,,,,12.0,,25.0,,,25.0,,,25.0,,25.0,,,,,,23.0,23.0,,,21.0,,
27,107,1114,H,ucla,113,-31050,0.9967897271268058,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,20.0,,22.0,,,,,24.0,,,,,22.0,,,,,,,17.0,,,,,,,,
28,109,1114,H,duke,113,-81000,0.998766954377312,1,W,6.0,3.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,4.0,3.0,9.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,6.0,8.0,4.0,4.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,8.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0
29,110,1114,V,north-florida,56,570,0.14925373134328357,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,111,1114,H,south-carolina,81,-870,0.8969072164948454,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,117,1114,H,north-carolina,76,-2335,0.9589322381930184,1,W,7.0,6.0,8.0,13.0,5.0,6.0,5.0,13.0,7.0,7.0,6.0,9.0,4.0,6.0,6.0,7.0,8.0,7.0,6.0,12.0,7.0,7.0,3.0,6.0,5.0,5.0,3.0,4.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,5.0,5.0,8.0,5.0,2.0,7.0,7.0,6.0,7.0,7.0,11.0,3.0,5.0,5.0,4.0,5.0,10.0,5.0,4.0,5.0,6.0,6.0,7.0,10.0,5.0,6.0,6.0
32,119,1114,H,kentucky,85,-47250,0.9978880675818373,1,W,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,121,1114,H,arizona,78,-33750,0.9970457902511078,1,W,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0
34,125,1114,H,wisconsin,62,-40500,0.9975369458128078,1,W,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,11.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,10.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,4.0,3.0,9.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0
35,127,1114,H,wichita-state,71,-1020,0.9107142857142857,1,W,9.0,9.0,9.0,7.0,11.0,9.0,9.0,14.0,10.0,9.0,13.0,10.0,10.0,9.0,12.0,8.0,9.0,8.0,12.0,13.0,5.0,10.0,14.0,14.0,8.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0,8.0,9.0,8.0,8.0,11.0,11.0,9.0,12.0,5.0,14.0,11.0,8.0,15.0,8.0,9.0,11.0,14.0,19.0,12.0,9.0,12.0,11.0,11.0,10.0,10.0,12.0,7.0,8.0,11.0,9.0,10.0,10.0,10.0
36,130,1114,V,michigan-state,64,-2150,0.9555555555555556,1,W,15.0,17.0,15.0,24.0,17.0,18.0,25.0,15.0,18.0,22.0,18.0,23.0,16.0,17.0,16.0,18.0,13.0,20.0,18.0,19.0,21.0,22.0,13.0,17.0,15.0,19.0,20.0,15.0,19.0,20.0,19.0,17.0,10.0,21.0,21.0,22.0,22.0,10.0,19.0,16.0,18.0,19.0,,15.0,16.0,21.0,14.0,18.0,16.0,25.0,17.0,17.0,19.0,19.0,16.0,16.0,18.0,21.0,10.0,22.0,17.0,19.0,16.0,14.0,18.0
37,135,1114,H,california,91,-9100,0.9891304347826086,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,139,1114,H,oregon,107,-4625,0.9788359788359788,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,141,1115,H,old-dominion,76,-1055,0.9134199134199135,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,162,1115,N,boise-state,77,-300,0.75,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,165,1115,H,florida-state,81,-655,0.8675496688741722,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
42,167,1115,H,northern-iowa,64,-5513,0.9821842152146802,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,171,1115,H,duke,109,-54000,0.9981515711645101,1,W,6.0,3.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,4.0,3.0,9.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,6.0,8.0,4.0,4.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,8.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0
44,172,1115,V,tulsa,68,-215,0.6825396825396826,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,175,1115,H,colorado-state,83,-2335,0.9589322381930184,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,179,1115,H,lsu,93,-1430,0.934640522875817,1,W,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,23.0,,,,,,,,,,,,,,23.0,,,,,,,,
