,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
128,519,1110,H,harvard,67,-3000,0.967741935483871,1,W,24,,,,,20.0,,,,24.0,,,25.0,,,,,,20.0,,,,,22.0,,,,,25.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
81,300,1108,N,davidson,66,120,0.45454545454545453,1,L,34,,,25.0,,,,,22.0,,25.0,,22.0,,23.0,,,,,,,,,23.0,,,,,,,23.0,,,21.0,23.0,,,,,,,,,,,,,,,,,,,,25.0,,25.0,,,,,,,,,21.0
45,190,1106,V,florida-state,61,-185,0.6491228070175439,1,L,36,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,23.0,,,,,,,18.0,,,,,15.0,,,,,,,
117,478,1110,V,florida-state,63,210,0.3225806451612903,1,W,36,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,23.0,,,,,,,18.0,,,,,15.0,,,,,,,
35,153,1105,H,marquette,88,-4000,0.975609756097561,1,W,68,17.0,,,,,,,,,,,,,,19.0,,25.0,,,,24.0,,,,,22.0,,,21.0,,,,,,,,,25.0,24.0,24.0,,21.0,24.0,,,17.0,,,21.0,,,,,,24.0,24.0,,22.0,24.0,,,24.0,,24.0,
27,129,1105,H,tennessee,78,-20000,0.9950248756218906,1,W,78,,22.0,,,,,24.0,,,,,,13.0,,,23.0,,,,18.0,17.0,,18.0,,,,,24.0,,,23.0,,,,,,,,,,20.0,,,,,24.0,,,,24.0,19.0,,,,,,,24.0,,23.0,,23.0,,,25.0
77,292,1108,V,colorado,81,-220,0.6875,1,W,152,,,17.0,24.0,,24.0,,17.0,21.0,24.0,23.0,20.0,,21.0,,,,,22.0,,,23.0,,17.0,,23.0,24.0,,22.0,16.0,,15.0,15.0,25.0,,,19.0,17.0,,,23.0,,,22.0,,,22.0,,,,,24.0,,,25.0,19.0,,,21.0,,24.0,,,19.0,
12,63,1105,H,auburn,83,-1400,0.9333333333333333,1,W,210,24.0,21.0,,,,,20.0,19.0,22.0,22.0,,,21.0,24.0,22.0,22.0,19.0,,,17.0,19.0,19.0,19.0,,24.0,,20.0,,,22.0,22.0,21.0,20.0,24.0,24.0,24.0,25.0,23.0,19.0,23.0,19.0,,25.0,25.0,20.0,,23.0,20.0,24.0,19.0,15.0,25.0,,23.0,22.0,,25.0,20.0,,21.0,17.0,,25.0,21.0,22.0
82,301,1108,N,auburn,76,-140,0.5833333333333334,1,W,210,24.0,21.0,,,,,20.0,19.0,22.0,22.0,,,21.0,24.0,22.0,22.0,19.0,,,17.0,19.0,19.0,19.0,,24.0,,20.0,,,22.0,22.0,21.0,20.0,24.0,24.0,24.0,25.0,23.0,19.0,23.0,19.0,,25.0,25.0,20.0,,23.0,20.0,24.0,19.0,15.0,25.0,,23.0,22.0,,25.0,20.0,,21.0,17.0,,25.0,21.0,22.0
42,183,1106,H,purdue,79,-8000,0.9876543209876543,1,W,230,,20.0,,,,19.0,,23.0,,19.0,21.0,23.0,,22.0,,,20.0,6.0,,25.0,20.0,,14.0,25.0,25.0,,,,,20.0,17.0,18.0,,21.0,18.0,23.0,21.0,20.0,18.0,25.0,,,,17.0,21.0,11.0,19.0,22.0,16.0,23.0,17.0,,20.0,22.0,,,22.0,,,,19.0,,20.0,,
97,387,1109,H,purdue,66,-360,0.782608695652174,1,L,230,,20.0,,,,19.0,,23.0,,19.0,21.0,23.0,,22.0,,,20.0,6.0,,25.0,20.0,,14.0,25.0,25.0,,,,,20.0,17.0,18.0,,21.0,18.0,23.0,21.0,20.0,18.0,25.0,,,,17.0,21.0,11.0,19.0,22.0,16.0,23.0,17.0,,20.0,22.0,,,22.0,,,,19.0,,20.0,,
