,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
543,2151,1129,N,arizona,92,-900,0.9,4,W,716,14.0,14.0,20.0,13.0,19.0,12.0,19.0,13.0,13.0,19.0,17.0,14.0,15.0,17.0,15.0,12.0,20.0,13.0,16.0,8.0,14.0,14.0,11.0,14.0,12.0,15.0,13.0,17.0,17.0,17.0,13.0,18.0,18.0,12.0,14.0,15.0,13.0,13.0,14.0,14.0,14.0,16.0,15.0,14.0,13.0,14.0,19.0,16.0,14.0,14.0,16.0,16.0,13.0,18.0,15.0,21.0,15.0,14.0,16.0,14.0,9.0,16.0,13.0,21.0,17.0
585,2351,1201,N,arizona,73,-1000,0.9090909090909091,4,W,716,14.0,14.0,20.0,13.0,19.0,12.0,19.0,13.0,13.0,19.0,17.0,14.0,15.0,17.0,15.0,12.0,20.0,13.0,16.0,8.0,14.0,14.0,11.0,14.0,12.0,15.0,13.0,17.0,17.0,17.0,13.0,18.0,18.0,12.0,14.0,15.0,13.0,13.0,14.0,14.0,14.0,16.0,15.0,14.0,13.0,14.0,19.0,16.0,14.0,14.0,16.0,16.0,13.0,18.0,15.0,21.0,15.0,14.0,16.0,14.0,9.0,16.0,13.0,21.0,17.0
487,2018,1127,N,seton-hall,69,100,0.5,4,L,866,13.0,10.0,12.0,9.0,13.0,13.0,11.0,14.0,14.0,10.0,8.0,13.0,10.0,12.0,19.0,14.0,8.0,17.0,12.0,18.0,10.0,13.0,12.0,13.0,14.0,13.0,15.0,11.0,16.0,11.0,15.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,7.0,10.0,12.0,11.0,13.0,18.0,17.0,23.0,14.0,13.0,11.0,11.0,13.0,12.0,16.0,13.0,9.0,14.0,5.0,14.0,13.0,16.0,11.0,14.0,6.0,10.0
514,2081,1128,N,seton-hall,81,-2300,0.9583333333333334,4,W,866,13.0,10.0,12.0,9.0,13.0,13.0,11.0,14.0,14.0,10.0,8.0,13.0,10.0,12.0,19.0,14.0,8.0,17.0,12.0,18.0,10.0,13.0,12.0,13.0,14.0,13.0,15.0,11.0,16.0,11.0,15.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,7.0,10.0,12.0,11.0,13.0,18.0,17.0,23.0,14.0,13.0,11.0,11.0,13.0,12.0,16.0,13.0,9.0,14.0,5.0,14.0,13.0,16.0,11.0,14.0,6.0,10.0
537,2133,1129,N,seton-hall,84,-135,0.574468085106383,4,W,866,13.0,10.0,12.0,9.0,13.0,13.0,11.0,14.0,14.0,10.0,8.0,13.0,10.0,12.0,19.0,14.0,8.0,17.0,12.0,18.0,10.0,13.0,12.0,13.0,14.0,13.0,15.0,11.0,16.0,11.0,15.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,7.0,10.0,12.0,11.0,13.0,18.0,17.0,23.0,14.0,13.0,11.0,11.0,13.0,12.0,16.0,13.0,9.0,14.0,5.0,14.0,13.0,16.0,11.0,14.0,6.0,10.0
517,2094,1128,N,texas-tech,61,-340,0.7727272727272727,4,L,933,12.0,9.0,16.0,12.0,7.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,10.0,9.0,10.0,11.0,24.0,13.0,11.0,13.0,12.0,14.0,12.0,11.0,11.0,12.0,10.0,12.0,12.0,12.0,10.0,7.0,17.0,12.0,11.0,12.0,8.0,7.0,12.0,12.0,11.0,14.0,11.0,10.0,15.0,10.0,8.0,11.0,13.0,12.0,11.0,11.0,11.0,9.0,11.0,12.0,11.0,11.0,10.0,11.0,13.0,10.0,23.0,11.0
546,2158,1129,N,texas-tech,76,-280,0.7368421052631579,4,L,933,12.0,9.0,16.0,12.0,7.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,10.0,9.0,10.0,11.0,24.0,13.0,11.0,13.0,12.0,14.0,12.0,11.0,11.0,12.0,10.0,12.0,12.0,12.0,10.0,7.0,17.0,12.0,11.0,12.0,8.0,7.0,12.0,12.0,11.0,14.0,11.0,10.0,15.0,10.0,8.0,11.0,13.0,12.0,11.0,11.0,11.0,9.0,11.0,12.0,11.0,11.0,10.0,11.0,13.0,10.0,23.0,11.0
488,2019,1127,N,oregon,71,-120,0.5454545454545454,4,W,1006,9.0,12.0,6.0,7.0,12.0,14.0,10.0,11.0,10.0,12.0,11.0,11.0,12.0,13.0,8.0,11.0,12.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,7.0,7.0,11.0,12.0,10.0,13.0,9.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,12.0,8.0,11.0,8.0,6.0,12.0,11.0,10.0,12.0,12.0,9.0,12.0,13.0,12.0,8.0,13.0,8.0,12.0,11.0,9.0,13.0,12.0,13.0,12.0,11.0,7.0,13.0
512,2077,1128,N,oregon,72,155,0.39215686274509803,4,L,1006,9.0,12.0,6.0,7.0,12.0,14.0,10.0,11.0,10.0,12.0,11.0,11.0,12.0,13.0,8.0,11.0,12.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,7.0,7.0,11.0,12.0,10.0,13.0,9.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,12.0,8.0,11.0,8.0,6.0,12.0,11.0,10.0,12.0,12.0,9.0,12.0,13.0,12.0,8.0,13.0,8.0,12.0,11.0,9.0,13.0,12.0,13.0,12.0,11.0,7.0,13.0
534,2129,1129,N,oregon,74,-125,0.5555555555555556,4,L,1006,9.0,12.0,6.0,7.0,12.0,14.0,10.0,11.0,10.0,12.0,11.0,11.0,12.0,13.0,8.0,11.0,12.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,7.0,7.0,11.0,12.0,10.0,13.0,9.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,12.0,8.0,11.0,8.0,6.0,12.0,11.0,10.0,12.0,12.0,9.0,12.0,13.0,12.0,8.0,13.0,8.0,12.0,11.0,9.0,13.0,12.0,13.0,12.0,11.0,7.0,13.0
421,1771,1125,H,ohio-state,71,-2250,0.9574468085106383,4,W,1033,11.0,11.0,10.0,10.0,8.0,11.0,14.0,9.0,4.0,13.0,13.0,10.0,9.0,11.0,7.0,7.0,13.0,8.0,10.0,6.0,8.0,10.0,8.0,10.0,13.0,10.0,8.0,13.0,15.0,9.0,7.0,11.0,13.0,8.0,10.0,8.0,6.0,9.0,11.0,13.0,13.0,9.0,10.0,10.0,12.0,7.0,11.0,11.0,10.0,9.0,10.0,10.0,7.0,10.0,16.0,10.0,9.0,18.0,10.0,11.0,12.0,9.0,7.0,13.0,8.0
555,2183,1129,H,ohio-state,90,-20000,0.9950248756218906,4,W,1033,11.0,11.0,10.0,10.0,8.0,11.0,14.0,9.0,4.0,13.0,13.0,10.0,9.0,11.0,7.0,7.0,13.0,8.0,10.0,6.0,8.0,10.0,8.0,10.0,13.0,10.0,8.0,13.0,15.0,9.0,7.0,11.0,13.0,8.0,10.0,8.0,6.0,9.0,11.0,13.0,13.0,9.0,10.0,10.0,12.0,7.0,11.0,11.0,10.0,9.0,10.0,10.0,7.0,10.0,16.0,10.0,9.0,18.0,10.0,11.0,12.0,9.0,7.0,13.0,8.0
524,2107,1129,H,kentucky,69,-4000,0.975609756097561,4,W,1090,10.0,13.0,11.0,15.0,17.0,5.0,5.0,3.0,6.0,9.0,9.0,9.0,11.0,8.0,14.0,5.0,9.0,9.0,7.0,13.0,12.0,9.0,13.0,5.0,9.0,8.0,10.0,8.0,5.0,10.0,10.0,6.0,14.0,10.0,9.0,6.0,11.0,5.0,8.0,6.0,9.0,17.0,9.0,9.0,9.0,8.0,9.0,3.0,12.0,8.0,9.0,8.0,14.0,9.0,12.0,13.0,5.0,12.0,5.0,9.0,10.0,10.0,12.0,5.0,12.0
486,2016,1127,N,gonzaga,94,-9000,0.989010989010989,4,W,1222,8.0,7.0,9.0,8.0,5.0,8.0,7.0,8.0,7.0,4.0,6.0,8.0,8.0,9.0,11.0,6.0,5.0,7.0,11.0,5.0,6.0,8.0,6.0,9.0,6.0,12.0,5.0,6.0,9.0,6.0,6.0,9.0,8.0,7.0,8.0,10.0,4.0,11.0,9.0,10.0,7.0,6.0,4.0,8.0,6.0,4.0,8.0,7.0,6.0,4.0,7.0,5.0,10.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,8.0,9.0,9.0,9.0
511,2076,1128,N,gonzaga,73,-185,0.6491228070175439,4,W,1222,8.0,7.0,9.0,8.0,5.0,8.0,7.0,8.0,7.0,4.0,6.0,8.0,8.0,9.0,11.0,6.0,5.0,7.0,11.0,5.0,6.0,8.0,6.0,9.0,6.0,12.0,5.0,6.0,9.0,6.0,6.0,9.0,8.0,7.0,8.0,10.0,4.0,11.0,9.0,10.0,7.0,6.0,4.0,8.0,6.0,4.0,8.0,7.0,6.0,4.0,7.0,5.0,10.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,8.0,9.0,9.0,9.0
536,2131,1129,N,gonzaga,64,-200,0.6666666666666666,4,L,1222,8.0,7.0,9.0,8.0,5.0,8.0,7.0,8.0,7.0,4.0,6.0,8.0,8.0,9.0,11.0,6.0,5.0,7.0,11.0,5.0,6.0,8.0,6.0,9.0,6.0,12.0,5.0,6.0,9.0,6.0,6.0,9.0,8.0,7.0,8.0,10.0,4.0,11.0,9.0,10.0,7.0,6.0,4.0,8.0,6.0,4.0,8.0,7.0,6.0,4.0,7.0,5.0,10.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,5.0,8.0,9.0,9.0,9.0
502,2053,1127,H,virginia,46,-18500,0.9946236559139785,4,W,1232,7.0,8.0,2.0,2.0,11.0,3.0,8.0,5.0,9.0,8.0,7.0,7.0,7.0,6.0,10.0,9.0,6.0,12.0,6.0,4.0,11.0,7.0,1.0,11.0,8.0,9.0,9.0,9.0,8.0,8.0,4.0,7.0,6.0,5.0,7.0,4.0,7.0,7.0,10.0,3.0,5.0,10.0,7.0,7.0,5.0,5.0,7.0,10.0,8.0,5.0,6.0,9.0,6.0,7.0,7.0,2.0,10.0,10.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0
484,2014,1127,N,north-carolina,76,-550,0.8461538461538461,4,W,1260,6.0,6.0,7.0,11.0,3.0,7.0,9.0,6.0,8.0,6.0,10.0,5.0,5.0,7.0,6.0,13.0,10.0,4.0,8.0,3.0,5.0,5.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,4.0,2.0,5.0,9.0,4.0,5.0,7.0,5.0,4.0,4.0,11.0,8.0,4.0,12.0,6.0,8.0,11.0,6.0,9.0,5.0,10.0,8.0,7.0,9.0,8.0,10.0,7.0,4.0,4.0,8.0,6.0,6.0,5.0,6.0,10.0,6.0
510,2075,1128,N,north-carolina,64,-160,0.6153846153846154,4,L,1260,6.0,6.0,7.0,11.0,3.0,7.0,9.0,6.0,8.0,6.0,10.0,5.0,5.0,7.0,6.0,13.0,10.0,4.0,8.0,3.0,5.0,5.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,4.0,2.0,5.0,9.0,4.0,5.0,7.0,5.0,4.0,4.0,11.0,8.0,4.0,12.0,6.0,8.0,11.0,6.0,9.0,5.0,10.0,8.0,7.0,9.0,8.0,10.0,7.0,4.0,4.0,8.0,6.0,6.0,5.0,6.0,10.0,6.0
533,2128,1129,N,north-carolina,78,105,0.4878048780487805,4,W,1260,6.0,6.0,7.0,11.0,3.0,7.0,9.0,6.0,8.0,6.0,10.0,5.0,5.0,7.0,6.0,13.0,10.0,4.0,8.0,3.0,5.0,5.0,4.0,6.0,5.0,5.0,7.0,7.0,3.0,4.0,2.0,5.0,9.0,4.0,5.0,7.0,5.0,4.0,4.0,11.0,8.0,4.0,12.0,6.0,8.0,11.0,6.0,9.0,5.0,10.0,8.0,7.0,9.0,8.0,10.0,7.0,4.0,4.0,8.0,6.0,6.0,5.0,6.0,10.0,6.0
504,2066,1128,N,maryland,76,-450,0.8181818181818182,4,W,1262,5.0,5.0,8.0,5.0,6.0,9.0,4.0,7.0,11.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,4.0,6.0,4.0,7.0,7.0,6.0,7.0,7.0,10.0,6.0,6.0,5.0,6.0,7.0,11.0,8.0,5.0,6.0,6.0,9.0,9.0,12.0,6.0,9.0,6.0,5.0,8.0,5.0,7.0,9.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,8.0,8.0,6.0,5.0,8.0,6.0,5.0,11.0,5.0
528,2120,1129,N,maryland,80,-550,0.8461538461538461,4,W,1262,5.0,5.0,8.0,5.0,6.0,9.0,4.0,7.0,11.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,4.0,6.0,4.0,7.0,7.0,6.0,7.0,7.0,10.0,6.0,6.0,5.0,6.0,7.0,11.0,8.0,5.0,6.0,6.0,9.0,9.0,12.0,6.0,9.0,6.0,5.0,8.0,5.0,7.0,9.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,8.0,8.0,6.0,5.0,8.0,6.0,5.0,11.0,5.0
579,2330,1201,N,maryland,84,-180,0.6428571428571429,4,W,1262,5.0,5.0,8.0,5.0,6.0,9.0,4.0,7.0,11.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,4.0,6.0,4.0,7.0,7.0,6.0,7.0,7.0,10.0,6.0,6.0,5.0,6.0,7.0,11.0,8.0,5.0,6.0,6.0,9.0,9.0,12.0,6.0,9.0,6.0,5.0,8.0,5.0,7.0,9.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,8.0,8.0,6.0,5.0,8.0,6.0,5.0,11.0,5.0
435,1818,1125,N,kansas,93,-52500,0.9980988593155894,4,W,1383,4.0,4.0,5.0,6.0,9.0,4.0,6.0,10.0,5.0,7.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,12.0,3.0,4.0,9.0,3.0,4.0,3.0,4.0,3.0,7.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,8.0,6.0,3.0,4.0,4.0,7.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,8.0,7.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
457,1910,1126,N,kansas,71,-1100,0.9166666666666666,4,W,1383,4.0,4.0,5.0,6.0,9.0,4.0,6.0,10.0,5.0,7.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,12.0,3.0,4.0,9.0,3.0,4.0,3.0,4.0,3.0,7.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,8.0,6.0,3.0,4.0,4.0,7.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,8.0,7.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
492,2027,1127,N,kansas,90,-185,0.6491228070175439,4,W,1383,4.0,4.0,5.0,6.0,9.0,4.0,6.0,10.0,5.0,7.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,12.0,3.0,4.0,9.0,3.0,4.0,3.0,4.0,3.0,7.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,8.0,6.0,3.0,4.0,4.0,7.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,8.0,7.0,6.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
434,1817,1125,N,michigan-state,66,-1000,0.9090909090909091,4,L,1500,2.0,2.0,4.0,1.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,9.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0
453,1905,1126,N,michigan-state,93,-1400,0.9333333333333333,4,W,1500,2.0,2.0,4.0,1.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,9.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0
489,2024,1127,N,michigan-state,75,-1500,0.9375,4,W,1500,2.0,2.0,4.0,1.0,4.0,6.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,9.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,9.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0
523,2103,1129,H,louisville,71,-750,0.8823529411764706,4,W,1512,3.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,7.0,1.0,5.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,6.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0
477,1969,1126,H,duke,81,-23000,0.9956709956709957,4,T,1610,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
553,2173,1129,H,duke,83,-9000,0.989010989010989,4,W,1610,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
590,2381,1202,H,delaware,84,-300,0.75,5,W,1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,2754,1207,V,delaware,56,-190,0.6551724137931034,5,L,1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,2490,1203,V,richmond,80,-1350,0.9310344827586207,5,W,2,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,2518,1204,V,notre-dame,51,400,0.2,5,L,2,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,2779,1207,H,notre-dame,72,-1000,0.9090909090909091,5,L,2,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,2897,1208,H,richmond,75,-300,0.75,5,W,2,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,2930,1208,V,liberty,70,-400,0.8,5,W,5,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,2642,1205,V,oklahoma,82,-300,0.75,5,W,6,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,2684,1206,V,stephen-f.-austin,68,325,0.23529411764705882,5,L,7,,,25.0,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,2551,1204,H,penn-state,76,-900,0.9,5,W,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
686,2780,1207,V,penn-state,74,240,0.29411764705882354,5,L,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
597,2445,1203,H,arkansas,69,-2500,0.9615384615384616,5,W,17,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,15.0,,,,,,,,,,24.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,
679,2760,1207,V,arkansas,79,-130,0.5652173913043478,5,L,17,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,15.0,,,,,,,,,,24.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,
630,2561,1204,H,depaul,65,110,0.47619047619047616,5,W,18,,,,,25.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,21.0,,,,24.0,,,,,,,,,,,,25.0,,,,,,,,25.0,,,,
709,2915,1208,H,depaul,69,-550,0.8461538461538461,5,L,18,,,,,25.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,21.0,,,,24.0,,,,,,,,,,,,25.0,,,,,,,,25.0,,,,
624,2537,1204,H,purdue,69,-145,0.5918367346938775,5,W,24,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,23.0,,,,,,,,,,,
707,2909,1208,H,purdue,58,-1100,0.9166666666666666,5,W,24,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,23.0,,,,,,,,,,,
663,2694,1207,V,west-virginia,68,-180,0.6428571428571429,5,L,28,,,,,,24.0,23.0,,,,,,,,,,,,,23.0,,,23.0,,,,20.0,,,,,,,,,,,,,,,,25.0,,21.0,,,,,,,,,,,,,,,,,21.0,,,
629,2560,1204,V,texas-tech,60,-130,0.5652173913043478,5,L,43,,,,,,,,22.0,,,,,,,,,,,,,,,,,,24.0,,,,,,19.0,,,,,,,,,,,,,,,,19.0,7.0,,,,,,,,,,22.0,,,,,,
626,2547,1204,H,oklahoma-state,74,-700,0.875,5,L,85,,,,17.0,,22.0,24.0,19.0,,24.0,,,25.0,,,,,,21.0,16.0,,,,,24.0,,,,,,21.0,,,,,,,,,,13.0,,,25.0,,,21.0,,,,,,,,,,,,,,16.0,20.0,,25.0,24.0
702,2891,1208,H,oklahoma-state,61,-170,0.6296296296296297,5,L,85,,,,17.0,,22.0,24.0,19.0,,24.0,,,25.0,,,,,,21.0,16.0,,,,,24.0,,,,,,21.0,,,,,,,,,,13.0,,,25.0,,,21.0,,,,,,,,,,,,,,16.0,20.0,,25.0,24.0
632,2566,1204,V,san-diego-state,79,-250,0.7142857142857143,5,W,89,,25.0,,,24.0,,,,,25.0,23.0,,,,23.0,,25.0,,,,8.0,,,,25.0,,21.0,25.0,,,,,25.0,24.0,,25.0,22.0,,22.0,18.0,25.0,20.0,23.0,,20.0,22.0,25.0,,,,25.0,21.0,,,,24.0,,,,,,,22.0,,
705,2905,1208,H,san-diego-state,59,-51000,0.9980430528375733,5,W,89,,25.0,,,24.0,,,,,25.0,23.0,,,,23.0,,25.0,,,,8.0,,,,25.0,,21.0,25.0,,,,,25.0,24.0,,25.0,22.0,,22.0,18.0,25.0,20.0,23.0,,20.0,22.0,25.0,,,,25.0,21.0,,,,24.0,,,,,,,22.0,,
616,2517,1204,H,xavier,84,-3000,0.967741935483871,5,W,91,22.0,,,18.0,20.0,23.0,,,,,,25.0,,24.0,,24.0,,23.0,,,,24.0,,20.0,,,,,,,,21.0,,23.0,23.0,,,,25.0,,,18.0,,,24.0,,,20.0,,24.0,,18.0,,25.0,21.0,,,22.0,,24.0,22.0,,,,
683,2775,1207,H,xavier,73,-220,0.6875,5,W,91,22.0,,,18.0,20.0,23.0,,,,,,25.0,,24.0,,24.0,,23.0,,,,24.0,,20.0,,,,,,,,21.0,,23.0,23.0,,,,25.0,,,18.0,,,24.0,,,20.0,,24.0,,18.0,,25.0,21.0,,,22.0,,24.0,22.0,,,,
659,2688,1207,V,florida,62,150,0.4,5,L,111,21.0,,,,14.0,20.0,,,,,,24.0,,23.0,,23.0,,25.0,20.0,,,,,,,19.0,,,,24.0,19.0,24.0,,,22.0,24.0,,24.0,21.0,,,25.0,,,,,,,,23.0,,,,24.0,17.0,,15.0,18.0,,23.0,21.0,,,,
637,2594,1204,V,utah-state,71,-8000,0.9876543209876543,5,W,112,25.0,,,,22.0,,17.0,24.0,,,19.0,21.0,,,,19.0,,24.0,,,,,,21.0,,16.0,25.0,,24.0,,,20.0,23.0,,,21.0,,,24.0,21.0,,23.0,,,,,20.0,23.0,24.0,22.0,22.0,,,,,,,21.0,21.0,22.0,,,,,
684,2777,1207,H,utah-state,77,-1200,0.9230769230769231,5,W,112,25.0,,,,22.0,,17.0,24.0,,,19.0,21.0,,,,19.0,,24.0,,,,,,21.0,,16.0,25.0,,24.0,,,20.0,23.0,,,21.0,,,24.0,21.0,,23.0,,,,,20.0,23.0,24.0,22.0,22.0,,,,,,,21.0,21.0,22.0,,,,,
593,2418,1203,V,butler,67,100,0.5,5,W,165,,22.0,,22.0,,21.0,25.0,21.0,21.0,22.0,,,24.0,,24.0,,23.0,18.0,23.0,17.0,18.0,,22.0,,,25.0,18.0,24.0,16.0,25.0,20.0,25.0,,22.0,24.0,,19.0,18.0,,,17.0,,22.0,23.0,,23.0,23.0,24.0,,25.0,,22.0,,,,25.0,24.0,25.0,24.0,,,19.0,25.0,24.0,23.0
660,2689,1207,H,butler,76,-180,0.6428571428571429,5,W,165,,22.0,,22.0,,21.0,25.0,21.0,21.0,22.0,,,24.0,,24.0,,23.0,18.0,23.0,17.0,18.0,,22.0,,,25.0,18.0,24.0,16.0,25.0,20.0,25.0,,22.0,24.0,,19.0,18.0,,,17.0,,22.0,23.0,,23.0,23.0,24.0,,25.0,,22.0,,,,25.0,24.0,25.0,24.0,,,19.0,25.0,24.0,23.0
