,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
337,1435,1121,N,kansas,77,-425,0.8095238095238095,3,W,1510,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,2.0
384,1587,1123,N,kansas,87,-180,0.6428571428571429,3,W,1510,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,2.0
273,1206,1119,N,duke,90,-1700,0.9444444444444444,3,W,1564,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0
301,1307,1120,N,duke,78,-800,0.8888888888888888,3,W,1564,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0
328,1422,1121,N,duke,87,-400,0.8,3,L,1564,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0
430,1883,1127,H,davidson,76,-1750,0.9459459459459459,4,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
516,2238,1201,V,davidson,91,-330,0.7674418604651163,4,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
445,1933,1127,H,florida,98,-3250,0.9701492537313433,4,W,3,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1887,1127,H,notre-dame,76,-270,0.7297297297297297,4,W,4,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1937,1127,H,connecticut,97,-2150,0.9555555555555556,4,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
541,2413,1202,H,connecticut,72,-125,0.5555555555555556,4,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,
419,1852,1126,V,nebraska,68,140,0.4166666666666667,4,W,6,,,,,,,,25.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,
517,2245,1201,H,arkansas,121,-2150,0.9555555555555556,4,W,6,,22.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,2421,1202,H,nebraska,75,-1400,0.9333333333333333,4,W,6,,,,,,,,25.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,
421,1857,1126,H,tcu,87,-900,0.9,4,W,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1974,1128,V,syracuse,72,170,0.37037037037037035,4,W,8,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
484,2143,1130,H,tcu,89,-1000,0.9090909090909091,4,W,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,2177,1201,H,syracuse,63,-4750,0.979381443298969,4,W,8,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
425,1865,1126,H,iowa-state,82,-3250,0.9701492537313433,4,W,22,22.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,20.0,,,21.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
464,2007,1128,H,ucla,80,-1000,0.9090909090909091,4,W,30,,,13.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,25.0,,,24.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,23.0,,,
546,2427,1202,H,ucla,82,-600,0.8571428571428571,4,W,30,,,13.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,25.0,,,24.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,23.0,,,
533,2371,1201,H,lsu,78,-5500,0.9821428571428571,4,W,41,,21.0,,,,,,,,17.0,,,,,,,,,,,,,,,,20.0,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,25.0,,,,,19.0,,,,,18.0,
470,2037,1128,H,creighton,98,-320,0.7619047619047619,4,W,65,,,,,24.0,24.0,,,22.0,,,,,,17.0,22.0,24.0,,,24.0,,,,,24.0,,24.0,,,,,,,,,24.0,,25.0,,19.0,24.0,,23.0,22.0,,,,23.0,,,20.0,,,,,,,,25.0,24.0,22.0,,,25.0,
498,2185,1201,H,creighton,92,240,0.29411764705882354,4,L,65,,,,,24.0,24.0,,,22.0,,,,,,17.0,22.0,24.0,,,24.0,,,,,24.0,,24.0,,,,,,,,,24.0,,25.0,,19.0,24.0,,23.0,22.0,,,,23.0,,,20.0,,,,,,,,25.0,24.0,22.0,,,25.0,
528,2293,1201,H,furman,90,-2500,0.9615384615384616,4,W,72,,,,15.0,,25.0,24.0,,,,,25.0,22.0,21.0,24.0,,25.0,21.0,,25.0,25.0,25.0,25.0,,,,,,24.0,,25.0,,25.0,,,,24.0,,25.0,,25.0,,25.0,18.0,,,,,21.0,,25.0,25.0,21.0,,,,22.0,,,,,25.0,25.0,,25.0
420,1853,1126,H,clemson,66,-160,0.6153846153846154,4,L,135,19.0,13.0,25.0,,,,,22.0,23.0,,,19.0,,,22.0,23.0,,20.0,24.0,21.0,21.0,,,,,,,19.0,17.0,,,,20.0,18.0,,,,,,21.0,,,24.0,25.0,,,21.0,,19.0,,,20.0,24.0,,23.0,,,25.0,,,23.0,16.0,,,
472,2041,1128,H,arizona-state,89,-2150,0.9555555555555556,4,W,156,,,,22.0,23.0,20.0,23.0,,,24.0,,,25.0,,21.0,,,23.0,23.0,20.0,,24.0,23.0,23.0,23.0,,,,,,,21.0,,,23.0,20.0,,19.0,24.0,23.0,20.0,,,,21.0,23.0,,25.0,17.0,14.0,23.0,22.0,,24.0,19.0,23.0,,21.0,,19.0,,,15.0,24.0,23.0
539,2409,1201,H,arizona-state,83,-3750,0.974025974025974,4,W,156,,,,22.0,23.0,20.0,23.0,,,24.0,,,25.0,,21.0,,,23.0,23.0,20.0,,24.0,23.0,23.0,23.0,,,,,,,21.0,,,23.0,20.0,,19.0,24.0,23.0,20.0,,,,21.0,23.0,,25.0,17.0,14.0,23.0,22.0,,24.0,19.0,23.0,,21.0,,19.0,,,15.0,24.0,23.0
458,1983,1128,H,maryland,71,160,0.38461538461538464,4,L,170,,,24.0,25.0,20.0,,,18.0,,18.0,21.0,14.0,,,,20.0,,,,22.0,,17.0,,24.0,18.0,,21.0,,22.0,20.0,23.0,,23.0,23.0,,,23.0,20.0,,24.0,,,,,,,,17.0,,,18.0,23.0,22.0,19.0,24.0,,25.0,,20.0,,18.0,24.0,16.0,22.0,
496,2183,1201,H,maryland,66,-300,0.75,4,W,170,,,24.0,25.0,20.0,,,18.0,,18.0,21.0,14.0,,,,20.0,,,,22.0,,17.0,,24.0,18.0,,21.0,,22.0,20.0,23.0,,23.0,23.0,,,23.0,20.0,,24.0,,,,,,,,17.0,,,18.0,23.0,22.0,19.0,24.0,,25.0,,20.0,,18.0,24.0,16.0,22.0,
506,2200,1201,V,villanova,85,-1800,0.9473684210526315,4,W,217,24.0,,17.0,20.0,,,25.0,16.0,24.0,21.0,22.0,,23.0,16.0,,24.0,20.0,24.0,17.0,19.0,16.0,20.0,,21.0,,22.0,25.0,23.0,23.0,21.0,17.0,20.0,,,22.0,23.0,25.0,,,,,19.0,18.0,19.0,25.0,,23.0,21.0,,,,,16.0,,15.0,22.0,23.0,19.0,,,24.0,15.0,,,
441,1907,1127,H,wisconsin,79,-270,0.7297297297297297,4,W,253,,25.0,,24.0,22.0,,20.0,23.0,25.0,23.0,25.0,24.0,17.0,,18.0,25.0,14.0,25.0,22.0,,,21.0,15.0,19.0,20.0,21.0,17.0,15.0,,24.0,15.0,19.0,19.0,21.0,18.0,25.0,21.0,18.0,23.0,25.0,23.0,13.0,21.0,,19.0,18.0,,,25.0,24.0,,24.0,25.0,23.0,25.0,25.0,21.0,20.0,17.0,22.0,,,,19.0,21.0
485,2144,1130,V,wisconsin,72,-125,0.5555555555555556,4,W,253,,25.0,,24.0,22.0,,20.0,23.0,25.0,23.0,25.0,24.0,17.0,,18.0,25.0,14.0,25.0,22.0,,,21.0,15.0,19.0,20.0,21.0,17.0,15.0,,24.0,15.0,19.0,19.0,21.0,18.0,25.0,21.0,18.0,23.0,25.0,23.0,13.0,21.0,,19.0,18.0,,,25.0,24.0,,24.0,25.0,23.0,25.0,25.0,21.0,20.0,17.0,22.0,,,,19.0,21.0
487,2149,1130,N,buffalo,96,-1700,0.9444444444444444,4,W,351,14.0,16.0,,14.0,25.0,18.0,15.0,19.0,17.0,,19.0,23.0,18.0,6.0,19.0,,22.0,16.0,19.0,16.0,19.0,19.0,22.0,25.0,25.0,,23.0,16.0,19.0,,22.0,25.0,17.0,22.0,24.0,,19.0,24.0,20.0,22.0,19.0,,22.0,17.0,24.0,21.0,19.0,24.0,22.0,19.0,24.0,16.0,14.0,22.0,21.0,17.0,19.0,,,20.0,25.0,20.0,18.0,,17.0
521,2260,1201,N,buffalo,85,-200,0.6666666666666666,4,W,351,14.0,16.0,,14.0,25.0,18.0,15.0,19.0,17.0,,19.0,23.0,18.0,6.0,19.0,,22.0,16.0,19.0,16.0,19.0,19.0,22.0,25.0,25.0,,23.0,16.0,19.0,,22.0,25.0,17.0,22.0,24.0,,19.0,24.0,20.0,22.0,19.0,,22.0,17.0,24.0,21.0,19.0,24.0,22.0,19.0,24.0,16.0,14.0,22.0,21.0,17.0,19.0,,,20.0,25.0,20.0,18.0,,17.0
523,2264,1201,N,texas-tech,78,-900,0.9,4,W,380,,,,19.0,15.0,,18.0,,19.0,,14.0,17.0,19.0,13.0,,17.0,19.0,15.0,21.0,,24.0,,14.0,20.0,15.0,23.0,18.0,24.0,,16.0,9.0,15.0,,,17.0,22.0,22.0,16.0,17.0,17.0,18.0,11.0,,,20.0,22.0,,20.0,16.0,20.0,22.0,19.0,,15.0,,14.0,16.0,16.0,23.0,25.0,15.0,,19.0,14.0,22.0
459,1996,1128,V,purdue,72,150,0.4,4,L,387,17.0,20.0,23.0,23.0,19.0,15.0,,20.0,,19.0,24.0,18.0,21.0,,25.0,21.0,18.0,22.0,,18.0,23.0,,21.0,17.0,22.0,16.0,20.0,17.0,21.0,19.0,16.0,,18.0,24.0,19.0,18.0,16.0,,22.0,20.0,22.0,15.0,17.0,23.0,18.0,19.0,15.0,19.0,,22.0,16.0,,17.0,16.0,17.0,21.0,17.0,18.0,16.0,17.0,19.0,14.0,20.0,20.0,19.0
507,2202,1201,V,purdue,57,230,0.30303030303030304,4,L,387,17.0,20.0,23.0,23.0,19.0,15.0,,20.0,,19.0,24.0,18.0,21.0,,25.0,21.0,18.0,22.0,,18.0,23.0,,21.0,17.0,22.0,16.0,20.0,17.0,21.0,19.0,16.0,,18.0,24.0,19.0,18.0,16.0,,22.0,20.0,22.0,15.0,17.0,23.0,18.0,19.0,15.0,19.0,,22.0,16.0,,17.0,16.0,17.0,21.0,17.0,18.0,16.0,17.0,19.0,14.0,20.0,20.0,19.0
429,1881,1126,H,oregon,84,-10000,0.9900990099009901,4,L,439,20.0,17.0,15.0,,17.0,17.0,19.0,14.0,16.0,20.0,18.0,22.0,20.0,23.0,23.0,16.0,23.0,14.0,14.0,,14.0,15.0,20.0,18.0,21.0,19.0,19.0,22.0,18.0,15.0,,23.0,16.0,16.0,21.0,17.0,18.0,21.0,19.0,18.0,21.0,20.0,20.0,24.0,23.0,15.0,17.0,16.0,20.0,23.0,17.0,21.0,19.0,20.0,20.0,20.0,20.0,17.0,18.0,18.0,21.0,21.0,21.0,23.0,20.0
519,2250,1201,V,oregon,61,145,0.40816326530612246,4,L,439,20.0,17.0,15.0,,17.0,17.0,19.0,14.0,16.0,20.0,18.0,22.0,20.0,23.0,23.0,16.0,23.0,14.0,14.0,,14.0,15.0,20.0,18.0,21.0,19.0,19.0,22.0,18.0,15.0,,23.0,16.0,16.0,21.0,17.0,18.0,21.0,19.0,18.0,21.0,20.0,20.0,24.0,23.0,15.0,17.0,16.0,20.0,23.0,17.0,21.0,19.0,20.0,20.0,20.0,20.0,17.0,18.0,18.0,21.0,21.0,21.0,23.0,20.0
490,2159,1130,H,texas,59,-1400,0.9333333333333333,4,L,486,23.0,,,12.0,12.0,21.0,21.0,,21.0,11.0,15.0,,11.0,11.0,16.0,18.0,15.0,,15.0,15.0,22.0,23.0,18.0,13.0,11.0,25.0,12.0,,25.0,23.0,20.0,18.0,,,13.0,13.0,15.0,13.0,12.0,,15.0,,14.0,14.0,12.0,20.0,18.0,14.0,23.0,18.0,,15.0,,14.0,,16.0,,,10.0,21.0,13.0,,12.0,12.0,14.0
455,1975,1128,H,ohio-state,62,-200,0.6666666666666666,4,L,511,16.0,19.0,19.0,18.0,18.0,19.0,14.0,21.0,20.0,16.0,23.0,15.0,15.0,17.0,12.0,19.0,17.0,17.0,20.0,17.0,20.0,16.0,17.0,16.0,16.0,,16.0,,20.0,18.0,18.0,16.0,22.0,20.0,16.0,19.0,20.0,12.0,16.0,16.0,17.0,,16.0,13.0,16.0,17.0,20.0,18.0,24.0,16.0,14.0,17.0,23.0,17.0,18.0,19.0,15.0,23.0,21.0,16.0,17.0,22.0,24.0,16.0,16.0
544,2423,1202,H,ohio-state,79,-400,0.8,4,W,511,16.0,19.0,19.0,18.0,18.0,19.0,14.0,21.0,20.0,16.0,23.0,15.0,15.0,17.0,12.0,19.0,17.0,17.0,20.0,17.0,20.0,16.0,17.0,16.0,16.0,,16.0,,20.0,18.0,18.0,16.0,22.0,20.0,16.0,19.0,20.0,12.0,16.0,16.0,17.0,,16.0,13.0,16.0,17.0,20.0,18.0,24.0,16.0,14.0,17.0,23.0,17.0,18.0,19.0,15.0,23.0,21.0,16.0,17.0,22.0,24.0,16.0,16.0
460,1997,1128,H,florida-state,73,-180,0.6428571428571429,4,W,581,18.0,18.0,14.0,21.0,21.0,14.0,17.0,17.0,13.0,15.0,17.0,16.0,24.0,18.0,11.0,14.0,21.0,18.0,18.0,,17.0,14.0,16.0,22.0,19.0,13.0,22.0,14.0,14.0,22.0,19.0,17.0,14.0,14.0,15.0,16.0,17.0,23.0,18.0,14.0,14.0,14.0,19.0,21.0,15.0,16.0,14.0,22.0,14.0,17.0,15.0,18.0,15.0,18.0,16.0,18.0,18.0,14.0,15.0,14.0,16.0,17.0,23.0,17.0,18.0
438,1903,1127,H,iowa,69,-650,0.8666666666666667,4,W,599,15.0,15.0,18.0,17.0,16.0,16.0,16.0,24.0,15.0,22.0,16.0,21.0,14.0,20.0,14.0,15.0,13.0,,13.0,12.0,15.0,18.0,19.0,15.0,17.0,14.0,15.0,21.0,15.0,14.0,24.0,14.0,15.0,15.0,20.0,15.0,13.0,17.0,15.0,15.0,16.0,,13.0,16.0,17.0,14.0,16.0,15.0,15.0,15.0,19.0,14.0,20.0,21.0,14.0,15.0,14.0,15.0,22.0,15.0,20.0,19.0,22.0,21.0,13.0
486,2145,1130,H,iowa,66,105,0.4878048780487805,4,L,599,15.0,15.0,18.0,17.0,16.0,16.0,16.0,24.0,15.0,22.0,16.0,21.0,14.0,20.0,14.0,15.0,13.0,,13.0,12.0,15.0,18.0,19.0,15.0,17.0,14.0,15.0,21.0,15.0,14.0,24.0,14.0,15.0,15.0,20.0,15.0,13.0,17.0,15.0,15.0,16.0,,13.0,16.0,17.0,14.0,16.0,15.0,15.0,15.0,19.0,14.0,20.0,21.0,14.0,15.0,14.0,15.0,22.0,15.0,20.0,19.0,22.0,21.0,13.0
432,1888,1127,V,virginia-tech,62,-200,0.6666666666666666,4,L,921,13.0,14.0,16.0,8.0,14.0,13.0,11.0,12.0,12.0,13.0,13.0,11.0,9.0,19.0,13.0,13.0,10.0,13.0,11.0,10.0,13.0,12.0,9.0,10.0,13.0,10.0,14.0,9.0,13.0,13.0,14.0,11.0,13.0,12.0,12.0,12.0,10.0,15.0,9.0,13.0,12.0,12.0,11.0,10.0,11.0,12.0,10.0,13.0,11.0,7.0,13.0,13.0,8.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,12.0,13.0,6.0,11.0,10.0
532,2367,1201,H,virginia-tech,94,-10000,0.9900990099009901,4,W,921,13.0,14.0,16.0,8.0,14.0,13.0,11.0,12.0,12.0,13.0,13.0,11.0,9.0,19.0,13.0,13.0,10.0,13.0,11.0,10.0,13.0,12.0,9.0,10.0,13.0,10.0,14.0,9.0,13.0,13.0,14.0,11.0,13.0,12.0,12.0,12.0,10.0,15.0,9.0,13.0,12.0,12.0,11.0,10.0,11.0,12.0,10.0,13.0,11.0,7.0,13.0,13.0,8.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,12.0,13.0,6.0,11.0,10.0
499,2188,1201,V,kansas-state,71,115,0.46511627906976744,4,L,936,11.0,12.0,10.0,11.0,11.0,6.0,8.0,13.0,11.0,12.0,12.0,12.0,16.0,15.0,20.0,10.0,12.0,12.0,12.0,9.0,11.0,10.0,11.0,12.0,14.0,11.0,9.0,13.0,10.0,10.0,13.0,13.0,9.0,10.0,11.0,9.0,14.0,11.0,14.0,12.0,13.0,18.0,12.0,12.0,13.0,13.0,5.0,8.0,13.0,12.0,10.0,11.0,7.0,12.0,12.0,12.0,12.0,10.0,14.0,12.0,11.0,12.0,11.0,15.0,12.0
461,1998,1128,V,north-carolina,67,145,0.40816326530612246,4,L,943,9.0,6.0,9.0,13.0,13.0,7.0,10.0,11.0,8.0,14.0,11.0,10.0,12.0,12.0,9.0,12.0,16.0,10.0,16.0,11.0,12.0,11.0,13.0,14.0,12.0,12.0,13.0,10.0,11.0,12.0,10.0,10.0,10.0,13.0,14.0,14.0,12.0,14.0,13.0,11.0,11.0,5.0,15.0,15.0,10.0,10.0,11.0,12.0,12.0,13.0,8.0,12.0,11.0,11.0,11.0,11.0,9.0,13.0,12.0,11.0,14.0,8.0,14.0,13.0,15.0
471,2039,1128,H,kentucky,90,-16500,0.9939759036144579,4,W,1022,8.0,10.0,6.0,16.0,8.0,11.0,12.0,9.0,14.0,8.0,9.0,7.0,13.0,14.0,15.0,9.0,11.0,11.0,10.0,14.0,7.0,9.0,12.0,11.0,8.0,18.0,11.0,12.0,8.0,8.0,12.0,12.0,12.0,11.0,10.0,7.0,11.0,10.0,11.0,9.0,10.0,17.0,10.0,11.0,14.0,11.0,6.0,7.0,7.0,11.0,6.0,6.0,12.0,8.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,13.0,8.0,11.0
527,2289,1201,H,kentucky,78,-1000,0.9090909090909091,4,W,1022,8.0,10.0,6.0,16.0,8.0,11.0,12.0,9.0,14.0,8.0,9.0,7.0,13.0,14.0,15.0,9.0,11.0,11.0,10.0,14.0,7.0,9.0,12.0,11.0,8.0,18.0,11.0,12.0,8.0,8.0,12.0,12.0,12.0,11.0,10.0,7.0,11.0,10.0,11.0,9.0,10.0,17.0,10.0,11.0,14.0,11.0,6.0,7.0,7.0,11.0,6.0,6.0,12.0,8.0,10.0,9.0,11.0,9.0,9.0,8.0,10.0,10.0,13.0,8.0,11.0
433,1890,1127,V,michigan-state,78,-220,0.6875,4,L,1111,10.0,11.0,8.0,6.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,13.0,7.0,9.0,10.0,11.0,8.0,7.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0,11.0,9.0,9.0,11.0,9.0,7.0,9.0,9.0,6.0,7.0,4.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,5.0,12.0,9.0,9.0,9.0,11.0,8.0,13.0,10.0,6.0,8.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0
482,2132,1130,V,michigan-state,78,-380,0.7916666666666666,4,W,1111,10.0,11.0,8.0,6.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,13.0,7.0,9.0,10.0,11.0,8.0,7.0,8.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,7.0,11.0,9.0,9.0,11.0,9.0,7.0,9.0,9.0,6.0,7.0,4.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,5.0,12.0,9.0,9.0,9.0,11.0,8.0,13.0,10.0,6.0,8.0,8.0,8.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0
469,2031,1128,H,auburn,99,-12500,0.9920634920634921,4,W,1129,12.0,9.0,12.0,7.0,10.0,10.0,13.0,8.0,9.0,9.0,8.0,9.0,8.0,5.0,6.0,7.0,5.0,9.0,7.0,13.0,6.0,6.0,8.0,8.0,9.0,7.0,8.0,8.0,12.0,11.0,8.0,6.0,6.0,8.0,6.0,11.0,9.0,9.0,10.0,8.0,9.0,6.0,5.0,9.0,8.0,9.0,13.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,7.0,10.0,10.0,6.0,8.0,10.0,8.0,11.0,7.0,9.0,8.0
462,1999,1128,H,michigan,84,-170,0.6296296296296297,4,W,1213,6.0,8.0,11.0,9.0,7.0,8.0,4.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,9.0,6.0,9.0,13.0,6.0,6.0,7.0,5.0,10.0,7.0,7.0,5.0,5.0,8.0,11.0,6.0,8.0,10.0,8.0,5.0,6.0,7.0,7.0,7.0,9.0,3.0,7.0,4.0,8.0,11.0,5.0,4.0,12.0,9.0,9.0,7.0,9.0,7.0,6.0,12.0,6.0,7.0,7.0,6.0,9.0,7.0,5.0
508,2203,1201,H,michigan,76,-280,0.7368421052631579,4,W,1213,6.0,8.0,11.0,9.0,7.0,8.0,4.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,6.0,9.0,6.0,9.0,13.0,6.0,6.0,7.0,5.0,10.0,7.0,7.0,5.0,5.0,8.0,11.0,6.0,8.0,10.0,8.0,5.0,6.0,7.0,7.0,7.0,9.0,3.0,7.0,4.0,8.0,11.0,5.0,4.0,12.0,9.0,9.0,7.0,9.0,7.0,6.0,12.0,6.0,7.0,7.0,6.0,9.0,7.0,5.0
468,2029,1128,H,tennessee,95,-21500,0.9953703703703703,4,W,1284,7.0,7.0,5.0,10.0,6.0,9.0,6.0,4.0,7.0,4.0,5.0,6.0,10.0,8.0,5.0,6.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,7.0,5.0,6.0,4.0,5.0,5.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,10.0,4.0,6.0,6.0,7.0,9.0,5.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,7.0,5.0,6.0,4.0,7.0,5.0,3.0,7.0
547,2431,1202,H,tennessee,79,-30000,0.9966777408637874,4,W,1284,7.0,7.0,5.0,10.0,6.0,9.0,6.0,4.0,7.0,4.0,5.0,6.0,10.0,8.0,5.0,6.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,7.0,5.0,6.0,4.0,5.0,5.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,10.0,4.0,6.0,6.0,7.0,9.0,5.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,7.0,5.0,6.0,4.0,7.0,5.0,3.0,7.0
435,1894,1127,V,nevada,79,-200,0.6666666666666666,4,W,1329,5.0,5.0,4.0,4.0,5.0,5.0,7.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,7.0,5.0,6.0,4.0,5.0,7.0,8.0,5.0,5.0,5.0,6.0,9.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,8.0,5.0,8.0,5.0,5.0,6.0,9.0,7.0,7.0,4.0,6.0,7.0,4.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,10.0,4.0,6.0
510,2218,1201,V,nevada,73,-230,0.696969696969697,4,W,1329,5.0,5.0,4.0,4.0,5.0,5.0,7.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,7.0,5.0,6.0,4.0,5.0,7.0,8.0,5.0,5.0,5.0,6.0,9.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,7.0,8.0,5.0,8.0,5.0,5.0,6.0,9.0,7.0,7.0,4.0,6.0,7.0,4.0,8.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,10.0,4.0,6.0
