,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
314,1225,1129,H,duke,78,-1200,0.9230769230769231,4,W,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
315,1227,1129,H,nevada,77,-500,0.8333333333333334,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1229,1129,H,xavier,85,-2150,0.9555555555555556,4,W,8.0,6.0,8.0,6.0,8.0,14.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,10.0,6.0,7.0,7.0,10.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,10.0,7.0,7.0,7.0,6.0,7.0,12.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,7.0,4.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,5.0,11.0,10.0,17.0
317,1241,1129,H,oklahoma,87,-6000,0.9836065573770492,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1242,1129,V,tennessee-state,59,260,0.2777777777777778,4,L,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1243,1129,H,vanderbilt,83,-310,0.7560975609756098,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1247,1129,H,harvard,74,-165,0.6226415094339622,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1262,1130,V,rutgers,61,NL,0.5,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,
322,1264,1130,V,virginia-tech,73,235,0.29850746268656714,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,
323,1265,1130,H,michigan,70,-285,0.7402597402597403,4,L,,,,,,,,,25.0,,,,,,,,,,,,,,24.0,,,,,,,24.0,,,,,,,,23.0,,,,,,24.0,,23.0,,,,,,,,,,,,,,,,,,,
324,1266,1130,V,purdue,64,225,0.3076923076923077,4,L,15.0,18.0,24.0,20.0,19.0,11.0,15.0,15.0,15.0,11.0,16.0,16.0,16.0,20.0,11.0,22.0,15.0,15.0,11.0,16.0,17.0,19.0,13.0,8.0,16.0,16.0,15.0,16.0,17.0,19.0,16.0,17.0,14.0,13.0,11.0,16.0,12.0,18.0,18.0,18.0,16.0,17.0,15.0,17.0,14.0,15.0,14.0,17.0,13.0,10.0,15.0,13.0,15.0,16.0,17.0,17.0,16.0,17.0,8.0,15.0,16.0,11.0,15.0,22.0,12.0
325,1267,1130,H,louisville,71,-280,0.7368421052631579,4,W,13.0,13.0,12.0,14.0,20.0,9.0,13.0,13.0,17.0,12.0,13.0,14.0,15.0,14.0,9.0,11.0,16.0,12.0,12.0,15.0,12.0,11.0,12.0,14.0,13.0,11.0,10.0,15.0,9.0,9.0,15.0,16.0,13.0,18.0,13.0,15.0,19.0,15.0,14.0,12.0,17.0,15.0,14.0,16.0,12.0,13.0,15.0,10.0,14.0,13.0,14.0,12.0,13.0,15.0,11.0,15.0,10.0,14.0,12.0,13.0,13.0,10.0,24.0,19.0,15.0
326,1268,1130,V,ohio,88,-144,0.5901639344262295,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1275,1130,H,tcu,86,-290,0.7435897435897436,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1276,1130,V,temple,78,104,0.49019607843137253,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,24.0
329,1287,1130,H,kansas-state,80,-1400,0.9333333333333333,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1289,1130,H,arkansas-state,78,-275,0.7333333333333333,4,W,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1293,1130,H,clemson,60,-600,0.8571428571428571,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1297,1130,H,byu,77,-475,0.8260869565217391,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1299,1130,H,colorado,58,-1200,0.9230769230769231,4,L,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1300,1130,V,north-carolina,67,-240,0.7058823529411765,4,L,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,2.0,3.0,2.0,3.0,1.0
335,1302,1130,V,ohio-state,61,550,0.15384615384615385,4,L,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,24.0,,23.0,,,,,,,,,24.0,,,,,24.0,,,,,22.0,,,,,,,,,,,,,,,,,
336,1303,1130,H,virginia,63,-750,0.8823529411764706,4,W,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,4.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,11.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,10.0,6.0,4.0,6.0,12.0,7.0,7.0,9.0,4.0,6.0
337,1305,1130,H,california,68,-650,0.8666666666666667,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
338,1306,1130,V,usc,76,NL,0.5,4,W,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,
339,1313,1130,H,ucla,98,NL,0.5,4,W,12.0,9.0,11.0,11.0,9.0,17.0,12.0,11.0,11.0,16.0,10.0,9.0,9.0,11.0,15.0,7.0,14.0,13.0,13.0,9.0,8.0,8.0,7.0,13.0,9.0,10.0,17.0,9.0,12.0,13.0,13.0,8.0,10.0,9.0,8.0,11.0,6.0,13.0,8.0,8.0,12.0,10.0,9.0,10.0,16.0,8.0,8.0,8.0,12.0,9.0,16.0,11.0,10.0,10.0,14.0,8.0,13.0,13.0,15.0,22.0,12.0,12.0,12.0,17.0,19.0
340,1317,1130,H,illinois-state,77,-625,0.8620689655172413,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1325,1130,H,marquette,90,NL,0.5,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1335,1130,H,arizona,85,-1350,0.9310344827586207,4,W,11.0,15.0,9.0,17.0,17.0,19.0,16.0,19.0,14.0,18.0,18.0,18.0,13.0,16.0,19.0,20.0,13.0,18.0,15.0,14.0,20.0,12.0,18.0,19.0,18.0,21.0,18.0,13.0,,18.0,7.0,13.0,20.0,11.0,12.0,14.0,15.0,14.0,11.0,15.0,14.0,14.0,19.0,11.0,19.0,21.0,21.0,11.0,,20.0,12.0,20.0,14.0,13.0,12.0,18.0,18.0,11.0,16.0,14.0,14.0,18.0,18.0,13.0,14.0
343,1337,1201,H,seton-hall,95,-1600,0.9411764705882353,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1342,1201,V,cincinnati,55,220,0.3125,4,W,,23.0,,25.0,24.0,,25.0,24.0,23.0,,25.0,22.0,23.0,,,,,,24.0,,25.0,,,,24.0,,,,,,,,23.0,,,,,,,,,,,,,25.0,,,23.0,25.0,,25.0,23.0,,,25.0,,,,,22.0,24.0,21.0,,
345,1343,1201,H,iowa-state,54,-260,0.7222222222222222,4,L,17.0,16.0,20.0,18.0,22.0,24.0,18.0,17.0,22.0,20.0,19.0,20.0,19.0,,18.0,23.0,24.0,20.0,19.0,23.0,19.0,22.0,19.0,23.0,19.0,18.0,21.0,23.0,19.0,20.0,21.0,21.0,16.0,22.0,21.0,24.0,21.0,,20.0,24.0,20.0,18.0,23.0,18.0,17.0,14.0,16.0,23.0,16.0,21.0,23.0,19.0,22.0,21.0,24.0,23.0,20.0,20.0,17.0,17.0,21.0,17.0,22.0,14.0,11.0
346,1354,1201,V,monmouth,91,-1000,0.9090909090909091,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,1357,1201,H,arkansas,78,NL,0.5,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,1359,1202,H,pittsburgh,55,-1600,0.9411764705882353,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1363,1202,H,texas,77,-165,0.6226415094339622,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1377,1203,H,northwestern,80,-1400,0.9333333333333333,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1378,1203,V,ucla,97,550,0.15384615384615385,4,W,12.0,9.0,11.0,11.0,9.0,17.0,12.0,11.0,11.0,16.0,10.0,9.0,9.0,11.0,15.0,7.0,14.0,13.0,13.0,9.0,8.0,8.0,7.0,13.0,9.0,10.0,17.0,9.0,12.0,13.0,13.0,8.0,10.0,9.0,8.0,11.0,6.0,13.0,8.0,8.0,12.0,10.0,9.0,10.0,16.0,8.0,8.0,8.0,12.0,9.0,16.0,11.0,10.0,10.0,14.0,8.0,13.0,13.0,15.0,22.0,12.0,12.0,12.0,17.0,19.0
352,1379,1203,H,kentucky,92,-800,0.8888888888888888,4,L,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0
353,1387,1203,H,villanova,88,-2150,0.9555555555555556,4,W,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0
354,1389,1203,H,harvard,64,-180,0.6428571428571429,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1390,1203,V,west-virginia,66,330,0.23255813953488372,4,W,21.0,,21.0,,23.0,21.0,21.0,,,24.0,24.0,25.0,,25.0,,,22.0,25.0,,24.0,,15.0,,25.0,,,16.0,,,,23.0,,,,24.0,23.0,,25.0,24.0,,23.0,,21.0,22.0,23.0,,23.0,20.0,19.0,,22.0,,,20.0,21.0,,,18.0,19.0,25.0,,,,,25.0
356,1391,1203,H,virginia,57,-400,0.8,4,L,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,6.0,4.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,11.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,7.0,4.0,4.0,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,10.0,6.0,4.0,6.0,12.0,7.0,7.0,9.0,4.0,6.0
357,1401,1203,H,temple,70,-500,0.8333333333333334,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,24.0
358,1406,1203,V,xavier,61,175,0.36363636363636365,4,L,8.0,6.0,8.0,6.0,8.0,14.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,10.0,6.0,7.0,7.0,10.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,10.0,7.0,7.0,7.0,6.0,7.0,12.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,7.0,4.0,8.0,9.0,9.0,9.0,7.0,10.0,8.0,5.0,11.0,10.0,17.0
359,1407,1203,H,baylor,76,-200,0.6666666666666666,4,W,16.0,11.0,14.0,9.0,7.0,8.0,9.0,9.0,10.0,8.0,12.0,10.0,11.0,9.0,7.0,10.0,10.0,7.0,8.0,12.0,10.0,13.0,11.0,7.0,12.0,9.0,8.0,17.0,4.0,7.0,12.0,10.0,8.0,15.0,9.0,13.0,8.0,9.0,19.0,9.0,9.0,12.0,8.0,13.0,10.0,9.0,7.0,9.0,7.0,12.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,12.0,11.0,1.0,6.0,9.0,10.0,7.0,8.0
360,1409,1203,H,kansas,89,NL,0.5,4,W,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0
361,1412,1203,V,san-diego-state,59,-260,0.7222222222222222,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,
362,1418,1203,V,rhode-island,60,-170,0.6296296296296297,4,L,19.0,21.0,19.0,21.0,16.0,23.0,24.0,20.0,21.0,22.0,21.0,21.0,18.0,18.0,22.0,,19.0,23.0,18.0,21.0,16.0,17.0,,20.0,17.0,17.0,,19.0,20.0,21.0,20.0,18.0,18.0,23.0,19.0,21.0,23.0,,,23.0,25.0,19.0,16.0,20.0,20.0,18.0,18.0,,15.0,18.0,21.0,17.0,21.0,24.0,20.0,20.0,23.0,22.0,24.0,24.0,20.0,20.0,17.0,18.0,21.0
363,1420,1203,V,wichita-state,82,-600,0.8571428571428571,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1428,1203,V,oklahoma,70,370,0.2127659574468085,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1429,1203,H,wisconsin,90,-440,0.8148148148148148,4,W,20.0,17.0,15.0,15.0,15.0,16.0,17.0,16.0,19.0,15.0,15.0,13.0,17.0,21.0,14.0,24.0,,16.0,17.0,18.0,14.0,21.0,16.0,16.0,14.0,15.0,11.0,11.0,24.0,17.0,17.0,14.0,22.0,17.0,18.0,20.0,25.0,19.0,16.0,20.0,22.0,20.0,18.0,21.0,15.0,17.0,17.0,16.0,20.0,17.0,20.0,16.0,16.0,17.0,16.0,19.0,17.0,16.0,18.0,16.0,15.0,16.0,20.0,21.0,16.0
366,1430,1203,V,arkansas-state,54,850,0.10526315789473684,4,L,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1431,1203,H,tcu,77,-1500,0.9375,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1438,1203,V,oklahoma-state,70,-120,0.5454545454545454,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1439,1203,H,maryland,71,100,0.5,4,W,,,17.0,,25.0,,,,,23.0,,,,23.0,,16.0,18.0,,,19.0,,,,,,22.0,,,,,24.0,19.0,,19.0,17.0,25.0,20.0,,23.0,21.0,18.0,25.0,,19.0,,,,,,22.0,,24.0,,22.0,23.0,22.0,25.0,,,21.0,,,,24.0,
370,1440,1203,V,akron,70,700,0.125,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1441,1203,H,creighton,82,-1100,0.9166666666666666,4,W,10.0,10.0,10.0,13.0,12.0,12.0,11.0,12.0,9.0,10.0,9.0,12.0,10.0,12.0,12.0,13.0,9.0,10.0,14.0,11.0,13.0,10.0,14.0,6.0,11.0,13.0,20.0,10.0,15.0,10.0,11.0,11.0,9.0,12.0,10.0,10.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,9.0,11.0,16.0,10.0,19.0,11.0,11.0,10.0,10.0,12.0,11.0,9.0,6.0,12.0,10.0,14.0,9.0,11.0,14.0,8.0,11.0,7.0
372,1445,1203,H,illinois-state,79,-300,0.75,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1446,1203,V,nevada,91,-280,0.7368421052631579,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1448,1203,V,kansas-state,84,-1100,0.9166666666666666,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1450,1203,V,vanderbilt,52,120,0.45454545454545453,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1458,1203,V,colorado,76,-215,0.6825396825396826,4,W,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1464,1203,N,gonzaga,69,-220,0.6875,4,W,9.0,8.0,13.0,8.0,11.0,7.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,12.0,8.0,6.0,9.0,8.0,10.0,6.0,10.0,9.0,12.0,8.0,15.0,9.0,9.0,8.0,10.0,16.0,8.0,9.0,5.0,8.0,9.0,10.0,11.0,12.0,9.0,8.0,9.0,9.0,9.0,12.0,7.0,12.0,8.0,7.0,9.0,8.0,9.0,8.0,6.0,8.0,10.0
378,1465,1203,N,arizona,62,190,0.3448275862068966,4,L,11.0,15.0,9.0,17.0,17.0,19.0,16.0,19.0,14.0,18.0,18.0,18.0,13.0,16.0,19.0,20.0,13.0,18.0,15.0,14.0,20.0,12.0,18.0,19.0,18.0,21.0,18.0,13.0,,18.0,7.0,13.0,20.0,11.0,12.0,14.0,15.0,14.0,11.0,15.0,14.0,14.0,19.0,11.0,19.0,21.0,21.0,11.0,,20.0,12.0,20.0,14.0,13.0,12.0,18.0,18.0,11.0,16.0,14.0,14.0,18.0,18.0,13.0,14.0
379,1466,1203,V,byu,84,220,0.3125,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1467,1203,H,usc,91,-260,0.7222222222222222,4,W,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,
381,1475,1203,H,purdue,90,-4500,0.9782608695652174,4,W,15.0,18.0,24.0,20.0,19.0,11.0,15.0,15.0,15.0,11.0,16.0,16.0,16.0,20.0,11.0,22.0,15.0,15.0,11.0,16.0,17.0,19.0,13.0,8.0,16.0,16.0,15.0,16.0,17.0,19.0,16.0,17.0,14.0,13.0,11.0,16.0,12.0,18.0,18.0,18.0,16.0,17.0,15.0,17.0,14.0,15.0,14.0,17.0,13.0,10.0,15.0,13.0,15.0,16.0,17.0,17.0,16.0,17.0,8.0,15.0,16.0,11.0,15.0,22.0,12.0
382,1485,1203,H,arkansas,99,-6000,0.9836065573770492,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1493,1203,H,michigan-state,80,NL,0.5,4,W,25.0,,25.0,,,,,25.0,,25.0,,,,,23.0,,,,20.0,,24.0,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,24.0,,,,20.0,24.0,,,,
384,1513,1203,H,butler,82,NL,0.5,4,W,,20.0,18.0,16.0,13.0,18.0,,18.0,13.0,17.0,17.0,17.0,21.0,15.0,16.0,14.0,,17.0,22.0,22.0,18.0,18.0,17.0,18.0,20.0,20.0,25.0,20.0,14.0,15.0,19.0,23.0,19.0,,20.0,18.0,14.0,16.0,22.0,14.0,13.0,22.0,17.0,,18.0,19.0,13.0,15.0,,19.0,18.0,15.0,19.0,19.0,,14.0,15.0,,21.0,11.0,10.0,15.0,14.0,12.0,13.0
385,1515,1203,H,california,83,-15000,0.9933774834437086,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
386,1517,1203,H,duke,94,NL,0.5,4,W,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
387,1519,1203,H,oregon,128,NL,0.5,4,W,18.0,25.0,23.0,,,20.0,22.0,,,,,,,22.0,,,,19.0,,25.0,,24.0,,17.0,,,13.0,18.0,,,,20.0,,14.0,25.0,17.0,,20.0,15.0,25.0,21.0,21.0,,15.0,,,,21.0,22.0,16.0,19.0,,20.0,23.0,19.0,,,21.0,25.0,,,,,,18.0
388,1521,1204,H,south-carolina,70,NL,0.5,4,W,24.0,19.0,,19.0,18.0,22.0,19.0,21.0,16.0,19.0,22.0,23.0,20.0,17.0,20.0,18.0,17.0,21.0,21.0,17.0,21.0,20.0,21.0,21.0,22.0,19.0,22.0,22.0,18.0,22.0,18.0,24.0,17.0,,22.0,19.0,17.0,17.0,21.0,17.0,19.0,23.0,20.0,23.0,22.0,22.0,22.0,24.0,21.0,23.0,17.0,21.0,18.0,18.0,18.0,13.0,19.0,,22.0,19.0,19.0,22.0,16.0,16.0,23.0
389,1524,1204,V,marquette,89,140,0.4166666666666667,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1529,1204,H,cincinnati,85,NL,0.5,4,W,,23.0,,25.0,24.0,,25.0,24.0,23.0,,25.0,22.0,23.0,,,,,,24.0,,25.0,,,,24.0,,,,,,,,23.0,,,,,,,,,,,,,25.0,,,23.0,25.0,,25.0,23.0,,,25.0,,,,,22.0,24.0,21.0,,
391,1532,1204,V,florida-state,67,-550,0.8461538461538461,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,24.0,,24.0,,,,,,,,,,,,,,
392,1541,1204,H,monmouth,94,NL,0.5,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1550,1205,V,connecticut,52,320,0.23809523809523808,5,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1551,1205,H,syracuse,50,-380,0.7916666666666666,5,L,,,22.0,25.0,,,,,23.0,24.0,,25.0,,23.0,,,,,25.0,,25.0,,,,24.0,24.0,24.0,,,,,,,,24.0,,,,,,,25.0,21.0,25.0,,,,,23.0,24.0,,,25.0,,24.0,24.0,,22.0,,,,,,,
395,1557,1205,H,iowa-state,91,-3000,0.967741935483871,5,W,,24.0,21.0,24.0,,,24.0,23.0,24.0,22.0,23.0,22.0,24.0,,24.0,,,,20.0,,22.0,,24.0,24.0,22.0,25.0,25.0,25.0,,23.0,25.0,,23.0,,,25.0,,,24.0,,,,,24.0,,24.0,,,,23.0,,,,23.0,25.0,25.0,24.0,,20.0,,24.0,,24.0,24.0,19.0
