,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
16,57,1111,N,arizona,65,100,0.5,1,W,5.0,9.0,13.0,11.0,12.0,8.0,9.0,13.0,11.0,11.0,15.0,9.0,10.0,8.0,14.0,11.0,8.0,11.0,10.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,9.0,13.0,11.0,10.0,10.0,12.0,9.0,9.0,8.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,14.0,11.0,11.0,10.0,12.0,9.0,13.0,10.0,10.0,13.0,10.0,10.0,11.0,8.0,10.0,5.0,13.0,9.0,9.0,12.0,13.0,13.0,12.0
17,59,1111,N,kansas,99,-240,0.7058823529411765,1,L,3.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,5.0,2.0,4.0,7.0,2.0
18,64,1111,N,tennessee-state,78,-190,0.6551724137931034,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,69,1111,H,arkansas,92,-1400,0.9333333333333333,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,71,1111,H,baylor,76,-2000,0.9523809523809523,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,77,1111,H,dayton,96,-3500,0.9722222222222222,1,W,,,,,,,24.0,24.0,,,21.0,25.0,,17.0,,,14.0,,20.0,23.0,,20.0,,,,,25.0,,,,,23.0,20.0,,25.0,,23.0,,,,,,20.0,,,,,,,,22.0,21.0,,25.0,25.0,,,,,22.0,,,14.0,22.0,25.0
22,79,1111,H,duke,94,-39000,0.9974424552429667,1,W,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0
23,87,1111,H,monmouth,78,-4000,0.975609756097561,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
24,92,1111,V,virginia,76,-1350,0.9310344827586207,1,W,13.0,8.0,8.0,8.0,5.0,9.0,7.0,7.0,9.0,8.0,10.0,6.0,7.0,9.0,9.0,7.0,12.0,9.0,6.0,8.0,5.0,12.0,7.0,9.0,8.0,8.0,5.0,7.0,10.0,9.0,6.0,8.0,11.0,12.0,7.0,10.0,10.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,4.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,8.0,11.0,10.0,6.0,8.0,8.0,4.0
25,98,1111,V,illinois-state,70,-135,0.574468085106383,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
