,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
246,901,1123,H,north-carolina,102,-16500,0.9939759036144579,3,W,8.0,10.0,5.0,9.0,11.0,7.0,8.0,6.0,10.0,8.0,9.0,9.0,9.0,10.0,19.0,8.0,10.0,5.0,11.0,7.0,5.0,6.0,8.0,10.0,11.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,12.0,14.0,12.0,14.0,6.0,5.0,6.0,12.0,8.0,13.0,13.0,9.0,8.0,11.0,11.0,10.0,16.0,13.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,11.0,8.0,8.0,7.0,10.0,10.0,13.0,8.0,,
247,902,1123,N,arkansas,92,120,0.45454545454545453,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,903,1123,N,oklahoma,83,-140,0.5833333333333334,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,
249,905,1123,N,oregon,63,-400,0.8,3,L,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,907,1123,N,michigan-state,73,-1400,0.9333333333333333,3,W,4.0,4.0,4.0,4.0,4.0,6.0,5.0,7.0,4.0,3.0,2.0,5.0,6.0,6.0,2.0,7.0,7.0,6.0,2.0,9.0,6.0,4.0,6.0,6.0,4.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,6.0,4.0,3.0,,
251,909,1123,N,virginia,68,-280,0.7368421052631579,3,W,,,25.0,,25.0,25.0,,25.0,,,22.0,,24.0,18.0,,,18.0,17.0,21.0,21.0,18.0,,,,,24.0,,,24.0,,24.0,,,25.0,25.0,,,,25.0,23.0,,,,,,,19.0,25.0,,25.0,19.0,,,25.0,,,,,,,,25.0,21.0,25.0,22.0,,
252,910,1123,N,rhode-island,75,170,0.37037037037037035,3,W,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,911,1123,N,seton-hall,74,-200,0.6666666666666666,3,L,21.0,24.0,18.0,18.0,16.0,20.0,19.0,21.0,24.0,23.0,21.0,,19.0,19.0,24.0,18.0,19.0,14.0,20.0,19.0,16.0,19.0,23.0,20.0,24.0,,11.0,22.0,18.0,14.0,19.0,23.0,19.0,17.0,21.0,21.0,22.0,24.0,22.0,16.0,21.0,15.0,22.0,21.0,24.0,,23.0,21.0,17.0,22.0,22.0,23.0,21.0,20.0,17.0,17.0,20.0,22.0,16.0,25.0,18.0,23.0,,19.0,19.0,,
254,912,1123,N,harvard,71,550,0.15384615384615385,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,915,1123,N,washington-state,75,300,0.25,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,916,1123,V,georgia,64,-550,0.8461538461538461,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,919,1123,N,san-diego-state,89,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,921,1123,H,duke,99,-9000,0.989010989010989,3,W,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
259,922,1123,N,butler,48,135,0.425531914893617,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,923,1123,N,texas,61,-155,0.6078431372549019,3,W,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,924,1123,N,florida,108,-1050,0.9130434782608695,3,W,7.0,6.0,11.0,10.0,14.0,9.0,7.0,8.0,7.0,7.0,8.0,14.0,8.0,16.0,6.0,15.0,6.0,9.0,7.0,6.0,11.0,7.0,10.0,5.0,6.0,8.0,9.0,13.0,10.0,3.0,7.0,8.0,8.0,6.0,9.0,12.0,5.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,12.0,8.0,8.0,8.0,9.0,12.0,9.0,8.0,19.0,14.0,9.0,,
262,926,1123,N,ohio-state,59,180,0.35714285714285715,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,927,1123,N,gonzaga,86,-220,0.6875,3,W,17.0,15.0,,21.0,20.0,19.0,18.0,18.0,15.0,20.0,17.0,22.0,18.0,23.0,23.0,13.0,16.0,13.0,18.0,13.0,19.0,13.0,20.0,18.0,15.0,19.0,21.0,15.0,16.0,13.0,20.0,13.0,18.0,16.0,18.0,15.0,21.0,18.0,14.0,20.0,17.0,19.0,20.0,17.0,17.0,14.0,20.0,17.0,20.0,16.0,17.0,19.0,17.0,16.0,23.0,16.0,16.0,15.0,18.0,19.0,17.0,19.0,20.0,17.0,17.0,,
264,929,1123,N,xavier,83,NL,0.5,3,W,15.0,16.0,15.0,14.0,18.0,15.0,16.0,16.0,17.0,17.0,15.0,16.0,10.0,9.0,14.0,14.0,13.0,11.0,15.0,17.0,17.0,11.0,14.0,17.0,16.0,10.0,17.0,18.0,14.0,17.0,13.0,12.0,15.0,20.0,17.0,11.0,16.0,15.0,12.0,11.0,15.0,12.0,15.0,15.0,14.0,22.0,12.0,15.0,7.0,15.0,10.0,18.0,15.0,15.0,11.0,13.0,15.0,20.0,15.0,17.0,10.0,18.0,12.0,10.0,13.0,,
265,930,1123,N,kansas-state,90,-185,0.6491228070175439,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,931,1123,N,arizona-state,92,155,0.39215686274509803,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,948,1124,N,oakland,59,NL,0.5,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,949,1124,N,kansas,102,NL,0.5,3,W,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,,
269,953,1124,N,wisconsin,71,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,954,1124,N,nevada,67,-800,0.8888888888888888,3,W,,,20.0,,,,,,,,,,,,17.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,
271,956,1124,N,missouri,90,-125,0.5555555555555556,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,961,1124,N,west-virginia,83,-310,0.7560975609756098,3,W,23.0,,,23.0,,21.0,25.0,23.0,,15.0,,19.0,22.0,,,20.0,,21.0,22.0,22.0,,,17.0,23.0,25.0,20.0,23.0,,20.0,,22.0,,,,19.0,,23.0,22.0,21.0,22.0,22.0,,19.0,,21.0,21.0,14.0,22.0,,,25.0,15.0,23.0,22.0,21.0,,21.0,,,,22.0,20.0,,22.0,,,
273,962,1124,N,nebraska,84,-800,0.8888888888888888,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,968,1124,N,villanova,64,-1191,0.9225406661502711,3,W,5.0,5.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,15.0,5.0,4.0,2.0,8.0,5.0,4.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,6.0,4.0,4.0,7.0,6.0,8.0,6.0,7.0,4.0,6.0,3.0,3.0,4.0,7.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,7.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,7.0,8.0,4.0,,
275,969,1124,N,northern-iowa,50,751,0.11750881316098707,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,970,1124,N,tennessee,67,-270,0.7297297297297297,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,972,1124,N,western-kentucky,63,477,0.1733102253032929,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,974,1124,N,purdue,89,105,0.4878048780487805,3,W,19.0,22.0,17.0,13.0,24.0,14.0,17.0,15.0,18.0,19.0,19.0,20.0,17.0,13.0,12.0,19.0,12.0,18.0,16.0,12.0,15.0,17.0,22.0,19.0,22.0,11.0,16.0,20.0,22.0,15.0,11.0,11.0,21.0,21.0,22.0,17.0,11.0,21.0,16.0,15.0,19.0,17.0,17.0,19.0,18.0,24.0,18.0,18.0,12.0,18.0,13.0,22.0,19.0,24.0,19.0,18.0,19.0,25.0,23.0,24.0,15.0,22.0,25.0,16.0,18.0,,
279,975,1124,N,arizona,64,-125,0.5555555555555556,3,L,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,,
280,976,1124,N,rhode-island,55,232,0.30120481927710846,3,L,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,977,1124,N,virginia,70,-284,0.7395833333333334,3,W,,,25.0,,25.0,25.0,,25.0,,,22.0,,24.0,18.0,,,18.0,17.0,21.0,21.0,18.0,,,,,24.0,,,24.0,,24.0,,,25.0,25.0,,,,25.0,23.0,,,,,,,19.0,25.0,,25.0,19.0,,,25.0,,,,,,,,25.0,21.0,25.0,22.0,,
282,979,1124,N,seton-hall,72,-275,0.7333333333333333,3,W,21.0,24.0,18.0,18.0,16.0,20.0,19.0,21.0,24.0,23.0,21.0,,19.0,19.0,24.0,18.0,19.0,14.0,20.0,19.0,16.0,19.0,23.0,20.0,24.0,,11.0,22.0,18.0,14.0,19.0,23.0,19.0,17.0,21.0,21.0,22.0,24.0,22.0,16.0,21.0,15.0,22.0,21.0,24.0,,23.0,21.0,17.0,22.0,22.0,23.0,21.0,20.0,17.0,17.0,20.0,22.0,16.0,25.0,18.0,23.0,,19.0,19.0,,
283,981,1124,N,washington-state,84,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,982,1124,N,harvard,77,144,0.4098360655737705,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,984,1124,N,georgia,68,152,0.3968253968253968,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,985,1124,N,san-diego-state,75,-177,0.6389891696750902,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,993,1124,H,butler,71,-861,0.8959417273673257,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,994,1124,N,duke,85,-260,0.7222222222222222,3,W,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
289,995,1124,N,texas,78,215,0.31746031746031744,3,L,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,997,1124,N,ohio-state,79,-200,0.6666666666666666,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,998,1124,N,florida,111,-135,0.574468085106383,3,W,7.0,6.0,11.0,10.0,14.0,9.0,7.0,8.0,7.0,7.0,8.0,14.0,8.0,16.0,6.0,15.0,6.0,9.0,7.0,6.0,11.0,7.0,10.0,5.0,6.0,8.0,9.0,13.0,10.0,3.0,7.0,8.0,8.0,6.0,9.0,12.0,5.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,12.0,8.0,8.0,8.0,9.0,12.0,9.0,8.0,19.0,14.0,9.0,,
292,999,1124,N,gonzaga,105,115,0.46511627906976744,3,L,17.0,15.0,,21.0,20.0,19.0,18.0,18.0,15.0,20.0,17.0,22.0,18.0,23.0,23.0,13.0,16.0,13.0,18.0,13.0,19.0,13.0,20.0,18.0,15.0,19.0,21.0,15.0,16.0,13.0,20.0,13.0,18.0,16.0,18.0,15.0,21.0,18.0,14.0,20.0,17.0,19.0,20.0,17.0,17.0,14.0,20.0,17.0,20.0,16.0,17.0,19.0,17.0,16.0,23.0,16.0,16.0,15.0,18.0,19.0,17.0,19.0,20.0,17.0,17.0,,
293,1000,1124,N,north-carolina,87,-190,0.6551724137931034,3,W,8.0,10.0,5.0,9.0,11.0,7.0,8.0,6.0,10.0,8.0,9.0,9.0,9.0,10.0,19.0,8.0,10.0,5.0,11.0,7.0,5.0,6.0,8.0,10.0,11.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,12.0,14.0,12.0,14.0,6.0,5.0,6.0,12.0,8.0,13.0,13.0,9.0,8.0,11.0,11.0,10.0,16.0,13.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,11.0,8.0,8.0,7.0,10.0,10.0,13.0,8.0,,
294,1001,1124,N,arkansas,68,163,0.38022813688212925,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1003,1124,N,oklahoma,93,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,
296,1005,1124,N,michigan-state,77,-350,0.7777777777777778,3,W,4.0,4.0,4.0,4.0,4.0,6.0,5.0,7.0,4.0,3.0,2.0,5.0,6.0,6.0,2.0,7.0,7.0,6.0,2.0,9.0,6.0,4.0,6.0,6.0,4.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,6.0,4.0,3.0,,
297,1006,1124,N,oregon,89,-861,0.8959417273673257,3,W,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1023,1124,N,valparaiso,77,-325,0.7647058823529411,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1024,1124,N,xavier,86,-300,0.75,3,L,15.0,16.0,15.0,14.0,18.0,15.0,16.0,16.0,17.0,17.0,15.0,16.0,10.0,9.0,14.0,14.0,13.0,11.0,15.0,17.0,17.0,11.0,14.0,17.0,16.0,10.0,17.0,18.0,14.0,17.0,13.0,12.0,15.0,20.0,17.0,11.0,16.0,15.0,12.0,11.0,15.0,12.0,15.0,15.0,14.0,22.0,12.0,15.0,7.0,15.0,10.0,18.0,15.0,15.0,11.0,13.0,15.0,20.0,15.0,17.0,10.0,18.0,12.0,10.0,13.0,,
300,1025,1124,N,arizona-state,102,245,0.2898550724637681,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1027,1124,N,kansas-state,67,-1106,0.9170812603648425,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1029,1124,N,tcu,69,-1400,0.9333333333333333,3,W,,25.0,21.0,,,,,,25.0,,,,,24.0,22.0,23.0,,,,,,,,,,23.0,,,,22.0,,25.0,25.0,,,,,,,,,,23.0,25.0,,,,,,,,24.0,,,,,,,,,24.0,24.0,,,25.0,,
303,1030,1124,N,st.-bonaventure,63,400,0.2,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1031,1124,N,maryland,61,-525,0.84,3,L,,,24.0,,,,,,,,,,,,,,,,,,25.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
305,1039,1124,N,alabama,71,-390,0.7959183673469388,3,W,,18.0,,25.0,,24.0,23.0,,23.0,25.0,,21.0,25.0,20.0,,22.0,,,,16.0,,,24.0,25.0,20.0,,,25.0,23.0,25.0,23.0,22.0,23.0,22.0,,25.0,,19.0,,,,21.0,24.0,24.0,25.0,23.0,,24.0,,21.0,,,16.0,23.0,20.0,22.0,25.0,,24.0,22.0,23.0,,,,,,
306,1049,1124,H,penn-state,86,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1051,1124,H,florida-state,113,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1057,1124,H,auburn,119,-1500,0.9375,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1058,1125,V,ball-state,93,105,0.4878048780487805,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1063,1125,H,dayton,73,-450,0.8181818181818182,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1064,1125,V,davidson,62,-600,0.8571428571428571,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1068,1125,V,georgetown,82,-175,0.6363636363636364,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1071,1125,H,providence,86,-330,0.7674418604651163,3,W,,,,,,,,,,,,24.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
314,1073,1125,H,boise-state,68,-450,0.8181818181818182,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1089,1125,N,maryland,80,-1200,0.9230769230769231,3,W,,,24.0,,,,,,,,,,,,,,,,,,25.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
316,1090,1125,V,tcu,89,-450,0.8181818181818182,3,W,,25.0,21.0,,,,,,25.0,,,,,24.0,22.0,23.0,,,,,,,,,,23.0,,,,22.0,,25.0,25.0,,,,,,,,,,23.0,25.0,,,,,,,,24.0,,,,,,,,,24.0,24.0,,,25.0,,
317,1091,1125,H,st.-bonaventure,79,350,0.2222222222222222,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1111,1125,H,valparaiso,79,-400,0.8,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1118,1125,V,alabama,84,170,0.37037037037037035,3,L,,18.0,,25.0,,24.0,23.0,,23.0,25.0,,21.0,25.0,20.0,,22.0,,,,16.0,,,24.0,25.0,20.0,,,25.0,23.0,25.0,23.0,22.0,23.0,22.0,,25.0,,19.0,,,,21.0,24.0,24.0,25.0,23.0,,24.0,,21.0,,,16.0,23.0,20.0,22.0,25.0,,24.0,22.0,23.0,,,,,,
320,1127,1125,H,virginia-tech,96,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1129,1125,H,creighton,103,-30000,0.9966777408637874,3,W,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,25.0,,,,,,
322,1135,1125,H,murray-state,81,-230,0.696969696969697,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1137,1125,H,unlv,101,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1143,1126,H,kentucky,107,NL,0.5,3,W,10.0,8.0,8.0,6.0,10.0,8.0,10.0,14.0,8.0,9.0,7.0,7.0,11.0,14.0,11.0,10.0,8.0,15.0,17.0,10.0,7.0,9.0,7.0,8.0,13.0,7.0,10.0,9.0,8.0,9.0,12.0,10.0,11.0,7.0,10.0,6.0,10.0,7.0,9.0,9.0,9.0,14.0,10.0,7.0,10.0,7.0,9.0,6.0,13.0,6.0,12.0,7.0,8.0,9.0,7.0,7.0,14.0,7.0,7.0,7.0,8.0,7.0,5.0,5.0,6.0,,
325,1145,1126,H,michigan,87,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,21.0,,,,,,
326,1148,1126,V,temple,83,-160,0.6153846153846154,3,L,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
327,1151,1126,H,ucla,87,-1600,0.9411764705882353,3,W,22.0,20.0,,22.0,23.0,22.0,,,20.0,22.0,23.0,18.0,,,,,24.0,20.0,,,23.0,,,21.0,23.0,22.0,,24.0,,21.0,25.0,24.0,24.0,24.0,16.0,22.0,19.0,20.0,23.0,,23.0,23.0,,22.0,20.0,18.0,,,,24.0,23.0,20.0,,21.0,25.0,20.0,24.0,18.0,22.0,21.0,,,18.0,20.0,24.0,,
328,1155,1126,H,usc,59,-165,0.6226415094339622,3,L,9.0,9.0,10.0,8.0,8.0,16.0,9.0,11.0,11.0,12.0,10.0,6.0,7.0,8.0,10.0,6.0,9.0,7.0,9.0,11.0,9.0,14.0,11.0,9.0,9.0,12.0,6.0,10.0,11.0,10.0,14.0,5.0,10.0,10.0,8.0,8.0,13.0,11.0,15.0,10.0,10.0,4.0,12.0,10.0,9.0,10.0,10.0,13.0,15.0,4.0,8.0,9.0,13.0,5.0,8.0,9.0,12.0,9.0,10.0,10.0,14.0,11.0,8.0,9.0,12.0,,
329,1159,1126,N,nebraska,85,-500,0.8333333333333334,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1162,1126,N,missouri,79,270,0.2702702702702703,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1163,1126,N,west-virginia,83,-340,0.7727272727272727,3,W,23.0,,,23.0,,21.0,25.0,23.0,,15.0,,19.0,22.0,,,20.0,,21.0,22.0,22.0,,,17.0,23.0,25.0,20.0,23.0,,20.0,,22.0,,,,19.0,,23.0,22.0,21.0,22.0,22.0,,19.0,,21.0,21.0,14.0,22.0,,,25.0,15.0,23.0,22.0,21.0,,21.0,,,,22.0,20.0,,22.0,,,
332,1172,1126,N,oklahoma,90,-145,0.5918367346938775,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,
333,1173,1126,N,oregon,80,125,0.4444444444444444,3,L,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
