,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
16,73,1113,H,duke,92.0,NL,0.5,1,W,4.0,3.0,5.0,10.0,6.0,8.0,4.0,4.0,3.0,5.0,7.0,3.0,3.0,6.0,9.0,5.0,6.0,3.0,6.0,6.0,3.0,2.0,7.0,7.0,4.0,7.0,6.0,5.0,3.0,7.0,6.0,5.0,6.0,4.0,7.0,3.0,7.0,3.0,3.0,5.0,3.0,12.0,3.0,4.0,4.0,5.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,8.0,6.0,5.0,8.0,6.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,
17,79,1113,H,old-dominion,67.0,NL,0.5,1,W,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,80,1113,V,yale,70.0,-290,0.7435897435897436,1,W,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,83,1113,H,louisville,86.0,NL,0.5,1,W,,,,,,,,,,,,,,,,,,20.0,25.0,,,,,,21.0,,,,,,,,,,,25.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,,25.0,,12.0,11.0,
20,85,1113,H,central-michigan,89.0,NL,0.5,1,W,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,93,1113,H,valparaiso,78.0,NL,0.5,1,W,24.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,
22,97,1113,H,marquette,80.0,-275,0.7333333333333333,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,101,1113,H,vanderbilt,80.0,NL,0.5,1,W,,18.0,21.0,15.0,18.0,24.0,21.0,18.0,,25.0,18.0,24.0,18.0,21.0,,20.0,13.0,15.0,23.0,20.0,21.0,17.0,16.0,18.0,19.0,20.0,,24.0,23.0,20.0,20.0,15.0,19.0,17.0,,16.0,22.0,16.0,17.0,24.0,,15.0,18.0,25.0,17.0,16.0,20.0,16.0,13.0,21.0,19.0,21.0,13.0,21.0,22.0,18.0,,20.0,18.0,20.0,18.0,18.0,18.0,,,
24,103,1113,H,oklahoma-state,91.0,-875,0.8974358974358975,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
25,107,1113,H,kansas,109.0,NL,0.5,1,W,3.0,5.0,6.0,1.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0,2.0,4.0,9.0,5.0,4.0,4.0,9.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,7.0,5.0,4.0,6.0,4.0,4.0,6.0,2.0,4.0,5.0,5.0,1.0,6.0,6.0,3.0,6.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,7.0,4.0,6.0,4.0,7.0,9.0,
