,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
254,914,1127,V,kentucky,84.0,-7000,0.9859154929577465,3,W,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,
255,923,1127,H,baylor,94.0,-7000,0.9859154929577465,3,W,,24.0,25.0,,,,17.0,,,,24.0,24.0,24.0,23.0,,,,,,,,23.0,,,25.0,24.0,,21.0,,24.0,24.0,25.0,22.0,22.0,,24.0,21.0,23.0,,,24.0,,25.0,,,,24.0,,,23.0,23.0,25.0,,,,,22.0,22.0,25.0,,,,23.0,,24.0,
256,925,1127,H,oklahoma-state,79.0,-380,0.7916666666666666,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,927,1127,N,wichita-state,60.0,-500,0.8333333333333334,3,L,15.0,21.0,23.0,18.0,17.0,15.0,11.0,19.0,,17.0,18.0,,23.0,17.0,13.0,25.0,9.0,23.0,17.0,18.0,,,18.0,,19.0,18.0,21.0,23.0,16.0,19.0,18.0,19.0,24.0,19.0,17.0,,19.0,20.0,25.0,17.0,,24.0,8.0,19.0,23.0,17.0,19.0,25.0,16.0,15.0,17.0,13.0,24.0,18.0,16.0,,15.0,,18.0,20.0,18.0,19.0,13.0,,19.0,
258,928,1127,N,usc,77.0,155,0.39215686274509803,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,929,1127,N,xavier,87.0,-175,0.6363636363636364,3,W,23.0,22.0,22.0,14.0,24.0,,,23.0,17.0,23.0,,,,,25.0,,11.0,25.0,,21.0,,,24.0,,,21.0,,25.0,,23.0,20.0,22.0,23.0,24.0,,25.0,22.0,16.0,,,,20.0,,24.0,,,22.0,21.0,,,25.0,,25.0,22.0,24.0,,25.0,25.0,22.0,,22.0,25.0,,,22.0,
260,930,1127,N,iowa,62.0,110,0.47619047619047616,3,L,,,,,,,,,14.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,931,1127,N,notre-dame,68.0,-130,0.5652173913043478,3,W,17.0,17.0,20.0,21.0,22.0,22.0,16.0,17.0,7.0,19.0,16.0,14.0,16.0,15.0,18.0,14.0,,22.0,,,18.0,16.0,,17.0,15.0,19.0,,20.0,18.0,21.0,21.0,,16.0,21.0,15.0,16.0,18.0,,22.0,14.0,14.0,12.0,17.0,22.0,17.0,20.0,18.0,18.0,25.0,16.0,15.0,15.0,,25.0,17.0,13.0,16.0,20.0,19.0,16.0,17.0,20.0,17.0,16.0,17.0,
262,932,1127,N,monmouth,70.0,310,0.24390243902439024,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,933,1127,N,dayton,73.0,-370,0.7872340425531915,3,W,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,25.0,,,,,,21.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
264,934,1127,N,connecticut,70.0,135,0.425531914893617,3,L,18.0,16.0,17.0,24.0,18.0,13.0,,14.0,21.0,18.0,20.0,23.0,20.0,25.0,19.0,16.0,17.0,15.0,15.0,10.0,21.0,19.0,23.0,14.0,16.0,17.0,18.0,19.0,20.0,17.0,17.0,21.0,,17.0,21.0,17.0,17.0,,21.0,24.0,22.0,21.0,18.0,14.0,22.0,21.0,23.0,19.0,19.0,20.0,19.0,18.0,21.0,,19.0,22.0,,16.0,17.0,24.0,24.0,14.0,18.0,21.0,18.0,
265,935,1127,N,gonzaga,73.0,-155,0.6078431372549019,3,W,8.0,9.0,12.0,6.0,10.0,10.0,9.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,5.0,14.0,9.0,5.0,6.0,10.0,8.0,10.0,4.0,5.0,6.0,13.0,3.0,4.0,9.0,8.0,9.0,8.0,10.0,7.0,7.0,7.0,12.0,10.0,4.0,10.0,3.0,10.0,7.0,14.0,13.0,11.0,10.0,5.0,8.0,8.0,12.0,14.0,11.0,12.0,4.0,14.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,
266,936,1127,N,syracuse,74.0,220,0.3125,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,938,1127,N,texas,72.0,110,0.47619047619047616,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,939,1127,N,michigan,78.0,-130,0.5652173913043478,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,
269,945,1127,N,villanova,69.0,-700,0.875,3,W,11.0,5.0,4.0,9.0,8.0,14.0,7.0,8.0,3.0,7.0,8.0,7.0,12.0,8.0,10.0,8.0,5.0,8.0,8.0,9.0,4.0,9.0,15.0,10.0,7.0,8.0,5.0,12.0,10.0,6.0,9.0,7.0,4.0,9.0,5.0,3.0,8.0,2.0,4.0,6.0,9.0,8.0,11.0,12.0,7.0,9.0,10.0,3.0,15.0,7.0,9.0,10.0,12.0,9.0,8.0,6.0,9.0,12.0,8.0,8.0,8.0,4.0,11.0,24.0,6.0,
270,952,1127,N,boise-state,67.0,500,0.16666666666666666,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,953,1127,N,michigan-state,77.0,-700,0.875,3,W,9.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,6.0,2.0,3.0,3.0,3.0,6.0,10.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,10.0,3.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,8.0,5.0,2.0,3.0,
272,956,1127,N,providence,69.0,210,0.3225806451612903,3,W,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,
273,957,1127,N,arizona,65.0,-250,0.7142857142857143,3,L,12.0,12.0,10.0,12.0,11.0,11.0,14.0,13.0,5.0,11.0,12.0,11.0,11.0,12.0,12.0,7.0,13.0,4.0,7.0,14.0,5.0,13.0,7.0,13.0,10.0,15.0,4.0,11.0,12.0,12.0,13.0,4.0,12.0,12.0,13.0,10.0,14.0,11.0,14.0,12.0,8.0,13.0,12.0,9.0,6.0,14.0,13.0,8.0,11.0,11.0,12.0,11.0,9.0,17.0,10.0,9.0,10.0,15.0,13.0,10.0,12.0,15.0,12.0,13.0,16.0,
274,967,1127,N,utep,71.0,-125,0.5555555555555556,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,969,1127,N,colorado-state,90.0,-290,0.7435897435897436,3,W,25.0,,,,,,,,25.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,17.0,,
276,971,1127,N,iowa-state,99.0,-1200,0.9230769230769231,3,W,4.0,6.0,8.0,4.0,4.0,7.0,4.0,9.0,13.0,4.0,5.0,3.0,7.0,6.0,7.0,3.0,21.0,5.0,2.0,11.0,8.0,4.0,3.0,7.0,3.0,5.0,8.0,9.0,7.0,4.0,5.0,8.0,11.0,5.0,3.0,12.0,4.0,8.0,5.0,3.0,6.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,7.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,8.0,13.0,4.0,4.0,6.0,3.0,7.0,6.0,5.0,
277,972,1127,N,uab,58.0,120,0.45454545454545453,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,975,1127,N,cincinnati,65.0,-900,0.9,3,W,,23.0,,,20.0,19.0,,20.0,,24.0,,,,,,,,,,25.0,,,,,23.0,,17.0,18.0,,,,,18.0,,,19.0,,19.0,,23.0,,,,16.0,,,21.0,24.0,,,24.0,,,21.0,,,21.0,23.0,24.0,,21.0,,,,25.0,
279,978,1127,N,california,90.0,-260,0.7222222222222222,3,L,14.0,14.0,13.0,20.0,15.0,12.0,15.0,22.0,18.0,13.0,15.0,12.0,14.0,14.0,15.0,11.0,16.0,14.0,14.0,12.0,14.0,15.0,14.0,15.0,,13.0,14.0,16.0,14.0,13.0,12.0,13.0,13.0,13.0,12.0,,13.0,17.0,12.0,13.0,23.0,17.0,15.0,11.0,8.0,11.0,15.0,12.0,20.0,13.0,14.0,14.0,13.0,12.0,14.0,14.0,17.0,10.0,15.0,14.0,15.0,10.0,15.0,18.0,13.0,
280,980,1127,N,san-diego-state,50.0,115,0.46511627906976744,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,981,1127,N,west-virginia,72.0,-135,0.574468085106383,3,W,24.0,,,,,,22.0,,,,,21.0,,,,21.0,,,,,23.0,,,,22.0,,24.0,22.0,,,,,,,24.0,,,,,20.0,17.0,16.0,,,,,,,,25.0,,24.0,,19.0,,23.0,,,,,,,,,,
282,995,1127,H,florida,70.0,NL,0.5,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,999,1128,H,maryland,80.0,-8000,0.9876543209876543,3,W,2.0,2.0,3.0,2.0,2.0,1.0,8.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,15.0,3.0,6.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,
284,1000,1128,V,valparaiso,66.0,-450,0.8181818181818182,3,L,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1003,1128,H,pittsburgh,85.0,-1600,0.9411764705882353,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,1007,1128,H,texas-tech,82.0,-300,0.75,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1009,1128,H,st.-bonaventure,83.0,-125,0.5555555555555556,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1011,1128,H,tulsa,60.0,-700,0.875,3,L,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,25.0,,,,,,,,,,25.0,,,,25.0,,,,,,,,,,,24.0,,,,17.0,,,,,,
289,1012,1128,V,old-dominion,67.0,300,0.25,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1019,1128,H,seton-hall,69.0,-145,0.5918367346938775,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1025,1128,H,louisville,77.0,-2500,0.9615384615384616,3,W,,,,,,,,24.0,,,,,,,,,,18.0,20.0,,,25.0,,,,,,,,,,,,,,22.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,12.0,,
292,1035,1128,N,cincinnati,61.0,-240,0.7058823529411765,3,W,,23.0,,,20.0,19.0,,20.0,,24.0,,,,,,,,,,25.0,,,,,23.0,,17.0,18.0,,,,,18.0,,,19.0,,19.0,,23.0,,,,16.0,,,21.0,24.0,,,24.0,,,21.0,,,21.0,23.0,24.0,,21.0,,,,25.0,
293,1045,1128,N,uab,77.0,-155,0.6078431372549019,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1047,1128,N,iowa-state,84.0,-400,0.8,3,W,4.0,6.0,8.0,4.0,4.0,7.0,4.0,9.0,13.0,4.0,5.0,3.0,7.0,6.0,7.0,3.0,21.0,5.0,2.0,11.0,8.0,4.0,3.0,7.0,3.0,5.0,8.0,9.0,7.0,4.0,5.0,8.0,11.0,5.0,3.0,12.0,4.0,8.0,5.0,3.0,6.0,4.0,3.0,6.0,4.0,4.0,7.0,5.0,7.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,8.0,13.0,4.0,4.0,6.0,3.0,7.0,6.0,5.0,
295,1050,1128,N,utep,99.0,160,0.38461538461538464,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,1051,1128,N,colorado-state,90.0,-180,0.6428571428571429,3,L,25.0,,,,,,,,25.0,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,17.0,,
297,1069,1128,H,butler,89.0,-37500,0.9973404255319149,3,W,,,,25.0,,25.0,,25.0,,25.0,25.0,,,,23.0,,,,22.0,22.0,,24.0,25.0,,,25.0,,,25.0,25.0,,,,25.0,25.0,23.0,,25.0,,,,19.0,,21.0,,24.0,,,,,,,,,,,20.0,,,,,,21.0,20.0,,
298,1072,1128,V,northern-iowa,97.0,-600,0.8571428571428571,3,W,,,,,25.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,25.0,,,,23.0,,,,19.0,,
299,1076,1128,V,western-illinois,67.0,550,0.15384615384615385,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1091,1128,H,byu,95.0,-260,0.7222222222222222,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1095,1128,H,georgetown,77.0,-10000,0.9900990099009901,3,W,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1099,1128,H,unlv,80.0,-6500,0.9848484848484849,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,1101,1129,H,duke,85.0,-5000,0.9803921568627451,3,W,7.0,10.0,5.0,13.0,7.0,9.0,6.0,4.0,9.0,9.0,10.0,6.0,4.0,2.0,3.0,9.0,10.0,6.0,10.0,5.0,3.0,3.0,5.0,9.0,9.0,12.0,10.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,10.0,4.0,10.0,10.0,6.0,7.0,3.0,11.0,7.0,5.0,9.0,8.0,5.0,11.0,4.0,9.0,5.0,7.0,6.0,8.0,6.0,8.0,13.0,7.0,7.0,5.0,5.0,6.0,3.0,3.0,7.0,
304,1102,1129,V,wisconsin,48.0,335,0.22988505747126436,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1103,1129,H,oklahoma,65.0,-420,0.8076923076923077,3,W,5.0,8.0,9.0,7.0,6.0,8.0,10.0,11.0,12.0,5.0,6.0,5.0,6.0,7.0,8.0,4.0,4.0,12.0,6.0,15.0,9.0,6.0,9.0,6.0,4.0,7.0,2.0,8.0,9.0,10.0,7.0,11.0,14.0,7.0,8.0,9.0,5.0,5.0,11.0,8.0,2.0,9.0,6.0,18.0,5.0,3.0,8.0,6.0,8.0,6.0,7.0,4.0,11.0,5.0,7.0,7.0,5.0,2.0,5.0,6.0,7.0,7.0,8.0,10.0,9.0,
306,1107,1129,H,temple,69.0,-1100,0.9166666666666666,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1113,1129,H,ucla,77.0,-5000,0.9803921568627451,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1114,1129,N,wichita-state,61.0,185,0.3508771929824561,3,L,15.0,21.0,23.0,18.0,17.0,15.0,11.0,19.0,,17.0,18.0,,23.0,17.0,13.0,25.0,9.0,23.0,17.0,18.0,,,18.0,,19.0,18.0,21.0,23.0,16.0,19.0,18.0,19.0,24.0,19.0,17.0,,19.0,20.0,25.0,17.0,,24.0,8.0,19.0,23.0,17.0,19.0,25.0,16.0,15.0,17.0,13.0,24.0,18.0,16.0,,15.0,,18.0,20.0,18.0,19.0,13.0,,19.0,
309,1115,1129,N,iowa,84.0,-215,0.6825396825396826,3,W,,,,,,,,,14.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1116,1129,N,monmouth,83.0,185,0.3508771929824561,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1117,1129,N,usc,73.0,-215,0.6825396825396826,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1118,1129,N,dayton,61.0,120,0.45454545454545453,3,L,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,25.0,,,,,,21.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
313,1119,1129,N,xavier,90.0,-140,0.5833333333333334,3,W,23.0,22.0,22.0,14.0,24.0,,,23.0,17.0,23.0,,,,,25.0,,11.0,25.0,,21.0,,,24.0,,,21.0,,25.0,,23.0,20.0,22.0,23.0,24.0,,25.0,22.0,16.0,,,,20.0,,24.0,,,22.0,21.0,,,25.0,,25.0,22.0,24.0,,25.0,25.0,22.0,,22.0,25.0,,,22.0,
314,1121,1129,N,notre-dame,73.0,-700,0.875,3,L,17.0,17.0,20.0,21.0,22.0,22.0,16.0,17.0,7.0,19.0,16.0,14.0,16.0,15.0,18.0,14.0,,22.0,,,18.0,16.0,,17.0,15.0,19.0,,20.0,18.0,21.0,21.0,,16.0,21.0,15.0,16.0,18.0,,22.0,14.0,14.0,12.0,17.0,22.0,17.0,20.0,18.0,18.0,25.0,16.0,15.0,15.0,,25.0,17.0,13.0,16.0,20.0,19.0,16.0,17.0,20.0,17.0,16.0,17.0,
315,1124,1129,N,boise-state,59.0,210,0.3225806451612903,3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1125,1129,N,arizona,68.0,-250,0.7142857142857143,3,W,12.0,12.0,10.0,12.0,11.0,11.0,14.0,13.0,5.0,11.0,12.0,11.0,11.0,12.0,12.0,7.0,13.0,4.0,7.0,14.0,5.0,13.0,7.0,13.0,10.0,15.0,4.0,11.0,12.0,12.0,13.0,4.0,12.0,12.0,13.0,10.0,14.0,11.0,14.0,12.0,8.0,13.0,12.0,9.0,6.0,14.0,13.0,8.0,11.0,11.0,12.0,11.0,9.0,17.0,10.0,9.0,10.0,15.0,13.0,10.0,12.0,15.0,12.0,13.0,16.0,
317,1128,1129,N,providence,64.0,330,0.23255813953488372,3,L,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,
318,1129,1129,N,michigan-state,77.0,-400,0.8,3,W,9.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,6.0,2.0,3.0,3.0,3.0,6.0,10.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,10.0,3.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,8.0,5.0,2.0,3.0,
319,1135,1129,H,rhode-island,82.0,-800,0.8888888888888888,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1137,1129,H,colorado,82.0,-30000,0.9966777408637874,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1143,1129,H,marquette,80.0,-1000,0.9090909090909091,3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1145,1130,H,kentucky,75.0,-8000,0.9876543209876543,4,W,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,
323,1148,1130,V,lsu,58.0,-220,0.6875,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
324,1151,1130,H,northern-iowa,93.0,-7500,0.9868421052631579,4,W,,,,25.0,25.0,,,,24.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,23.0,,,,22.0,,,,22.0,,
325,1153,1130,H,oregon,78.0,-900,0.9,4,W,14.0,17.0,12.0,8.0,17.0,23.0,13.0,21.0,15.0,15.0,17.0,14.0,14.0,13.0,12.0,12.0,,13.0,19.0,20.0,15.0,17.0,14.0,,16.0,18.0,,14.0,15.0,11.0,16.0,15.0,17.0,17.0,13.0,14.0,16.0,19.0,11.0,17.0,21.0,23.0,13.0,18.0,15.0,16.0,17.0,15.0,14.0,16.0,17.0,17.0,14.0,11.0,18.0,14.0,20.0,12.0,20.0,23.0,19.0,21.0,12.0,18.0,16.0,
326,1154,1130,V,clemson,83.0,105,0.4878048780487805,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1157,1130,H,south-carolina,76.0,-5000,0.9803921568627451,4,W,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
328,1165,1201,H,florida,76.0,-450,0.8181818181818182,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1168,1201,V,villanova,86.0,-1400,0.9333333333333333,4,W,8.0,7.0,4.0,7.0,8.0,10.0,7.0,7.0,3.0,8.0,7.0,7.0,9.0,8.0,8.0,6.0,5.0,7.0,6.0,6.0,4.0,7.0,7.0,7.0,8.0,7.0,7.0,11.0,9.0,6.0,8.0,6.0,4.0,9.0,6.0,3.0,7.0,2.0,4.0,6.0,8.0,7.0,8.0,12.0,6.0,8.0,9.0,3.0,10.0,7.0,8.0,10.0,11.0,9.0,8.0,5.0,6.0,9.0,8.0,8.0,8.0,4.0,8.0,19.0,7.0,
330,1170,1201,V,michigan,66.0,-120,0.5454545454545454,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1172,1201,V,northwestern,81.0,-125,0.5555555555555556,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1176,1201,V,davidson,109.0,-1600,0.9411764705882353,4,W,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1178,1201,V,old-dominion,48.0,125,0.4444444444444444,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1184,1201,V,virginia,64.0,-310,0.7560975609756098,4,W,10.0,10.0,10.0,17.0,10.0,6.0,12.0,9.0,13.0,10.0,10.0,11.0,13.0,10.0,10.0,11.0,8.0,11.0,12.0,18.0,11.0,10.0,12.0,,10.0,10.0,12.0,13.0,10.0,10.0,10.0,13.0,12.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0,13.0,10.0,13.0,10.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,12.0,7.0,6.0,10.0,19.0,10.0,10.0,10.0,,9.0,
335,1187,1201,H,uab,64.0,-260,0.7222222222222222,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1193,1201,H,texas,80.0,-550,0.8461538461538461,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1196,1201,V,louisiana-tech,68.0,175,0.36363636363636365,4,L,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
